predicted_benefit_quantile,n,mean_predicted_gain,mean_actual_gain,mean_depth
0,684,0.001082652890206249,0.000964778541812641,1.0
1,684,0.001318396858462067,0.0010475353524899745,1.0
2,684,0.0014917797665220211,0.0010871066738355566,1.0
3,684,0.0016884805285391894,0.0011394828608076943,1.0
4,684,0.002434788559840383,0.0012993967739226048,1.0
