seed,epoch,train_objective,calibration_objective,best_calibration_objective,improved
260713,0,0.0036937077780648656,0.003435890193843441,0.003435890193843441,True
260713,1,0.003395381413824987,0.0033289029423626717,0.0033289029423626717,True
260713,2,0.0032739439520536734,0.003268540271269212,0.003268540271269212,True
260713,3,0.0031841700798586796,0.003220659893071442,0.003220659893071442,True
260713,4,0.003105203458983311,0.003176732153539159,0.003176732153539159,True
260713,5,0.0030310169213631174,0.003152308622592984,0.003152308622592984,True
260713,6,0.0029686183327888335,0.003116765696751444,0.003116765696751444,True
260713,7,0.0029158689292908685,0.00309255991719271,0.00309255991719271,True
260713,8,0.0028629991591191456,0.003079408274320831,0.003079408274320831,True
260713,9,0.0028245145429327224,0.003077694220054481,0.003077694220054481,True
260713,10,0.0027864328940354643,0.003060628029610417,0.003060628029610417,True
260713,11,0.0027525670120357197,0.003071281419282681,0.003060628029610417,False
260713,12,0.0027230573590508755,0.0030701889479478376,0.003060628029610417,False
260713,13,0.0026958668437602005,0.0030761758805040204,0.003060628029610417,False
260713,14,0.0026698598946283633,0.00308057629688485,0.003060628029610417,False
260713,15,0.0026459114777769212,0.003088129855616138,0.003060628029610417,False
260713,16,0.002621942112819854,0.003085109323796909,0.003060628029610417,False
260713,17,0.0026007370920595073,0.003089404489561828,0.003060628029610417,False
260713,18,0.0025833152135353267,0.003086903530080416,0.003060628029610417,False
260713,19,0.002561144070830523,0.0031005435625951717,0.003060628029610417,False
260713,20,0.00254139601168944,0.0031006918631886183,0.003060628029610417,False
260713,21,0.002527071285834139,0.003106438768591884,0.003060628029610417,False
260713,22,0.0025105098059358903,0.0031067824819021755,0.003060628029610417,False
260713,23,0.0024925385732530504,0.0031058942177469096,0.003060628029610417,False
260713,24,0.002473665079344671,0.0031255372968769213,0.003060628029610417,False
260713,25,0.0024587836849472877,0.0031234416699483557,0.003060628029610417,False
260713,26,0.0024449583686850873,0.003120090764789292,0.003060628029610417,False
260713,27,0.00243194547253089,0.00313473066876027,0.003060628029610417,False
260713,28,0.0024182468994676993,0.003141879688741432,0.003060628029610417,False
260713,29,0.002403688635490368,0.0031501357492647675,0.003060628029610417,False
260713,30,0.0023929400953060405,0.0031351908575743435,0.003060628029610417,False
260713,31,0.0023788482187675278,0.003154069258510108,0.003060628029610417,False
260713,32,0.002366927352600864,0.003169748193328405,0.003060628029610417,False
260713,33,0.0023555467726854157,0.003153202208902752,0.003060628029610417,False
260713,34,0.002344937483315592,0.0031559815826384644,0.003060628029610417,False
260713,35,0.0023367530383860556,0.0031529183006622115,0.003060628029610417,False
260713,36,0.0023248277357160894,0.0031714120332413075,0.003060628029610417,False
260713,37,0.0023144183854308716,0.00318324407208602,0.003060628029610417,False
260713,38,0.0023049827789967145,0.0031898398581369403,0.003060628029610417,False
260713,39,0.0022960005141327853,0.00317019207637256,0.003060628029610417,False
260713,40,0.0022873976875918177,0.0031851265353439323,0.003060628029610417,False
260714,0,0.003681148487005504,0.003422045205278616,0.003422045205278616,True
260714,1,0.0033876052128622557,0.0033125986892468574,0.0033125986892468574,True
260714,2,0.0032673815244290616,0.003250856026843713,0.003250856026843713,True
260714,3,0.0031726858130467117,0.0032055244437958065,0.0032055244437958065,True
260714,4,0.0030892761970373024,0.0031664464361312095,0.0031664464361312095,True
260714,5,0.0030200796727007043,0.003128040030772923,0.003128040030772923,True
260714,6,0.0029596303809051377,0.0030949415118918257,0.0030949415118918257,True
260714,7,0.002903345270073018,0.0030848549515531776,0.0030848549515531776,True
