depth,rmse,pearson_correlation,predicted_mean_gain,actual_mean_gain
1,0.0010894191585818437,0.17564597611730506,0.0015282883869632933,0.00114402329281751
2,0.0012792674252159275,0.1448367373387358,0.0015989979985040889,0.0011356731463429222
4,0.0013993924852431327,0.11475033846456795,0.0015941664409767718,0.00108337521827679
