adaptive_flops_per_transition,baseline_flops_per_transition,benefit_vs_d1,benefit_vs_matched,benefit_vs_null,call_nondominated,candidate,critic_variant,d1_ci_low,expected_ci_low,expected_matched_raw_mse,family,flop_nondominated,gate_decisions,key,lcb_z,matched_ci_high,matched_ci_low,matched_raw_mse,mean_calls,null_ci_low,raw_mse,solver_latency_seconds,target_mean_calls,whitened_benefit_vs_matched,whitened_ci_low,whitened_mse
72364467.51378447,71344076.6566416,4.691279364602738e-06,3.967694561437757e-06,4.594798379561357e-06,True,v3_repair__full,full,1.8691638497033811e-06,4.1520269114354946e-07,0.003118495466711159,v3_repair,False,3819,z0.00_b1.25,0.0,6.720827360210994e-06,1.6613586400185492e-06,0.0031195011172514527,1.2177318295739348,2.5793476072208605e-06,0.003115533422690015,0.12487729200802278,1.25,-0.00013987055273773617,-0.00021824713183746122,0.07960468977525033
72743335.60401003,71527095.96491228,6.229403793224178e-06,2.1466272063979316e-06,8.031672353224297e-06,True,v3_repair__full,full,2.896603005833561e-06,-4.7093823739610963e-07,0.0031163233480711035,v3_repair,False,4552,z0.00_b1.50,0.0,4.899747806317044e-06,-8.67846779613758e-07,0.0031161419254677916,1.4912280701754386,5.639976789462712e-06,0.0031139952982613935,0.10655562499596272,1.5,-0.000297100535109027,-0.00043006025732015565,0.07968904898541511
73502276.43609023,71905293.93984963,5.488856717839692e-06,-1.9387930604211408e-06,1.1766993781034707e-05,False,v3_repair__full,full,1.2174997065908669e-06,-4.448507327450233e-06,0.003112897040256036,v3_repair,False,5977,z0.00_b2.00,0.0,9.81501224051774e-07,-4.772998525318018e-06,0.003112797052276357,2.056390977443609,8.724053341416551e-06,0.003114735845336778,0.10485012500430457,2.0,-0.0006080481545051344,-0.0007652457143949618,0.07991804285921474
73631999.62406015,71971960.76691729,5.252239959434674e-06,-1.298242762033013e-06,1.214693148633848e-05,False,v3_repair__full,full,8.061381218762961e-07,-3.837045235770274e-06,0.003113982445345441,v3_repair,False,6213,z0.00_b2.50,0.0,1.9617951643214975e-06,-4.465289351545399e-06,0.00311367421933315,2.156015037593985,8.854210293230109e-06,0.003114972462095183,0.11445283400826156,2.5,-0.0005680892629244923,-0.0007298730102634003,0.07998619619603844
72251121.14786968,71289778.8320802,3.239879509221697e-06,1.0737257205500714e-06,2.9856169215265785e-06,True,v3_repair__full,full,7.119480527817498e-07,-2.8806396246196883e-07,0.0031191398867887934,v3_repair,False,3598,z0.50_b1.25,0.5,2.9907541419445055e-06,-1.3522480737281093e-06,0.003118058548265946,1.136591478696742,9.896762848778905e-07,0.003116984822545396,0.07433625000703614,1.25,-9.633332163959496e-05,-0.00015053524957717415,0.07957097003452791
72531350.641604,71423322.13032581,5.391008919542585e-06,2.0445603191651833e-06,6.5810750779097105e-06,True,v3_repair__full,full,2.4846648231327018e-06,2.3389817558511715e-07,0.0031175549617329912,v3_repair,False,4147,z0.50_b1.50,0.5,4.807367095099949e-06,-8.603915546673231e-07,0.0031168782534542402,1.3361528822055138,4.482147083161496e-06,0.0031148336931350754,0.09326095800497569,1.5,-0.00022260837033894168,-0.0003267821661499178,0.07963403673769454
73123095.76441103,71713679.22305764,6.188648729307932e-06,-3.535194599792072e-07,9.588477711842738e-06,False,v3_repair__full,full,2.8664801916454597e-06,-2.6071180585400606e-06,0.003114108931588114,v3_repair,False,5275,z0.50_b2.00,0.5,2.3255321695186304e-06,-3.0671385044334417e-06,0.003113682533865331,1.7700501253132832,6.859463315722541e-06,0.00311403605332531,0.10871162499825004,2.0,-0.00048661947855047023,-0.000631639981780822,0.07979689946138288
73248893.25814536,71776153.1679198,6.389435253267697e-06,7.251102560028238e-07,1.0886492867697903e-05,False,v3_repair__full,full,2.8096539686169338e-06,-3.3449532564243864e-06,0.0031133674752825734,v3_repair,False,5512,z0.50_b2.50,0.5,4.492451627360205e-06,-2.3553836745988864e-06,0.003114560377057353,1.863408521303258,8.126138715867951e-06,0.0031138352668013502,0.11226025001087692,2.5,-0.0005273325933868228,-0.0006797493963187374,0.07983475541853312
72186769.34837092,71260428.6566416,2.152093684412819e-06,1.4566424107855947e-06,2.0702542237620005e-06,True,v3_repair__full,full,-3.001635493837554e-07,-8.66715267273928e-07,0.003119488221965893,v3_repair,False,3467,z1.00_b1.25,1.0,3.297698908898469e-06,-3.0051176914744397e-07,0.0031195292507809904,1.0927318295739348,2.2926498175657684e-07,0.003118072608370205,0.0718727920029778,1.25,-6.168919897794249e-05,-0.00010911804393830098,0.07956068826814693
72356743.64411028,71340093.41854636,4.236649705521893e-06,3.1949561786602126e-06,4.507090439678597e-06,True,v3_repair__full,full,1.8201591085568474e-06,3.493363384915928e-07,0.003118542740770909,v3_repair,False,3805,z1.00_b1.50,1.0,5.603237798624791e-06,5.862540883457945e-07,0.003119183008527756,1.2117794486215538,2.474181577585533e-06,0.003115988052349096,0.056087499993736856,1.5,-0.00013242977792362148,-0.00021811495204879984,0.0795898761331299
72818346.29072681,71563364.39598997,6.3641256067632255e-06,1.7039022175157514e-06,8.32113353471344e-06,True,v3_repair__full,full,3.3441695019351565e-06,-5.044166369927282e-07,0.003115892905316545,v3_repair,False,4697,z1.00_b2.00,1.0,4.0753541561160885e-06,-6.665655039848972e-07,0.0031155644786653703,1.5454260651629073,5.880328937888308e-06,0.0031138605764478547,0.09237374999793246,2.0,-0.00027895668256832653,-0.00041818596575427913,0.07968593222696961
72926866.79197995,71615775.42355889,5.9473103941225665e-06,8.047935531741909e-07,8.294863635040983e-06,False,v3_repair__full,full,2.6341522186470106e-06,-1.5116694801911555e-06,0.0031152708782145816,v3_repair,False,4907,z1.00_b2.50,1.0,3.202599417588196e-06,-1.526634784561321e-06,0.0031150821852136694,1.6237468671679198,5.765426733506915e-06,0.003114277391660495,0.10505562499747612,2.5,-0.00036260513248041173,-0.0005154061873091254,0.07972558761589393
71374364.78696741,71367766.44110276,3.852091557425062e-06,3.047096666285913e-06,2.9405735923709083e-06,True,v3_repair__compact,compact,5.85619431089834e-07,-8.700103553298116e-07,0.003118214310461072,v3_repair,True,3989,z0.00_b1.25,0.0,6.2230115767953724e-06,3.028224810784601e-07,0.003119419707163479,1.2531328320802004,4.944074508810054e-07,0.003116372610497193,0.08894179199705832,1.25,-9.92619735422551e-05,-0.0001597745544610094,0.07956166723990793
71540011.03258145,71532127.42355889,5.428158381751348e-06,1.266031660023437e-06,3.1139513469367685e-06,False,v3_repair__compact,compact,1.8453812842374174e-06,-7.199368580120372e-07,0.003116263633469315,v3_repair,False,4766,z0.00_b1.50,0.0,3.9769209024028385e-06,-1.641355770413809e-06,0.00311606257533289,1.4987468671679198,8.162216438182004e-07,0.0031147965436728662,0.05881454200425651,1.5,-0.00011216454827532375,-0.0001899786541735915,0.0795010795931024
71869692.10526316,71859381.87969925,5.002810795853302e-06,-2.718779974646824e-06,9.756642297484485e-07,False,v3_repair__compact,compact,5.50928582430189e-07,-4.970758578925156e-06,0.003112379696244656,v3_repair,False,6233,z0.00_b2.00,0.0,-6.800855172379789e-07,-4.8995656947053725e-06,0.0031125031112841177,1.987781954887218,-1.259734204736594e-06,0.0031152218912587643,0.10278112499509007,2.0,-0.00015862163742617295,-0.00021310080666257092,0.07942545373767788
72078317.04761904,72066719.90476191,2.615515964443009e-06,-2.3814169061982907e-06,1.8503348124832064e-06,False,v3_repair__compact,compact,-2.126655526079042e-06,-4.374405793713316e-06,0.0031155252223907595,v3_repair,False,7011,z0.00_b2.50,0.0,-1.5368530279702973e-07,-4.806202956014178e-06,0.0031152277691839764,2.2976190476190474,-6.559302376520192e-07,0.003117609186090175,0.10108237499662209,2.5,-5.494211284191853e-05,-0.00012798893912175657,0.0795948669533985
71346686.37092732,71340303.06265664,3.6163275722527462e-06,8.901381836112887e-07,2.7667278059049832e-06,True,v3_repair__compact,compact,3.7648384446734367e-07,-8.45542649779328e-07,0.003118540252662501,v3_repair,True,3859,z0.50_b1.25,0.5,3.463469872479533e-06,-1.8242618070165052e-06,0.0031174985126659763,1.212092731829574,4.803380175771727e-07,0.003116608374482365,0.054579249990638345,1.25,-0.00010505398052251404,-0.00016007747307787273,0.07956910378696117
71495225.72932331,71487682.87218045,5.865033446005277e-06,1.771460359266616e-06,4.322191470645177e-06,True,v3_repair__compact,compact,2.397819653174281e-06,1.9086322648468266e-07,0.0031167911124517804,v3_repair,True,4560,z0.50_b1.50,0.5,4.857245518055753e-06,-9.572402126294963e-07,0.003116131128967879,1.4323308270676691,1.9866295503805465e-06,0.0031143596686086126,0.05447641698992811,1.5,-0.0001165147910172583,-0.00018482982731596076,0.07950774966990196
71811245.19799499,71801310.46115288,5.655957636890821e-06,-1.9311576540888823e-06,9.839255507903543e-07,False,v3_repair__compact,compact,1.3663637661207342e-06,-3.521754765709542e-06,0.003113068902273631,v3_repair,False,6006,z0.50_b2.00,0.5,3.48253542185937e-07,-4.2491489178777514e-06,0.0031126375867636382,1.9010025062656641,-1.1712637467753025e-06,0.003114568744417727,0.0834188750013709,2.0,-0.00011767677308287376,-0.00017688712783061212,0.07938804636591229
71996507.01253133,71985377.98997493,3.91135260011688e-06,-2.327853111555464e-06,1.8087664369189117e-06,False,v3_repair__compact,compact,-7.547956734459796e-07,-4.178430165396468e-06,0.003114200891652743,v3_repair,False,6728,z0.50_b2.50,0.5,-9.163496248849475e-08,-4.79823211276369e-06,0.0031139854963429456,2.176065162907268,-5.627842055626952e-07,0.003116313349454501,0.08342770799936261,2.5,-0.00010859119657920555,-0.0001820811652020026,0.07951704909316555
71320277.39849624,71314097.54887219,2.9714259685613544e-06,1.6321603089593174e-06,2.3655553368348535e-06,True,v3_repair__compact,compact,-9.566889836188484e-08,-1.3280373543689066e-06,0.003118851266213483,v3_repair,True,3736,z1.00_b1.25,1.0,4.452950306221279e-06,-6.994332960445134e-07,0.0031188854363950157,1.1729323308270676,3.164025047978696e-08,0.0031172532760860563,0.04110337499878369,1.25,-0.000105221881452195,-0.00016822154917847077,0.07957765597391472
71452969.38847117,71445754.05012532,5.6219475315667845e-06,2.641801145450004e-06,4.609832213009897e-06,True,v3_repair__compact,compact,2.251426560593373e-06,2.7161144743222243e-07,0.0031172887341333506,v3_repair,True,4362,z1.00_b1.50,1.0,6.288347091974896e-06,-8.293579688377703e-07,0.003117244555668501,1.3696741854636592,2.0886827514276096e-06,0.003114602754523051,0.04089254100108519,1.5,-8.599471816737373e-05,-0.00014837861987623707,0.07952121504315782
71756977.93984963,71747431.92481203,6.534555814369584e-06,-4.428407021379215e-07,1.6766433255545058e-06,False,v3_repair__compact,compact,2.626909436846581e-06,-1.9629335414567594e-06,0.003113708346134449,v3_repair,False,5771,z1.00_b2.00,1.0,1.3679007827620139e-06,-2.437287526106928e-06,0.0031132473055381104,1.8204887218045114,-4.972194758357503e-07,0.0031136901462402483,0.06649616699723992,2.0,-5.3277375013114216e-05,-0.00012419109765423927,0.07934921864043289
71915517.358396,71904874.65162908,5.320704960860055e-06,-2.1344514383950776e-06,1.7267728773211793e-06,False,v3_repair__compact,compact,9.53369344141376e-07,-3.9919185912030194e-06,0.003112890213808932,v3_repair,False,6434,z1.00_b2.50,1.0,-2.745469363364289e-07,-4.149932118750821e-06,0.0031127695456553625,2.055764411027569,-3.909154982826283e-07,0.003114903997093758,0.09353787500003818,2.5,-0.00013206037411526015,-0.00018741425246522926,0.07943084277359691
72293472.10526316,71255981.21804512,2.4110250006357492e-05,1.302639369746054e-05,1.358951660112961e-05,True,stagewise__full,full,1.444173706210009e-05,6.449609481576875e-06,0.003109855179324616,stagewise,False,3883,z0.00_b1.25,0.0,2.1606313888135864e-05,4.795310494153269e-06,0.0031091408457457207,1.2174185463659148,5.733494428550285e-06,0.0030961144520482604,0.06302537499868777,1.25,0.0005287850875626682,0.00018419271224316222,0.07816253519120749
72541854.06015037,71315995.65413533,4.229780103758043e-05,2.422500984723689e-05,2.0911378733376695e-05,True,stagewise__full,full,2.996021476315663e-05,1.4252966943814599e-05,0.0030990523480079113,stagewise,False,4588,z0.00_b1.50,0.0,3.2598366519174164e-05,1.5608560403863733e-05,0.0031021519108642742,1.443922305764411,1.2516118033573846e-05,0.0030779269010170374,0.05574704099853989,1.5,0.0004892933440049571,5.163357298965043e-05,0.07736691076654648
73017790.18045112,71439510.84210527,5.809797514124977e-05,1.3312176590607989e-05,2.3865322107571717e-05,True,stagewise__full,full,4.344780463360619e-05,9.442185930371745e-06,0.0030768191350075604,stagewise,False,5907,z0.00_b2.00,0.0,1.9773242784048987e-05,6.061755139764735e-06,0.003075438903503976,1.9100877192982457,1.5876176658230977e-05,0.003062126726913368,0.08125645799736958,2.0,9.688765063638511e-05,-0.00020583168221199633,0.07616350671459195
73501920.34586467,71583777.90977444,6.563877480432512e-05,1.110390304919813e-05,1.8032353287060887e-05,True,stagewise__full,full,4.9937882964254e-05,7.018372626563511e-06,0.0030658967106920493,stagewise,False,7179,z0.00_b2.50,0.0,1.5512907875722645e-05,6.800679930302409e-06,0.003065689830299491,2.4545739348370925,1.1637193883392397e-05,0.0030545859272502925,0.09828437500982545,2.5,-6.851105893018863e-05,-0.0003490339581971165,0.07534923607219604
72218631.44360903,71238051.59398496,1.929459213991101e-05,1.1539527916108471e-05,1.027909006335817e-05,True,stagewise__full,full,1.0918664502196294e-05,5.470647017609433e-06,0.003113082581211763,stagewise,False,3670,z0.50_b1.25,0.5,2.0994857848399574e-05,2.6755191792014328e-06,0.003112469637830815,1.149749373433584,2.756932968294768e-06,0.0031009301099147067,0.045895749994087964,1.25,0.0004236465090929578,6.485712453113397e-05,0.07850418230253406
72430961.42857143,71289267.23308271,3.770066355617675e-05,2.152826498257624e-05,2.0590940043814527e-05,True,stagewise__full,full,2.5980549713280574e-05,1.3764576086202063e-05,0.0031038635674878264,stagewise,False,4273,z0.50_b1.50,0.5,3.1046028523081514e-05,1.2600769542885539e-05,0.003104052303481017,1.343045112781955,1.20817235563978e-05,0.003082524038498441,0.06468108299304731,1.5,0.0006536607199532458,0.00018499849652457622,0.07765940058873678
72818874.09022556,71387548.13533835,5.2042496230897906e-05,2.1701104307160912e-05,2.2114460029899562e-05,True,stagewise__full,full,3.8573217033100765e-05,1.1838892467275694e-05,0.0030861726238101276,stagewise,False,5357,z0.50_b2.00,0.5,3.052991763897603e-05,1.2519981797062008e-05,0.003089883310130881,1.7139724310776943,1.4656073562262576e-05,0.00306818220582372,0.07734820801124442,2.0,0.000599870396684934,0.00020621721276753617,0.07651236810753975
73243486.90225564,71506497.90977444,6.205087670525955e-05,1.16916395509954e-05,2.1948704087113574e-05,True,stagewise__full,full,4.6294788939221936e-05,6.667784231237159e-06,0.003070153365547295,stagewise,False,6501,z0.50_b2.50,0.5,1.7036485653699585e-05,6.300964751085361e-06,0.0030698654649003536,2.162907268170426,1.4425120841445376e-05,0.0030581738253493583,0.10381220901035704,2.5,6.144604940100296e-06,-0.0003085421119746586,0.07572957785043645
