dataset,endpoint,gate_overhead_multiplier,total_counted_flops,equivalent_ti_mean_depth,comparator_feasible,learned_loss,ti_envelope_loss,benefit_vs_ti_envelope
cube_v5,raw,0.0,4332351722240,1.2166776315789474,True,0.003433540759209508,0.0034419020407122605,8.361281502752664e-06
cube_v5,whitened,0.0,4332351722240,1.2166776315789474,True,0.09876419997888937,0.09953326528569476,0.000769065306805386
cube_v5,raw,0.5,4332643921338,1.2348158645843266,True,0.003433540759209508,0.003441105901676019,7.5651424665109865e-06
cube_v5,whitened,0.5,4332643921338,1.2348158645843266,True,0.09876419997888937,0.09945304365949786,0.0006888436806084947
cube_v5,raw,1.0,4332936120435,1.2529540975276308,True,0.003433540759209508,0.003440309762642501,6.7690034329932584e-06
cube_v5,whitened,1.0,4332936120435,1.2529540975276308,True,0.09876419997888937,0.09937282203357548,0.000608622054686106
cube_v5,raw,2.0,4333520518630,1.2892305634763142,True,0.003433540759209508,0.003438717484572742,5.1767253632342865e-06
cube_v5,whitened,2.0,4333520518630,1.2892305634763142,True,0.09876419997888937,0.09921237878145622,0.0004481788025668537
cube_v5,raw,5.0,4335273713215,1.3980599613223643,True,0.003433540759209508,0.0034339406503634635,3.998911539556359e-07
cube_v5,whitened,5.0,4335273713215,1.3980599613223643,True,0.09876419997888937,0.09873104902509842,-3.315095379094468e-05
cube_v5,raw,10.0,4338195704190,1.5794422910657815,True,0.003433540759209508,0.003425979260014666,-7.561499194841826e-06
cube_v5,whitened,10.0,4338195704190,1.5794422910657815,True,0.09876419997888937,0.09792883276450207,-0.0008353672143873031
cube_v5,raw,25.0,4346961677115,2.1235892802960326,True,0.003433540759209508,0.0034058182444624907,-2.7722514747017136e-05
cube_v5,whitened,25.0,4346961677115,2.1235892802960326,True,0.09876419997888937,0.09588722645964208,-0.002876973519247289
cube_v5,raw,50.0,4361571631990,3.030500929013118,True,0.003433540759209508,0.0033934556056242834,-4.008515358522443e-05
cube_v5,whitened,50.0,4361571631990,3.030500929013118,True,0.09876419997888937,0.09456291060845519,-0.00420128937043418
pusht_pilot,raw,0.0,102888853696,1.6409722222222223,True,0.10740739382814737,0.11138870538496677,0.003981311556819397
pusht_pilot,whitened,0.0,102888853696,1.6409722222222223,True,0.252459692826501,0.2522668980023954,-0.00019279482410561322
pusht_pilot,raw,0.5,102896954446,1.6496211214666219,True,0.10740739382814737,0.11135294809925168,0.0039455542711043096
