dataset,policy_family,optional_depth2_rows,allocation_fraction,frozen_operating_point,total_counted_flops,counted_flops_per_transition,extra_mflops_per_transition_over_fixed_depth1,equivalent_transition_independent_mean_depth,gate_evaluations,refiner_calls,depth1_rows,depth2_rows,learned_raw_mse,ti_envelope_raw_mse,oracle_raw_mse,raw_benefit_vs_ti_envelope,raw_fraction_oracle_allocation_uplift_captured,learned_whitened_mse,ti_envelope_whitened_mse,oracle_whitened_mse,whitened_benefit_vs_ti_envelope,whitened_fraction_oracle_allocation_uplift_captured
pusht_binary,stage1_score_exact_topk,0,0.0,False,306898843680,71041399.0,0.007715,1.0118613475351765,4320,4320,4320,0,0.12238226470130398,0.12233633630115184,0.12238226470130398,-4.5928400152134286e-05,,0.29528119508020967,0.29520034349120683,0.29528119508020967,-8.08515890028394e-05,
pusht_binary,stage1_score_exact_topk,432,0.1,False,307179830304,71106442.2,0.0727582,1.1118613475351766,4320,4752,3888,432,0.11999274418948006,0.12194912565737023,0.11868352390453572,0.001956381467890178,0.6046479348033222,0.293232759089677,0.294518704337114,0.292272787602782,0.0012859452474370259,0.5874228313719118
pusht_binary,stage1_score_exact_topk,864,0.2,False,307460816928,71171485.4,0.1378014,1.2118613475351767,4320,5184,3456,864,0.11894199026027376,0.12156191501358862,0.11730888668347181,0.0026199247533148645,0.6201163027989353,0.2922941134398888,0.2938370651830212,0.2909518768721462,0.0015429517431324036,0.5474651005881871
pusht_binary,stage1_score_exact_topk,1055,0.24421296296296297,True,307585049440,71200242.92592593,0.16655892592592592,1.2560743104981396,4320,5375,3265,1055,0.11865693567454487,0.1213907177150648,0.11695281760792008,0.002733782040519925,0.6199412926137653,0.29196645548960315,0.29353569231628107,0.2905022940390029,0.0015692368266779222,0.529851003141007
pusht_binary,stage1_score_exact_topk,1296,0.3,False,307741803552,71236528.6,0.2028446,1.3118613475351766,4320,5616,3024,1296,0.11844589463181275,0.121174704369807,0.11662684346567763,0.0027288097379942478,0.6040194607010544,0.2916197089486498,0.2931554260289283,0.2900018072151189,0.001535717080278498,0.4997939285132297
pusht_binary,stage1_score_exact_topk,1728,0.4,False,308022790176,71301571.8,0.2678878,1.4118613475351767,4320,6048,2592,1728,0.11814892824221042,0.12078749372602539,0.11629719608464648,0.0026385654838149697,0.5917901487689204,0.2909758161571928,0.2924737868748355,0.28923246624818144,0.0014979707176426826,0.4752379479922053
pusht_binary,stage1_score_exact_topk,2160,0.5,False,308303776800,71366615.0,0.332931,1.5118613475351765,4320,6480,2160,2160,0.1179557790314783,0.12040028308224375,0.11619712731391368,0.0024445040507654475,0.5861104068943831,0.2903611626905304,0.29179214772074263,0.2886023955725907,0.0014309850302122173,0.4622500127546062
pusht_binary,stage1_score_exact_topk,2592,0.6,False,308584763424,71431658.2,0.3979742,1.6118613475351766,4320,6912,1728,2592,0.11788629607895473,0.12001307243846218,0.11623747305086508,0.0021267763595074485,0.5685434936845561,0.2898633703811051,0.29111050856664983,0.2881064628760129,0.0012471381855447272,0.43048103523973436
pusht_binary,stage1_score_exact_topk,3024,0.7,False,308865750048,71496701.4,0.4630174,1.7118613475351767,4320,7344,1296,3024,0.11791970371546122,0.11962586179468057,0.11639477173771977,0.0017061580792193526,0.5346587156286748,0.28938973305416654,0.2904288694125569,0.287754649476549,0.001039136358390369,0.4065186465127541
pusht_binary,stage1_score_exact_topk,3456,0.8,False,309146736672,71561744.6,0.5280606,1.8118613475351766,4320,7776,864,3456,0.1180068131138097,0.11923865115089896,0.11670628300791273,0.0012318380370892612,0.4955855216274105,0.2889426670988277,0.2897472302584641,0.2875816832383221,0.0008045631596363956,0.39414854738370403
pusht_binary,stage1_score_exact_topk,3888,0.9,False,309427723296,71626787.8,0.5931038000000001,1.9118613475351767,4320,8208,432,3888,0.11822233213097653,0.11885144050711734,0.11726775114425433,0.0006291083761408023,0.4142301290604273,0.2886364890461328,0.28906559110437124,0.28766736667697856,0.0004291020582384286,0.3447785249631809
pusht_binary,stage1_score_exact_topk,4268,0.9879629629629629,False,309674887456,71684001.72592592,0.6503177259259258,1.9998243104981397,4320,8588,52,4268,0.11848535224624229,0.11851083855193907,0.11824873833999541,2.5486305696778566e-05,0.23184439056814687,0.2884809571693251,0.28846600110771553,0.2882221001274511,-1.49560616095612e-05,0.20290994938683796
