dataset,policy_family,retention_fraction,frozen_operating_point,total_counted_flops,counted_flops_per_transition,extra_mflops_per_transition_over_fixed_depth1,equivalent_transition_independent_mean_depth,gate_evaluations,refiner_calls,depth1_rows,depth2_rows,depth3_rows,depth4_rows,continued_stage1,continued_stage2,continued_stage3,learned_raw_mse,ti_envelope_raw_mse,raw_benefit_vs_ti_envelope,raw_ti_depth_lower,raw_ti_depth_upper,learned_whitened_mse,ti_envelope_whitened_mse,whitened_benefit_vs_ti_envelope,whitened_ti_depth_lower,whitened_ti_depth_upper
cube_v5,conservative_frozen-continuation_topk_thinning,0.0,False,4329346627200,71206359.0,0.007985,1.0301366243961352,60800,60800,60800,0,0,0,0,0,0,0.0034514126430255795,0.003450089860200196,-1.322782825383291e-06,1,2,0.10049158531392476,0.10035829730199843,-0.00013328801192633022,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,0.125,False,4329697056640,71212122.64210527,0.013748642105263158,1.0518895006992117,62080,62084,59572,1176,48,4,1228,52,4,0.003448592854649363,0.003449135064108962,5.422094595990481e-07,1,2,0.10022699814453565,0.10026208886146426,3.5090716928615207e-05,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,0.25,False,4330073071045,71218307.08955592,0.01993308955592105,1.0752305614278421,63445,63462,58343,2269,171,17,2457,188,17,0.003445978842380375,0.003448110558051076,2.131715670701355e-06,1,2,0.09998027890930161,0.10015885621205149,0.00017857730274987993,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,0.375,False,4330478877835,71224981.54333882,0.026607543338815792,1.1004209818041055,64891,64950,57115,3279,347,59,3685,406,59,0.003443843829693285,0.003447004878297434,3.16104860414914e-06,1,2,0.09976890407488373,0.10004744423015842,0.00027854015527468967,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,0.5,False,4330912895235,71232119.98741776,0.033745987417763156,1.12736257328564,66419,66542,55886,4209,582,123,4914,705,123,0.003441618515790546,0.003445822334624598,4.203818834051711e-06,1,2,0.09956460117330833,0.09992828718325422,0.0003636860099458933,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,0.625,False,4331373855795,71239701.57557566,0.041327575575657895,1.1559766590264866,68003,68234,54658,5081,830,231,6142,1061,231,0.003439765986747087,0.0034445663803848487,4.800393637761826e-06,1,2,0.09936589699893945,0.09980173304263931,0.0004358360436998582,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,0.75,False,4331866792300,71247809.08388157,0.049435083881578946,1.18657564870765,69676,70044,53430,5864,1138,368,7370,1506,368,0.0034375658255169765,0.0034432233030218273,5.657477504850822e-06,1,2,0.09916392415283429,0.0996664000853729,0.000502475932538618,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,0.875,False,4332385556230,71256341.38536184,0.05796738536184211,1.2187778734972905,71398,71950,52201,6600,1447,552,8599,1999,552,0.003435312880952739,0.003441809855074539,6.496974121800083e-06,1,2,0.09895913449081563,0.09952397635319253,0.0005648418623769025,1,2
cube_v5,conservative_frozen-continuation_topk_thinning,1.0,True,4332936120435,71265396.71768092,0.06702271768092105,1.2529540975276308,73187,73974,50973,7267,1773,787,9827,2560,787,0.003433540759209508,0.003440309762642501,6.7690034329932584e-06,1,2,0.09876419997888937,0.09937282203357548,0.000608622054686106,1,2
