dataset,scope,stage,endpoint,reached_rows,continued_rows,learned_total_gain,random_expected_total_gain,oracle_total_gain,allocation_uplift_over_random,oracle_uplift_over_random,fraction_oracle_uplift_captured
cube_v5,stage_local_reached_rows,1,raw,60800,9827,0.9720981506182476,0.4313351971402423,4.913839731483,0.5407629534780052,4.482504534342757,0.12063857366678471
cube_v5,stage_local_reached_rows,1,whitened,60800,9827,94.42424319371393,43.46277393190421,220.63736221304825,50.961469261809725,177.17458828114405,0.28763419041190647
cube_v5,stage_local_reached_rows,2,raw,9827,2560,0.09579870132066944,0.0681043391601983,0.41540563128877284,0.027694362160471137,0.3473012921285745,0.0797416041579782
cube_v5,stage_local_reached_rows,2,whitened,9827,2560,8.782774587393874,5.172507759522113,23.832264933796488,3.6102668278717607,18.659757174274375,0.19347876792572213
cube_v5,stage_local_reached_rows,3,raw,2560,787,0.018713684078265083,0.0123696476726414,0.08203862416637102,0.006344036405623683,0.06966897649372962,0.09105970440364747
cube_v5,stage_local_reached_rows,3,whitened,2560,787,1.8180105890427711,1.2777945605085568,5.426832189420086,0.5402160285342144,4.149037628911529,0.13020273057295367
pusht_pilot,stage_local_reached_rows,1,raw,1440,351,5.02850744557182,1.4511450453223933,7.529432052561152,3.5773624002494264,6.0782870072387585,0.5885477924930282
pusht_pilot,stage_local_reached_rows,1,whitened,1440,351,4.267899420911099,2.3762539563939775,6.156134390170313,1.8916454645171212,3.779880433776335,0.5004511379814335
pusht_pilot,stage_local_reached_rows,2,raw,351,309,2.980107107063426,2.6546341980824946,3.6768369912469736,0.3254729089809314,1.022202793164479,0.31840346275453846
pusht_pilot,stage_local_reached_rows,2,whitened,351,309,1.6922909129886743,1.474199449876719,2.314108944250757,0.21809146311195526,0.8399094943740382,0.259660671266126
pusht_pilot,stage_local_reached_rows,3,raw,309,263,1.5404480972546868,1.1407840002586702,2.1233028571031465,0.39966409699601657,0.9825188568444763,0.4067749888074461
pusht_pilot,stage_local_reached_rows,3,whitened,309,263,0.010852930646455816,-0.28155684178758295,0.5099617280378936,0.29240977243403876,0.7915185698254765,0.3694288214848993
pusht_binary,stage_local_reached_rows,1,raw,4320,1055,16.093421395599282,4.085072291896004,23.45521144341837,12.008349103703278,19.370139151522366,0.6199412926137653
pusht_binary,stage_local_reached_rows,1,whitened,4320,1055,14.319675031420157,7.191293075679517,20.644852498013183,7.1283819557406405,13.453559422333665,0.5298510031410071
