contrast,metric,n_deciles,weight_sum,delta_mean,delta_median,delta_trimmed_mean,p_superiority,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high,scale,test,eligible_episodes,n_pairs,median_episode_delta,fraction_episode_positive,wilcoxon_statistic,wilcoxon_p_greater,fraction_pair_positive,abs_magnitude_gap_median,abs_magnitude_gap_p90,magnitude_col,n_magnitude_bins
interaction_vs_transport_free_phase_decile_adjusted,excess_whitened_recomputed,5.0,76.0,1.9950547345909233,4.692913526889991,3.2629057574057407,0.5524086059974588,-5.712249032464931,9.812707449205645,-2.6254894199665646,15.223730014841896,-3.487362687823055,10.301521086437809,0.5026456812292386,0.6037910374839693,whitened,phase_decile_adjusted,,,,,,,,,,,
,excess_whitened_recomputed,,,,,,,,,,,,,,,whitened,matched_position,20.0,76.0,2.1022233765702154,0.6,128.0,0.20454883575439453,,,,,
,excess_whitened_recomputed,,,,1.6039430509662918,4.446972679194306,0.5229030339083879,,,0.7181996672206594,3.0879876866369473,-0.01877521303167821,12.912346334724134,,,whitened,phase_persistence_magnitude_double_match,17.0,41.0,1.6039430509662918,0.7058823529411765,116.0,0.03191375732421875,0.7317073170731707,0.7557520437657756,1.7400001892414227,persistence_mag_whitened,5.0
interaction_vs_transport_free_phase_decile_adjusted,excess_targetnorm,5.0,76.0,0.017994201730532747,0.018319120346155314,0.017868954577318442,0.6304262635649389,0.007008687169275683,0.030456418928918344,0.0033764136689300272,0.03224269942620882,0.005798279187806548,0.029813876858392187,0.5905837858142885,0.6663954933185706,targetnorm,phase_decile_adjusted,,,,,,,,,,,
,excess_targetnorm,,,,,,,,,,,,,,,targetnorm,matched_position,20.0,76.0,0.030706032795854758,0.85,190.0,0.00035381317138671875,,,,,
,excess_targetnorm,,,,0.016197468932806935,0.011408456594490484,0.5374554102259215,,,0.0003970803223127817,0.029577055515898898,0.0020717304453676667,0.020466033779261733,,,targetnorm,phase_persistence_magnitude_double_match,16.0,29.0,0.018498159920420892,0.8125,105.0,0.028839111328125,0.6551724137931034,0.01978501102337954,0.08806815016584432,persistence_mag_targetnorm,5.0
