episode_ordinal,phase_decile,magnitude_bin,left_row_id,right_row_id,left_value,right_value,delta,left_magnitude,right_magnitude,abs_magnitude_gap,left_position,right_position,scale,metric,magnitude_col
26,5,3,1008,1006,-42.11065063254098,-58.76051162727404,16.64986099473306,8.076936144260833,8.506536652402117,0.42960050814128437,0.575,0.525,whitened,excess_whitened_recomputed,persistence_mag_whitened
27,1,0,1029,1027,6.868365097056647,5.908271432763367,0.9600936642932796,1.2677497226877532,1.3476055591673055,0.0798558364795523,0.15,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
27,5,3,1046,1044,-28.27444533298222,-116.2683998153178,87.99395448233558,7.319889731819748,11.261816154809807,3.9419264229900595,0.575,0.525,whitened,excess_whitened_recomputed,persistence_mag_whitened
28,1,3,1068,1065,-82.38912940491043,-63.43780912643439,-18.951320278476047,10.786013975986899,9.10172567257812,1.6842883034087794,0.175,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
28,3,2,1074,1076,-15.448471861027327,2.5680893696503766,-18.016561230677702,4.9900061808617915,4.776628512997895,0.21337766786389611,0.325,0.375,whitened,excess_whitened_recomputed,persistence_mag_whitened
28,8,1,1093,1096,-0.41681647265169275,-4.675858594587215,4.259042121935522,3.8822561558413784,4.1205796251263225,0.23832346928494408,0.8,0.875,whitened,excess_whitened_recomputed,persistence_mag_whitened
28,9,1,1101,1098,-8.732306602266247,-9.039896928147337,0.30759032588109037,4.104612313928554,4.285268489614499,0.18065617568594483,1.0,0.925,whitened,excess_whitened_recomputed,persistence_mag_whitened
29,1,3,1106,1103,-26.02903269547526,-84.40317377390056,58.3741410784253,8.861709500793298,9.854797646594935,0.9930881458016376,0.175,0.1,whitened,excess_whitened_recomputed,persistence_mag_whitened
29,3,1,1112,1114,0.24359730939651314,2.805181449080239,-2.561584139683726,2.6244594977579916,3.2284139354949595,0.6039544377369679,0.325,0.375,whitened,excess_whitened_recomputed,persistence_mag_whitened
11,1,3,422,419,-0.2175801691434882,-0.194624739079918,-0.022955430063570204,0.5334679210447684,0.46096864845842117,0.0724992725863472,0.175,0.1,targetnorm,excess_targetnorm,persistence_mag_targetnorm
11,1,1,421,420,-0.09475970221388838,-0.08049894962822567,-0.014260752585662714,0.33626459127717645,0.29904254963185906,0.037222041645317394,0.15,0.125,targetnorm,excess_targetnorm,persistence_mag_targetnorm
11,5,0,438,435,-0.026503990199628562,-0.05883041882343415,0.03232642862380559,0.19301548101690844,0.26392191697933365,0.07090643596242521,0.575,0.5,targetnorm,excess_targetnorm,persistence_mag_targetnorm
13,1,3,498,495,-0.17026087216767355,-0.20874860537577472,0.03848773320810117,0.5644193900279872,0.46731651310871114,0.0971028769192761,0.175,0.1,targetnorm,excess_targetnorm,persistence_mag_targetnorm
13,5,0,514,511,-0.03031876238092482,-0.05591910449607975,0.025600342115154932,0.2083605943926071,0.2608098218220327,0.05244922742942562,0.575,0.5,targetnorm,excess_targetnorm,persistence_mag_targetnorm
13,9,0,531,527,-0.05049629631294207,-0.03918374497894668,-0.011312551333995391,0.24280115025580698,0.2512807556649339,0.008479605409126928,1.0,0.9,targetnorm,excess_targetnorm,persistence_mag_targetnorm
14,1,2,536,533,-0.134854285911251,-0.12725576575582884,-0.007598520155422173,0.41953311569853696,0.3731914831053409,0.04634163259319607,0.175,0.1,targetnorm,excess_targetnorm,persistence_mag_targetnorm
14,8,0,561,564,0.008602433006261304,-0.026499056929712876,0.03510148993597418,0.09618519677444098,0.24699566977255027,0.1508104729981093,0.8,0.875,targetnorm,excess_targetnorm,persistence_mag_targetnorm
15,1,2,574,572,-0.14235356115548287,-0.17779590011821386,0.035442338962730996,0.43391620085045746,0.4313197975962377,0.0025964032542197812,0.175,0.125,targetnorm,excess_targetnorm,persistence_mag_targetnorm
15,5,2,590,589,-0.11655484989146721,-0.14309069458737422,0.026535844695907015,0.368839481875417,0.38298317154478784,0.014143689669370851,0.575,0.55,targetnorm,excess_targetnorm,persistence_mag_targetnorm
18,5,0,704,703,-0.005081611988634018,-0.042144927547729756,0.03706331555909574,0.14285841232185242,0.2286678807993388,0.08580946847748638,0.575,0.55,targetnorm,excess_targetnorm,persistence_mag_targetnorm
19,1,3,726,723,-0.16667920554236287,-0.20811188791171614,0.04143268236935327,0.4871491934876313,0.47226116277378444,0.014888030713846867,0.175,0.1,targetnorm,excess_targetnorm,persistence_mag_targetnorm
19,1,0,725,724,-0.03262258798286746,-0.0357056336969824,0.0030830457141149403,0.2406723977346516,0.22182161254989843,0.018850785184753166,0.15,0.125,targetnorm,excess_targetnorm,persistence_mag_targetnorm
20,3,0,771,772,-0.02838728302935801,0.0017269021871043101,-0.03011418521646232,0.20175644831163758,0.15028324160654002,0.05147320670509756,0.35,0.375,targetnorm,excess_targetnorm,persistence_mag_targetnorm
21,5,0,818,817,-0.037917207993719684,-0.043751165118958754,0.00583395712523907,0.26021708945762806,0.26799334216241544,0.007776252704787379,0.575,0.55,targetnorm,excess_targetnorm,persistence_mag_targetnorm
22,1,3,840,837,-0.23287395032360392,-0.24907141925641085,0.016197468932806935,0.5721839732437137,0.5189749270320242,0.05320904621168954,0.175,0.1,targetnorm,excess_targetnorm,persistence_mag_targetnorm
22,1,2,839,838,-0.11097575431360202,-0.1301764206076653,0.01920066629406328,0.36095759189381593,0.3701882432877505,0.009230651393934586,0.15,0.125,targetnorm,excess_targetnorm,persistence_mag_targetnorm
22,8,2,865,868,-0.044136182143620376,-0.015018511048900396,-0.02911767109471998,0.3624806129574605,0.3785306942742834,0.016050081316822895,0.8,0.875,targetnorm,excess_targetnorm,persistence_mag_targetnorm
23,1,3,878,875,-0.20087437508987638,-0.279960249004462,0.0790858739145856,0.5517483537448584,0.5463571754813564,0.0053911782635019945,0.175,0.1,targetnorm,excess_targetnorm,persistence_mag_targetnorm
23,5,0,894,891,-0.04900861037910628,-0.020127799462104128,-0.028880810917002155,0.24250367977889162,0.22513316595513688,0.017370513823754735,0.575,0.5,targetnorm,excess_targetnorm,persistence_mag_targetnorm
24,5,1,932,930,-0.07450987957705027,-0.11511543649367538,0.04060555691662511,0.28275574837188616,0.3458559500995838,0.06310020172769765,0.575,0.525,targetnorm,excess_targetnorm,persistence_mag_targetnorm
25,5,0,970,967,-0.03435178929677915,-0.06392884481267805,0.029577055515898898,0.21915686488782124,0.26474250048690334,0.0455856355990821,0.575,0.5,targetnorm,excess_targetnorm,persistence_mag_targetnorm
26,1,0,991,990,-0.02723022638552051,-0.06062148870361609,0.03339126231809558,0.1757520677412877,0.25885349954849224,0.08310143180720453,0.15,0.125,targetnorm,excess_targetnorm,persistence_mag_targetnorm
26,5,0,1008,1007,-0.04153439800035492,-0.049740837498329034,0.008206439497974116,0.2377240217483018,0.24101742337968116,0.003293401631379367,0.575,0.55,targetnorm,excess_targetnorm,persistence_mag_targetnorm
27,5,0,1046,1043,-0.040163171460310815,-0.04656867638508049,0.006405504924769677,0.2297097171310768,0.23255332128682646,0.0028436041557496627,0.575,0.5,targetnorm,excess_targetnorm,persistence_mag_targetnorm
28,3,1,1075,1076,-0.06637955779643018,-0.007463843324460262,-0.058915714471969916,0.31452261136557724,0.3181959271029819,0.0036733157374046477,0.35,0.375,targetnorm,excess_targetnorm,persistence_mag_targetnorm
28,9,1,1101,1097,-0.07037976809847048,-0.06533997161785697,-0.0050397964806135065,0.2900917666216791,0.30987677764505867,0.01978501102337954,1.0,0.9,targetnorm,excess_targetnorm,persistence_mag_targetnorm
29,1,0,1105,1104,0.00012926493466138174,-0.05199255328512707,0.05212181821978845,0.08703087073036002,0.23537010064332792,0.14833922991296788,0.15,0.125,targetnorm,excess_targetnorm,persistence_mag_targetnorm
29,3,1,1112,1114,-0.056293963941631484,-0.0167530246736559,-0.03954093926797558,0.2902368122224245,0.2997693090204725,0.009532496798048018,0.325,0.375,targetnorm,excess_targetnorm,persistence_mag_targetnorm
