episode_ordinal,phase_decile,left_row_id,right_row_id,left_value,right_value,delta,left_position,right_position,scale,metric
10,1,383,382,-61.082710320535455,-112.56874972353341,51.48603940299796,0.15,0.125,whitened,excess_whitened_recomputed
10,1,384,381,-186.0773468104291,-156.0767078865909,-30.00063892383821,0.175,0.1,whitened,excess_whitened_recomputed
10,5,400,399,-54.96687206648703,-143.6223228558876,88.65545078940058,0.575,0.55,whitened,excess_whitened_recomputed
10,8,409,410,-6.499426435352724,-25.391393251530275,18.89196681617755,0.8,0.825,whitened,excess_whitened_recomputed
11,1,421,420,1.0047908805033856,0.2865912132827262,0.7181996672206594,0.15,0.125,whitened,excess_whitened_recomputed
11,1,422,419,-6.439814344618714,-4.883218391520256,-1.5565959530984586,0.175,0.1,whitened,excess_whitened_recomputed
11,3,427,430,0.18269212349284913,6.223157843570743,-6.0404657200778935,0.3,0.375,whitened,excess_whitened_recomputed
11,5,438,437,6.736638680623668,4.052187738695282,2.684450941928386,0.575,0.55,whitened,excess_whitened_recomputed
12,1,459,458,-28.161283747375368,-25.287784897191486,-2.873498850183882,0.15,0.125,whitened,excess_whitened_recomputed
12,1,460,457,-114.97304660494883,-9.882628313623503,-105.09041829132534,0.175,0.1,whitened,excess_whitened_recomputed
12,8,485,486,6.399745314676453,5.025316463170291,1.3744288515061625,0.8,0.825,whitened,excess_whitened_recomputed
13,1,497,496,-46.45719059380887,-3.3979591102060667,-43.0592314836028,0.15,0.125,whitened,excess_whitened_recomputed
13,1,498,495,-6.069085219126876,-22.06121983447798,15.992134615351105,0.175,0.1,whitened,excess_whitened_recomputed
13,5,514,513,0.23409116523601092,-22.035195918241108,22.269287083477117,0.575,0.55,whitened,excess_whitened_recomputed
13,9,531,530,-2.266050689454774,-10.946699722282332,8.680649032827558,1.0,0.975,whitened,excess_whitened_recomputed
14,1,535,533,6.290515918936711,4.686572867970419,1.6039430509662918,0.15,0.1,whitened,excess_whitened_recomputed
14,3,541,544,-590.945081372965,23.252295529834655,-614.1973769027996,0.3,0.375,whitened,excess_whitened_recomputed
14,5,552,551,-40.43930662199991,-119.51119270559582,79.0718860835959,0.575,0.55,whitened,excess_whitened_recomputed
14,8,561,562,19.83518366884219,39.02010365905633,-19.18491999021414,0.8,0.825,whitened,excess_whitened_recomputed
15,1,573,572,0.4570721043553503,-70.81987492614391,71.27694703049926,0.15,0.125,whitened,excess_whitened_recomputed
15,1,574,571,-95.76822170937149,-36.99785600485017,-58.77036570452132,0.175,0.1,whitened,excess_whitened_recomputed
15,5,590,589,-36.99421171188137,-31.297193698993993,-5.697018012887376,0.575,0.55,whitened,excess_whitened_recomputed
16,1,611,610,-22.08929201150564,-49.42418706127441,27.334895049768768,0.15,0.125,whitened,excess_whitened_recomputed
16,1,612,609,-3.5780638432523304,-90.65348963184564,87.07542578859332,0.175,0.1,whitened,excess_whitened_recomputed
16,5,628,627,2.3581365521635043,5.04858585802939,-2.6904493058658856,0.575,0.55,whitened,excess_whitened_recomputed
