row_id,episode_ordinal,episode_id,split,model_step,raw_step,transition_block,normalized_position,interaction_contact,support_contact,free,sensor_grasp_onset,sensor_release,mse_model,mse_persistence,excess,mse_model_whitened,mse_persistence_whitened,excess_whitened,phase_decile,interaction_contact_relabel,block_disp,effector_disp,transport_free,static,regime,mse_model_whitened_recomputed,mse_persistence_whitened_recomputed,excess_whitened_recomputed,mse_model_targetnorm,mse_persistence_targetnorm,excess_targetnorm,persistence_mag_whitened,persistence_mag_targetnorm
0,0,0,calibration,3,15,2,0.075,False,True,True,False,False,0.0121737224981188,0.0530798397958278,-0.0409061163663864,8.876036859211435,3.0632226869975754,5.81281417221386,0,False,4.2674197509029455e-16,0.0565430805672886,True,False,transport_free,8.876036793386104,3.063222728374854,5.812814065011251,0.013849083669072115,0.05662234595525223,-0.042773262286180114,1.750206481640053,0.23795450396084591
1,0,0,calibration,4,20,3,0.1,False,True,True,False,False,0.0109737887978553,0.1158261820673942,-0.1048523932695388,7.927741618462843,2.0322371481594064,5.895504470303436,1,False,0.0,0.0581215985767283,True,False,transport_free,7.927741647758258,2.032237112478009,5.895504535280249,0.012235657686278661,0.1263531133395281,-0.11411745565324943,1.4255655412775692,0.3554618310585935
2,0,0,calibration,5,25,4,0.125,False,True,True,False,False,0.0075479485094547,0.0783553346991539,-0.0708073824644088,6.737886759887307,0.7950053233090953,5.942881436578212,1,False,0.0,0.0344652308763354,True,False,transport_free,6.73788673745365,0.7950052706841791,5.942881466769471,0.008652669859336264,0.08683836389008807,-0.07818569403075182,0.8916306806543722,0.29468349782451014
3,0,0,calibration,6,30,5,0.15,True,True,False,True,False,0.0065157054923474,0.0606521852314472,-0.0541364811360836,7.250613463603007,1.5646046282525825,5.686008835350425,1,True,0.0055287580348936,0.0103654905353295,False,False,interaction,7.25061345772972,1.5646046445218114,5.686008813207909,0.007400887503454145,0.06808420821510748,-0.06068332071165333,1.2508415745096624,0.2609295081341079
4,0,0,calibration,7,35,6,0.175,True,False,False,False,False,0.0664326101541519,0.2866609990596771,-0.2202283889055252,10.840392471094304,2.531496397140684,8.30889607395362,1,True,0.0792750536769554,0.0796133561661754,False,False,interaction,10.840393181361655,2.5314964688982666,8.308896712463389,0.0719729471142615,0.3123253754298263,-0.2403524283155648,1.5910677134862194,0.5588607835855244
5,0,0,calibration,8,40,7,0.2,True,False,False,False,False,0.2407007217407226,0.499184250831604,-0.2584835290908813,14.570008694962487,2.741216955779825,11.828791739182662,2,True,0.0986089509392748,0.0987912106524275,False,False,interaction,14.57000909185759,2.7412171811956463,11.828791910661945,0.26095694530490116,0.5454618757028757,-0.2845049303979746,1.655662157928255,0.7385539084609029
6,0,0,calibration,9,45,8,0.225,True,False,False,False,False,0.3549585342407226,0.6277828216552734,-0.2728242874145508,10.265122080801488,2.5704428010283085,7.69467927977318,2,True,0.0837173921811868,0.0843370766147947,False,False,interaction,10.265122429770976,2.5704429010990864,7.694679528671889,0.3805565030169724,0.6886249720280704,-0.30806846901109797,1.6032600852946743,0.8298343039595738
7,0,0,calibration,10,50,9,0.25,True,False,False,False,False,0.748487651348114,1.241601586341858,-0.4931139349937439,14.7110529224128,2.9638393942048595,11.74721352820794,2,True,0.0797076197305112,0.0814145137339605,False,False,interaction,14.71105547049136,2.9638398810137088,11.747215589477651,0.801373150976764,1.332354652174636,-0.5309815011978719,1.7215806344791722,1.1542766792128463
8,0,0,calibration,11,55,10,0.275,True,False,False,False,False,0.4086732864379883,0.9185064435005188,-0.5098331570625305,11.90237153841491,2.739168524257021,9.163203014157888,2,True,0.0752344795955191,0.0765307243286828,False,False,interaction,11.902371608824104,2.739167430387178,9.163204178436926,0.44973724209353,0.9833092858897968,-0.5335720437962668,1.6550430297690686,0.9916195267791961
9,0,0,calibration,12,60,11,0.3,True,False,False,False,False,0.0206423755735158,0.2101259231567382,-0.1894835531711578,8.16105403846237,1.9578572401844192,6.20319679827795,3,True,0.0577918610503577,0.057627728514025,False,False,interaction,8.161054538306628,1.95785721471366,6.203197323592968,0.02138968807036236,0.2196598483328697,-0.19827016026250732,1.399234510263973,0.4686788328193089
10,0,0,calibration,13,65,12,0.325,True,False,False,False,False,0.0412361808121204,0.1660471707582473,-0.1248109936714172,10.02445560545618,2.008024296560515,8.016431308895664,3,True,0.0633038014641069,0.0630293681300091,False,False,interaction,10.024455857365966,2.0080241550273423,8.016431702338624,0.044686270398327566,0.1707094375868182,-0.12602316718849063,1.41704768975054,0.41316998630928914
11,0,0,calibration,14,70,13,0.35,True,True,False,False,True,0.0206910129636526,0.0768868401646614,-0.0561958253383636,7.382024378552071,0.9821193130745112,6.39990506547756,3,True,0.0269617574026857,0.0308110829992353,False,False,interaction,7.382024400752228,0.9821193198431718,6.399905080909057,0.02127293959697168,0.07776379311809554,-0.05649085352112386,0.9910193337383342,0.278861602086224
12,0,0,calibration,15,75,14,0.375,False,True,True,False,False,0.0745980367064476,0.102425992488861,-0.0278279557824134,7.724039870284653,0.8394365217247423,6.884603348559911,3,False,0.0005574120824431,0.0327685994798733,True,False,transport_free,7.7240399222654474,0.839436624322807,6.884603297942641,0.0762892554426583,0.10652668792376795,-0.030237432481109647,0.9162077408114423,0.326384264209793
