left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high,dataset,scale,contrast,metric
371,358,14.0818612341821,14.447075412737995,14.667213006874395,15.948009622420058,14.436910564084302,15.072307519503,0.41221069433359936,-0.17557861133280128,-0.36521417855589533,-1.280796615545663,-0.6353969554186971,-1.1348975911978936,0.42205922969914367,-2.368896367954699,-0.2107245213997124,-1.4841269154576817,0.43907105560580045,0.3276140085467456,0.49192462107353074,cube,raw,interaction_vs_transport_free,neighbor_radius
371,358,1.1838359195401,1.0845995433130873,1.1051245640771228,1.041590604330382,1.1467966193387769,1.0587415188308797,0.6432034814558267,0.28640696291165346,0.09923637622701276,0.06353395974674081,0.08805510050789711,0.07415014592426433,0.1250168448341014,0.04349409053433527,0.10137003317739283,0.06518439528381473,0.11142090929379944,0.5922673469011434,0.6949749962462817,cube,raw,interaction_vs_transport_free,local_expansion
371,358,0.5647054711362692,0.2856761916503709,0.4448730339340129,0.2473346390534988,0.5103651227618089,0.2585737992744106,0.7808203707328826,0.5616407414657651,0.27902927948589834,0.19753839488051408,0.2517913234873983,0.24430168803401298,0.31360024607908854,0.17217245366622927,0.24545419373932004,0.21919028157937218,0.28783736623779965,0.7503656534839388,0.8122856162372045,cube,raw,interaction_vs_transport_free,model_sensitivity
371,358,5.305845986323515,2.68944853281973,3.9327477825592974,2.0050823339943076,4.590345206987766,2.495991564973363,0.7056121911186737,0.41122438223734736,2.616397453503785,1.9276654485649898,2.094353642014403,2.193555285465686,3.031472225576637,1.5756172398204162,2.1856956610780127,1.7053650208803288,2.5198716678920956,0.6774538658211234,0.7334284348375749,cube,raw,interaction_vs_transport_free,residual_norm
371,358,206.70829578065553,240.95040959404582,167.15075971974923,188.2580837960803,190.788737569316,223.68978079006638,0.43419566625005646,-0.1316086674998871,-34.24211381339029,-21.107324076331082,-32.90104322075038,-58.17362459723742,-11.565030986048066,-79.5942466582396,10.157858436122442,-60.82264588622855,-9.835530406651689,0.38944846020277335,0.46983764395354977,cube,whitened,interaction_vs_transport_free,neighbor_radius
371,358,1.3855928947808225,1.1135453979959513,1.135800378007236,1.0690517275104021,1.1892349281696764,1.0913462349845848,0.5609330060684545,0.12186601213690906,0.27204749678487117,0.06674865049683398,0.09788869318509152,0.1715384907618614,0.3855437168969819,0.02135983209758065,0.09691258358356329,0.06151014253105075,0.1377057800799651,0.5247057213894775,0.6008062338127184,cube,whitened,interaction_vs_transport_free,local_expansion
371,358,0.9060067762637732,0.455560648941541,0.6155700218747253,0.32266386904704936,0.6887405426591373,0.4011733201177402,0.7023445617310906,0.4046891234621812,0.4504461273222322,0.29290615282767596,0.2875672225413971,0.34092568891926733,0.562151490867445,0.19928671042768428,0.3749256049201441,0.2026174982815082,0.36323807832082766,0.6487267143274696,0.7660057000947947,cube,whitened,interaction_vs_transport_free,model_sensitivity
371,358,99.35644704930824,63.16458436678555,61.8272181251761,49.5216961902992,81.2438561911949,54.52825345612761,0.6324895721965397,0.26497914439307935,36.1918626825227,12.3055219348769,26.715602735067286,26.34410030943845,46.085118255881476,5.986651593577669,27.996124924126253,16.28167850554852,36.83659025374839,0.6022305024770397,0.6708275234370145,cube,whitened,interaction_vs_transport_free,residual_norm
371,358,14.594678163233391,14.937316301871816,15.152732957431487,16.447052541062035,14.961942023257102,15.581004165427203,0.41757141351322863,-0.16485717297354274,-0.3426381386384243,-1.294319583630548,-0.619062142170101,-1.108944046550367,0.46032726223762416,-2.4162247800620644,-0.14935682305661163,-1.463270883626326,0.4430925939029142,0.33646872753687007,0.4972500887202167,cube,targetnorm,interaction_vs_transport_free,neighbor_radius
371,358,1.1846568484095295,1.085847012421275,1.1140277626615593,1.040721530483892,1.1481098800413043,1.058961764590645,0.6452137511481878,0.2904275022963756,0.09880983598825455,0.07330623217766741,0.08914811545065926,0.07120946880782034,0.12546055160518216,0.04596125345278667,0.10420649205365695,0.06653028050113588,0.11185352643201572,0.5922458475455584,0.6970374768389345,cube,targetnorm,interaction_vs_transport_free,local_expansion
371,358,0.5683961502206881,0.28235495198797766,0.4613627174919112,0.24098164446435993,0.5157656035109132,0.2542079313979375,0.7910900630938578,0.5821801261877155,0.28604119823271046,0.22038107302755128,0.26155767211297565,0.2523881991205534,0.32069563066162643,0.1831775104865348,0.2775399689213144,0.22974567374346155,0.2964263697956036,0.7565101084408307,0.8243000454412001,cube,targetnorm,interaction_vs_transport_free,model_sensitivity
371,358,5.51163253430659,2.788879422219647,4.080202453714966,2.0882975977118665,4.771584170560226,2.586687185114837,0.7053787890195606,0.4107575780391213,2.722753112086943,1.9919048560030994,2.184896985445389,2.3429684178248773,3.1491078543707305,1.6491889553357568,2.28227957151905,1.828828445152484,2.6298522360598935,0.6777967350710465,0.7342170541174552,cube,targetnorm,interaction_vs_transport_free,residual_norm
