scope,benefit,pearson,spearman,rmse,mae,predicted_mean,actual_mean
calibration,b12,-0.20432309160899678,-0.15789473684210525,0.00017247180619577162,0.0001170773914401626,-4.5952527478672486e-05,-2.0258099645629575e-05
calibration,b14,-0.15003567928281203,-0.19969362074625233,0.00027386314142298986,0.00018850185689676347,-0.0001122420252549688,-9.452040191711291e-05
test_descriptive,b12,-0.23518610941926874,-0.24324324324324326,0.00013086225431959436,8.506038737079403e-05,-3.611197296648214e-05,3.0383833407081984e-05
test_descriptive,b14,-0.15151092630684368,-0.1403873509136667,0.00021531181416197136,0.00013877278655695025,-9.897274058241996e-05,7.955719918677309e-06
