policy,raw_mean_loss,whitened_mean_loss,depth_1,depth_2,depth_4,first_calls,continuation_calls,total_calls,mean_calls,diagnostic_only
adaptive,0.002774302602820042,42.41245473167531,18,11,9,38,38,76,2.0,False
uniform_d2,0.002728842116543212,41.68302530778229,0,38,0,38,38,76,2.0,False
fixed_d1,0.002759225949950294,42.22985367647004,38,0,0,38,0,38,1.0,False
random,0.0027563595226232926,42.22533486637579,22,5,11,38,38,76,2.0,False
permutation,0.0027386958353052583,41.69722452111734,18,11,9,38,38,76,2.0,False
oracle,0.0026900111204839375,41.006707056311846,18,11,9,38,38,76,2.0,True
