calibration_bias_predicted_minus_realized,calibration_ece,calibration_intercept,calibration_mae,calibration_rmse,calibration_slope,decision_depth,family,n,ordered_adjacent_fraction,ordered_quantiles,positive_gain_rate,roc_auc_positive_gain,source,spearman_rho,top_bottom_realized_gain_gap
-4.945333796892392e-05,4.945333796892392e-05,5.457420573360216e-06,0.00021447385296028646,0.0003351692428132469,1.3796606777875806,1,compact11_control,15960,1.0,True,0.731829573934837,0.506506049161439,discovery,0.08284852898878275,0.00010545676301526989
-1.4213607229837308e-05,1.4213607229837313e-05,-2.0650663140628717e-05,8.330198639089291e-05,0.00012867419075128302,1.7189407961163803,2,compact11_control,15960,1.0,True,0.7162907268170426,0.5480470478997643,discovery,0.18924441741934597,8.788408109708747e-05
-7.695037775957243e-06,7.69503777595724e-06,-7.756580920305004e-06,5.7027052481082036e-05,8.68948185094596e-05,1.4642767088810118,3,compact11_control,15960,0.75,False,0.7102130325814536,0.5354782007415444,discovery,0.16322342229355968,5.26011862163607e-05
-4.798467241748876e-05,4.7984672417488775e-05,2.999935116453162e-06,0.00021198464373787545,0.0003321245570184964,1.3833353445030183,1,distilled_rank_linear,15960,1.0,True,0.731829573934837,0.5339909862693637,discovery,0.1746531171973999,0.0001787662553497535
-1.6052563447505373e-05,1.6052563447505366e-05,1.3890476597479809e-05,8.440093115132134e-05,0.00012935647742379013,1.0463420361310074,2,distilled_rank_linear,15960,1.0,True,0.7162907268170426,0.5435166297504741,discovery,0.17681287082247285,8.203995981092334e-05
-1.0704298995498058e-05,1.1285781258959567e-05,2.045775267484893e-05,5.9196012813085635e-05,8.865022210650749e-05,0.6778039074519,3,distilled_rank_linear,15960,1.0,True,0.7102130325814536,0.5359074094827072,discovery,0.1512790382949966,4.650422111776527e-05
-4.2640988192348186e-05,4.264098819234819e-05,-2.697971904480614e-06,0.00021181781104843576,0.00033160315902609777,1.3695270690839891,1,full_linear,15960,1.0,True,0.731829573934837,0.5317606780501857,discovery,0.17108065170068731,0.00017037453245281718
-1.483192695336237e-05,1.4831926953362366e-05,8.538265288046464e-06,8.412468630070386e-05,0.00012902904168591453,1.1314585982578185,2,full_linear,15960,1.0,True,0.7162907268170426,0.5471004265195706,discovery,0.18290436816167308,8.258521980099802e-05
-8.500653392681108e-06,1.053866804332226e-05,1.8060998270161646e-05,5.8811054977094576e-05,8.825242981111715e-05,0.7056130709565106,3,full_linear,15960,1.0,True,0.7102130325814536,0.5369694536177112,discovery,0.14951007680213713,4.656879693749105e-05
-2.927059735615829e-05,2.9270597356158295e-05,3.1824763073798016e-05,0.00021200286455858025,0.00032957272513156236,0.9812283342961542,1,in_model_halting,15960,1.0,True,0.731829573934837,0.5405085776469082,discovery,0.18089981560177756,0.0001777000404689531
-1.4039565203462446e-05,1.4039565203462452e-05,1.664431812501383e-05,8.496704446418822e-05,0.0001314175709315561,0.9464791240198819,2,in_model_halting,15960,1.0,True,0.7162907268170426,0.5415048299114505,discovery,0.14973654963128705,6.051762746912509e-05
-8.148753051269494e-06,8.148753051269495e-06,1.9535362078052763e-05,5.868532333970672e-05,8.958503961066249e-05,0.6531364066435066,3,in_model_halting,15960,1.0,True,0.7102130325814536,0.5355911634616531,discovery,0.11220228845366359,2.9067648769829557e-05
-1.965313826318477e-05,1.9653138263184752e-05,1.948024655714249e-05,0.0002093474843806099,0.0003225333399197749,1.001186771343955,1,low_rank,15960,1.0,True,0.731829573934837,0.5644594762194342,discovery,0.24707675477146732,0.00023869323558756153
-6.636722731227523e-06,8.78963154271792e-06,1.492766420011971e-05,8.40175346187775e-05,0.00012653554145183936,0.8521344773632051,2,low_rank,15960,1.0,True,0.7162907268170426,0.5646308205594859,discovery,0.22442188439953822,9.816167723675748e-05
-4.074435701362082e-06,1.3225461523650219e-05,1.7701660636260783e-05,5.918371982940333e-05,8.777483972734537e-05,0.6307150950649414,3,low_rank,15960,1.0,True,0.7102130325814536,0.5495047866569701,discovery,0.17131598516954508,5.477169604244336e-05
-4.834721046679307e-05,4.834721046679308e-05,-4.238943261840156e-06,0.00021373573361812756,0.0003350884317819359,1.449499121291051,1,stable_sparse,15960,1.0,True,0.731829573934837,0.5213326358660862,discovery,0.1272822844753998,0.00013012120094905104
-1.9212477496345024e-05,1.9212477496345027e-05,1.603538863658137e-05,8.534062123637566e-05,0.00013300148968464306,1.0730448077808077,2,stable_sparse,15960,1.0,True,0.7162907268170426,0.5173300621341866,discovery,0.10053277782936305,4.6971981217959234e-05
-1.2207041640308836e-05,1.2207041640308836e-05,1.557670961371962e-05,5.8588924938900795e-05,8.989180653908821e-05,0.8828717723674713,3,stable_sparse,15960,1.0,True,0.7102130325814536,0.5135310053767927,discovery,0.09374066705027616,2.7041196622383923e-05
7.918359043116786e-05,7.918359043116784e-05,-8.539111751082481e-05,0.00021710196587823133,0.00031464211470537255,1.0516936764682783,1,full_linear,3420,1.0,True,0.5476608187134503,0.5566128541851666,calibration_once,0.1342014622725171,0.00013258494764371715
3.449125648675623e-05,3.449125648675624e-05,-6.1932284165315945e-06,8.642969709844731e-05,0.0001226649614629174,0.41942959165007654,2,full_linear,3420,0.75,False,0.5491228070175439,0.5338298324928278,calibration_once,0.09337384054240767,3.616934116624775e-05
2.2819846709274982e-05,2.286990454080798e-05,-2.5589040353769975e-06,5.82670365247006e-05,8.342043381885172e-05,0.36254830339070726,3,full_linear,3420,1.0,True,0.5461988304093567,0.553860529481887,calibration_once,0.12551889846907568,2.7600393803485217e-05
