depth,raw_mse,source
1,0.003102540070350623,discovery_all_420
2,0.002937204525006566,discovery_all_420
3,0.00287449697980743,discovery_all_420
4,0.002833520887003958,discovery_all_420
1,0.0031615191634982,calibration_once_90
2,0.0031206198443018023,calibration_once_90
3,0.003106369332928477,calibration_once_90
4,0.003097404900481121,calibration_once_90
