cal_deep,cal_gate_price,cal_gate_ranking,cal_gate_regression,cal_monotonic,cal_total,cal_update,calibration_objective,epoch,seed,train_objective
0.013291832526916998,2.118438994535926,0.7250303527067976,52.7231451960335,0.00022548008218274196,13.44239973436322,0.0051511701180093124,13.44239973436322,1,260913,70.31410767911072
0.20982349257023014,2.745112497764721,0.7037015180838736,812.6551005402504,0.02604628894369156,203.7093444467288,0.06003306277139842,203.7093444467288,2,260913,43.99558028865577
0.8253967643481249,3.6953345878779538,2.621009047547279,3901.0633549205045,0.14536869851817863,976.7372125993695,0.24162700430691592,976.7372125993695,3,260913,804.8367195148516
1.2892370742664003,81.42376801786367,4.06743839386611,8115.504285453217,0.41335044506697627,2038.9244560375548,0.3481119087565015,2038.9244560375548,4,260913,727.5475230275539
14.25419830523039,498.15524966591283,25.089236586275156,116251.29781615497,6.0146810208147725,29134.163701571637,3.5798444708885504,29134.163701571637,5,260913,12757.697519612133
119.62463130839387,11.302578167050903,0.6828141679540712,2532196.2736842106,131.95274913408602,633301.8059941521,41.90735629790011,633301.8059941521,6,260913,132649.4232666025
234.5100529899374,0.0,3.706622937408804,3573990.8520467835,186.56996285064875,893918.9947368421,45.510888877110176,893918.9947368421,7,260913,544112.7806161484
191.52064442774008,0.0,17.977462352507295,2209491.11374269,115.8059477778206,552681.0013157895,38.019650919953285,552681.0013157895,8,260913,656821.7961176344
414.8409404553865,0.0,40.408155804907366,4908602.931578947,257.0953999123378,1227824.6730994151,87.72927844845063,1227824.6730994151,9,260913,4467092.771770812
2428.0644793951024,0.0,357.68031905324835,29600135.2748538,1545.9158542923062,7404025.739181287,639.6345392595258,7404025.739181287,10,260913,4328041.500421265
1.056443042225308,7674.955052997076,158.21248870314213,5876.203728641264,2.8685339466445365e-05,2245.513588210435,0.3652694414930734,2245.513588210435,11,260913,3129296.372006768
0.37874338808115465,17.427823143674615,13.524317822818867,3020.219715426261,0.14334344496155343,757.996021221674,0.14546001311282666,757.996021221674,12,260913,576.6229328631159
3323.694128061038,2.772063135961343,6.556414803287439,77312716.13099416,4026.335200794956,19335529.659649123,1811.3980445906432,19335529.659649123,13,260913,835156.9037820002
1167.5216955352248,0.0,58.33929517422503,21362524.285380118,1115.924446471811,5342917.529239766,334.56042255602387,5342917.529239766,14,260913,2882205.3853324642
6807.05574058845,0.0,148.58544953998768,118416224.99181287,6176.565180121528,29617047.377777778,1611.434612858644,29617047.377777778,15,260913,6503327.285775631
31889.505487024853,0.0,232.4501564427426,696303282.825731,36260.52044499269,174143984.63625732,12824.38526818348,174143984.63625732,16,260913,21643497.657907434
