depth_1_fraction,depth_2_fraction,depth_3_fraction,depth_4_fraction,diagnostic_only,mean_calls,operating_point,policy,raw_mse,seed,total_calls,whitened_mse
0.7614035087719299,0.23859649122807017,0.0,0.0,False,1.2385964912280703,1.25,adaptive,0.016986222937703133,260913,4236,6.6934556828419876
0.92046783625731,0.0,0.0,0.07953216374269007,False,1.2385964912280703,1.25,matched_mixture,0.016499582678079605,260913,4236,6.548585043082577
0.7614035087719299,0.23859649122807017,0.0,0.0,False,1.2385964912280703,1.25,random_histogram,0.01682053692638874,260913,4236,6.657877327867403
0.7614035087719299,0.23859649122807017,0.0,0.0,False,1.2385964912280703,1.25,permutation,0.01680762879550457,260913,4236,6.6487228245728565
1.0,0.0,0.0,0.0,False,1.0,1.25,fixed_d1,0.017068058252334595,260913,3420,6.982781166674001
0.0,1.0,0.0,0.0,False,2.0,1.25,fixed_d2,0.01601628214120865,260913,6840,5.6185577346494995
0.0,0.0,0.0,1.0,False,4.0,1.25,fixed_d4,0.009941945783793926,260913,13680,1.561871452993939
0.8833333333333333,0.0,0.11140350877192982,0.005263157894736842,True,1.2385964912280703,1.25,oracle,0.015910577028989792,260913,4236,6.27680000601579
0.5073099415204678,0.4926900584795322,0.0,0.0,False,1.4926900584795322,1.50,adaptive,0.016742227599024773,260913,5105,6.342981583025624
0.8353801169590643,0.0005847953216374269,0.0,0.16403508771929826,False,1.4926900584795322,1.50,matched_mixture,0.01588359847664833,260913,5105,6.08532151461861
0.5073099415204678,0.4926900584795322,0.0,0.0,False,1.4926900584795322,1.50,random_histogram,0.01653265208005905,260913,5105,6.302931948915376
0.5073099415204678,0.4926900584795322,0.0,0.0,False,1.4926900584795322,1.50,permutation,0.016507625579833984,260913,5105,6.294815707941363
1.0,0.0,0.0,0.0,False,1.0,1.50,fixed_d1,0.017068058252334595,260913,3420,6.982781166674001
0.0,1.0,0.0,0.0,False,2.0,1.50,fixed_d2,0.01601628214120865,260913,6840,5.6185577346494995
0.0,0.0,0.0,1.0,False,4.0,1.50,fixed_d4,0.009941945783793926,260913,13680,1.561871452993939
0.7578947368421053,0.0,0.23362573099415204,0.00847953216374269,True,1.4926900584795322,1.50,oracle,0.014846565201878548,260913,5105,5.583730254723243
0.0,1.0,0.0,0.0,False,2.0,2.00,adaptive,0.01601628214120865,260913,6840,5.6185577346494995
0.6666666666666666,0.0,0.0,0.3333333333333333,False,2.0,2.00,matched_mixture,0.014679624699056149,260913,6840,5.173180964767054
0.0,1.0,0.0,0.0,False,2.0,2.00,random_histogram,0.01601628214120865,260913,6840,5.6185577346494995
0.0,1.0,0.0,0.0,False,2.0,2.00,permutation,0.01601628214120865,260913,6840,5.6185577346494995
1.0,0.0,0.0,0.0,False,1.0,2.00,fixed_d1,0.017068058252334595,260913,3420,6.982781166674001
0.0,1.0,0.0,0.0,False,2.0,2.00,fixed_d2,0.01601628214120865,260913,6840,5.6185577346494995
0.0,0.0,0.0,1.0,False,4.0,2.00,fixed_d4,0.009941945783793926,260913,13680,1.561871452993939
0.5102339181286549,0.0017543859649122807,0.46578947368421053,0.022222222222222223,True,2.0,2.00,oracle,0.012968824245035648,260913,6840,4.300248441099431
0.0,0.5783625730994152,0.40116959064327484,0.02046783625730994,False,2.442105263157895,2.50,adaptive,0.013262114487588406,260913,8352,3.943991565368419
0.519298245614035,0.0,0.0,0.4807017543859649,False,2.442105263157895,2.50,matched_mixture,0.013646690174937248,260913,8352,4.37850019336052
0.0,0.5783625730994152,0.40116959064327484,0.02046783625730994,False,2.442105263157895,2.50,random_histogram,0.013628010638058186,260913,8352,4.186109084632462
0.0,0.5783625730994152,0.40116959064327484,0.02046783625730994,False,2.442105263157895,2.50,permutation,0.013617610558867455,260913,8352,4.18372256279266
1.0,0.0,0.0,0.0,False,1.0,2.50,fixed_d1,0.017068058252334595,260913,3420,6.982781166674001
0.0,1.0,0.0,0.0,False,2.0,2.50,fixed_d2,0.01601628214120865,260913,6840,5.6185577346494995
0.0,0.0,0.0,1.0,False,4.0,2.50,fixed_d4,0.009941945783793926,260913,13680,1.561871452993939
0.29912280701754385,0.004678362573099415,0.6511695906432748,0.04502923976608187,True,2.442105263157895,2.50,oracle,0.011568843387067318,260913,8352,3.28296074697528
