calibration_mean_depth,calibration_raw_mse,calibration_total_calls,operating_point,seed,target_mean_depth,test_mean_depth_target_free,test_total_calls_target_free,threshold
1.2505847953216374,0.016943827403807326,4277,1.25,260913,1.25,1.2385964912280703,4236,0.00029447129054460675
1.4994152046783626,0.016680563453922582,5128,1.50,260913,1.5,1.4926900584795322,5105,0.0002602288586786017
2.000292397660819,0.015926225619031148,6841,2.00,260913,2.0,2.0,6840,0.00012586001685122028
2.5005847953216374,0.01297008939337922,8552,2.50,260913,2.5,2.442105263157895,8352,4.084536340087652e-05
1.25,0.017083358285507482,4275,1.25,260914,1.25,1.248830409356725,4271,4.2504010707489215e-05
1.5,0.0169014999878522,5130,1.50,260914,1.5,1.4421052631578948,4932,3.487296271487139e-05
2.001754385964912,0.01643832207395973,6846,2.00,260914,2.0,1.880701754385965,6432,2.4004616534512024e-05
2.4991228070175437,0.01571078034068801,8547,2.50,260914,2.5,2.3464912280701755,8025,1.454695348002133e-05
1.2494152046783626,0.014914971443195419,4273,1.25,260915,1.25,1.2298245614035088,4206,6.076478894101456e-05
1.5005847953216374,0.015804552360456872,5132,1.50,260915,1.5,1.487719298245614,5088,5.334164961823262e-05
2.001754385964912,0.017214709343674608,6846,2.00,260915,2.0,1.9824561403508771,6780,4.0860933950170875e-05
2.5,0.01827673282227833,8550,2.50,260915,2.5,2.471052631578947,8451,3.033434313692851e-05
