radius_bin,left_row_id,right_row_id,left_episode_key,right_episode_key,left_radius,right_radius,abs_radius_gap,left_local_expansion,right_local_expansion,left_model_sensitivity,right_model_sensitivity
7,swm/FetchSlideDense-v3::13::8,swm/FetchPushDense-v3::68::5,swm/FetchSlideDense-v3::13,swm/FetchPushDense-v3::68,0.5689157583349361,0.5689624184481795,4.666011324339081e-05,4.205769293264945,4.398342789930835,2.776762761919643,3.061005438256495
7,swm/FetchSlideDense-v3::40::20,swm/FetchPushDense-v3::61::16,swm/FetchSlideDense-v3::40,swm/FetchPushDense-v3::61,0.569020538014162,0.5690288143857934,8.276371631477097e-06,5.877909698183076,2.9810824412667305,2.250688795837233,1.389493680725819
7,swm/FetchSlideDense-v3::491::6,swm/FetchSlideDense-v3::305::47,swm/FetchSlideDense-v3::491,swm/FetchSlideDense-v3::305,0.5696074929254307,0.5696491382849038,4.164535947315251e-05,9.7324846939409,4.46722991876582,3.696431267623888,0.8567143983011104
7,swm/FetchSlideDense-v3::20::39,swm/FetchPushDense-v3::20::31,swm/FetchSlideDense-v3::20,swm/FetchPushDense-v3::20,0.5734593437507438,0.5733793569924834,7.998675826037527e-05,9.090472031938404,6.240833559479322,3.1316515415195996,2.5637076556142118
7,swm/FetchPushDense-v3::426::28,swm/FetchSlideDense-v3::13::35,swm/FetchPushDense-v3::426,swm/FetchSlideDense-v3::13,0.5741195462513571,0.5740893910138294,3.015523752769589e-05,6.508821987626752,5.481854419154808,4.493286024655485,0.9268483492879934
7,swm/FetchSlideDense-v3::256::8,swm/FetchPushDense-v3::487::7,swm/FetchSlideDense-v3::256,swm/FetchPushDense-v3::487,0.5743706146167338,0.574448078876856,7.746426012222862e-05,6.134168460407668,6.368451233574923,3.092203075135915,4.473215273495939
7,swm/FetchSlideDense-v3::256::27,swm/FetchPushDense-v3::257::29,swm/FetchSlideDense-v3::256,swm/FetchPushDense-v3::257,0.5753962085204711,0.575303290770844,9.291774962716381e-05,7.865969491017615,4.998560729559707,4.249126430723587,3.0477215716082284
7,swm/FetchPushDense-v3::347::19,swm/FetchSlideDense-v3::171::27,swm/FetchPushDense-v3::347,swm/FetchSlideDense-v3::171,0.5755211741303881,0.5755235782528957,2.4041225076265604e-06,5.534541077842318,5.787134161026539,6.439775972585899,0.5080975108242904
8,swm/FetchPushDense-v3::303::27,swm/FetchPushDense-v3::414::16,swm/FetchPushDense-v3::303,swm/FetchPushDense-v3::414,0.5762143636695256,0.5762873483460964,7.298467657079755e-05,5.8631834158750795,2.6980081356670027,3.9033725130465227,0.9124648300298644
8,swm/FetchPushDense-v3::177::40,swm/FetchSlideDense-v3::79::3,swm/FetchPushDense-v3::177,swm/FetchSlideDense-v3::79,0.5775330440912478,0.5775444322572723,1.1388166024417501e-05,5.061491199655276,10.258752869845884,4.91204442251161,2.3079050335580615
8,swm/FetchPushDense-v3::84::11,swm/FetchPushDense-v3::358::21,swm/FetchPushDense-v3::84,swm/FetchPushDense-v3::358,0.5776524029292346,0.5776420292802714,1.0373648963168947e-05,5.97741976994032,3.694660047204452,4.519589209975922,2.98840940612073
8,swm/FetchPushDense-v3::352::19,swm/FetchPushDense-v3::117::10,swm/FetchPushDense-v3::352,swm/FetchPushDense-v3::117,0.5776595777032613,0.577603094400272,5.648330298924087e-05,5.478340187528114,3.8635225666446766,3.643528374764258,0.6971838240670388
8,swm/FetchPushDense-v3::470::11,swm/FetchSlideDense-v3::135::3,swm/FetchPushDense-v3::470,swm/FetchSlideDense-v3::135,0.5776894388933896,0.5777664808657784,7.704197238878052e-05,4.799447256395506,5.076536137505907,4.101720254758219,1.048214175988714
8,swm/FetchSlideDense-v3::369::24,swm/FetchSlideDense-v3::187::25,swm/FetchSlideDense-v3::369,swm/FetchSlideDense-v3::187,0.5779022233653281,0.5779021296861744,9.367915376756741e-08,8.019277159440568,5.700846756679327,2.663599820875748,1.1276573321926975
8,swm/FetchPushDense-v3::92::44,swm/FetchPushDense-v3::164::34,swm/FetchPushDense-v3::92,swm/FetchPushDense-v3::164,0.5797768831200047,0.5797710826346545,5.800485350260232e-06,4.7835826491351785,3.911582763554571,3.4672505308275015,2.2186889612517593
8,swm/FetchPushDense-v3::471::20,swm/FetchSlideDense-v3::41::37,swm/FetchPushDense-v3::471,swm/FetchSlideDense-v3::41,0.5808314115436741,0.58079081685495,4.059468872408267e-05,7.900009852350687,7.003356832680099,6.349644152551648,3.465759068970571
8,swm/FetchPushDense-v3::45::12,swm/FetchSlideDense-v3::79::44,swm/FetchPushDense-v3::45,swm/FetchSlideDense-v3::79,0.5808455775487775,0.5808742860133869,2.87084646093394e-05,4.922621220432712,4.710646138553486,3.535756352125324,1.3409661368295265
8,swm/FetchPushDense-v3::92::47,swm/FetchSlideDense-v3::279::15,swm/FetchPushDense-v3::92,swm/FetchSlideDense-v3::279,0.5810244524678583,0.5810392997398126,1.4847271954332442e-05,4.580729297325765,5.520156860354559,3.2301162904049106,1.5837841225184686
8,swm/FetchPushDense-v3::471::3,swm/FetchPushDense-v3::219::27,swm/FetchPushDense-v3::471,swm/FetchPushDense-v3::219,0.5823216884427466,0.5823217462207186,5.777797207340285e-08,6.48056718127884,3.6879865905283093,3.790083063756474,1.0208515634489348
8,swm/FetchSlideDense-v3::449::3,swm/FetchPushDense-v3::49::29,swm/FetchSlideDense-v3::449,swm/FetchPushDense-v3::49,0.5828516271432251,0.5828327757966889,1.885134653623055e-05,7.4476713699563595,3.7359519890681354,4.943261858355226,1.3007471183807982
8,swm/FetchPushDense-v3::49::30,swm/FetchPushDense-v3::358::4,swm/FetchPushDense-v3::49,swm/FetchPushDense-v3::358,0.5828946015380108,0.5830426807449187,0.0001480792069079584,5.854055436730884,4.171243432197845,5.161590407205648,3.2807426258576915
8,swm/FetchPushDense-v3::358::19,swm/FetchPushDense-v3::216::6,swm/FetchPushDense-v3::358,swm/FetchPushDense-v3::216,0.5837529195140475,0.5836689452870123,8.397422703521062e-05,6.839023787411217,4.912226199997643,4.6047386355001665,4.314221987564394
8,swm/FetchPushDense-v3::268::8,swm/FetchSlideDense-v3::364::14,swm/FetchPushDense-v3::268,swm/FetchSlideDense-v3::364,0.5838786777584989,0.5838926843363333,1.40065778344578e-05,7.483321474228267,5.180007025843328,4.894874769478544,1.0150790684976612
8,swm/FetchPushDense-v3::405::32,swm/FetchSlideDense-v3::326::10,swm/FetchPushDense-v3::405,swm/FetchSlideDense-v3::326,0.5844825122873989,0.5845266749683913,4.416268099238785e-05,6.0228255086603735,5.387165830682324,4.164756264113079,0.9724860319910764
8,swm/FetchPushDense-v3::68::4,swm/FetchPushDense-v3::198::14,swm/FetchPushDense-v3::68,swm/FetchPushDense-v3::198,0.5845307233086289,0.584368201602079,0.0001625217065498452,5.281008084490905,3.213940201270636,3.73488460269591,1.1606051918469305
8,swm/FetchPushDense-v3::270::9,swm/FetchPushDense-v3::134::8,swm/FetchPushDense-v3::270,swm/FetchPushDense-v3::134,0.5854000726452463,0.5853723396767786,2.773296846769746e-05,6.111480171182796,3.34039004311133,6.380334616168686,1.1590150185037567
8,swm/FetchPushDense-v3::69::30,swm/FetchSlideDense-v3::182::21,swm/FetchPushDense-v3::69,swm/FetchSlideDense-v3::182,0.5855635365963956,0.5856468996152269,8.336301883127284e-05,3.512650850080327,4.052332998576675,2.5111510022693118,0.5972444787926423
8,swm/FetchSlideDense-v3::161::23,swm/FetchPushDense-v3::405::40,swm/FetchSlideDense-v3::161,swm/FetchPushDense-v3::405,0.5863910585033545,0.586380251919544,1.080658381047428e-05,5.128633244978631,8.235884624886431,2.356271980310293,5.946487695365265
8,swm/FetchSlideDense-v3::180::47,swm/FetchSlideDense-v3::62::10,swm/FetchSlideDense-v3::180,swm/FetchSlideDense-v3::62,0.5887120367157767,0.5886759426470767,3.609406869997667e-05,9.512625946640002,5.572825160185096,2.0002604012979592,0.751488585100995
8,swm/FetchSlideDense-v3::79::4,swm/FetchPushDense-v3::294::20,swm/FetchSlideDense-v3::79,swm/FetchPushDense-v3::294,0.5889601389000603,0.5890573167752913,9.717787523100263e-05,4.580283408078245,6.5161426631628485,2.560963803382705,4.153324498551159
8,swm/FetchPushDense-v3::347::40,swm/FetchPushDense-v3::384::30,swm/FetchPushDense-v3::347,swm/FetchPushDense-v3::384,0.5901627051862788,0.5901656776596835,2.9724734047498202e-06,3.5400804984989604,3.788485083724694,2.290932190739821,1.099957677187122
8,swm/FetchSlideDense-v3::13::4,swm/FetchPushDense-v3::294::15,swm/FetchSlideDense-v3::13,swm/FetchPushDense-v3::294,0.5905544666202902,0.5905723613402571,1.78947199669377e-05,5.157864369023196,5.5602763346128325,2.860677159961518,3.45808865477998
8,swm/FetchPushDense-v3::303::24,swm/FetchPushDense-v3::88::14,swm/FetchPushDense-v3::303,swm/FetchPushDense-v3::88,0.5916372450499205,0.5916847197595356,4.747470961508071e-05,4.688990147219464,4.984287975864904,2.853900184688389,3.4964091778265605
8,swm/FetchSlideDense-v3::494::3,swm/FetchPushDense-v3::68::16,swm/FetchSlideDense-v3::494,swm/FetchPushDense-v3::68,0.5927196207430212,0.5927463895605178,2.6768817496636288e-05,8.602463561287795,3.564422193788513,5.424664297280485,1.7736013979951324
8,swm/FetchPushDense-v3::471::30,swm/FetchPushDense-v3::347::41,swm/FetchPushDense-v3::471,swm/FetchPushDense-v3::347,0.592888877527217,0.5928809585756045,7.918951612451153e-06,7.523733178875191,6.301038839504003,3.4280573584466674,4.800541663929965
8,swm/FetchPushDense-v3::358::36,swm/FetchPushDense-v3::487::10,swm/FetchPushDense-v3::358,swm/FetchPushDense-v3::487,0.5934085193176517,0.5932121433633888,0.00019637595426291732,4.417625619779968,4.875704913739181,2.4246598387512837,0.8045034403591727
8,swm/FetchPushDense-v3::192::29,swm/FetchPushDense-v3::357::44,swm/FetchPushDense-v3::192,swm/FetchPushDense-v3::357,0.5936340634583845,0.5936810447035334,4.698124514890267e-05,16.81147012138631,5.463249807607469,6.24046546589995,2.1574262639431363
8,swm/FetchSlideDense-v3::180::16,swm/FetchPushDense-v3::90::27,swm/FetchSlideDense-v3::180,swm/FetchPushDense-v3::90,0.5948096259284994,0.5948104537410821,8.278125827043681e-07,5.867747549894381,5.553369107718113,2.742191629687063,2.548983403643181
8,swm/FetchPushDense-v3::49::13,swm/FetchPushDense-v3::15::36,swm/FetchPushDense-v3::49,swm/FetchPushDense-v3::15,0.5951992442197127,0.5951991564905434,8.772916926247376e-08,4.7254276353705515,4.569128343513832,3.579044632249059,0.5311637700736827
