left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high,dataset,r_item,scale,contrast,metric,left_episodes,right_episodes,k,n_valid_interaction,n_valid_right
1069,6197,0.7131550467412594,0.4537814175985132,0.6322041739725052,0.3868153661275608,0.6725823195344602,0.4197316226249472,0.7654756299745509,0.5309512599491018,0.2593736291427462,0.24538880784494438,0.25285069690951306,0.2059535529083319,0.3064547961514042,0.19700998622630436,0.2940603874677055,0.20225533479178776,0.2969888159765459,0.7338395644460655,0.7905903844225387,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,neighbor_radius,187,200,5,1069,6197
1069,6197,6.137846121115021,5.258432516679084,5.663289828996196,4.912439088961361,5.883788669942605,5.006700108798762,0.6398611960010222,0.2797223920020444,0.8794136044359364,0.750850740034835,0.877088561143843,0.6903366137779724,1.0576433334017572,0.5568862454313165,0.9980201322664259,0.69044864332514,1.0604656871413574,0.6095174065777713,0.670150267285766,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,local_expansion,187,200,5,1069,6197
1069,6197,4.306082552465444,1.8113299481416139,3.904513206017106,0.9546075507926302,4.06891519188708,1.355156012598772,0.8730786932872706,0.7461573865745412,2.49475260432383,2.949905655224476,2.7137591792883082,2.2875127999286855,2.698260983855699,2.767564509842755,3.14431221876456,2.528665503757216,2.9077020187757427,0.8559097415645834,0.8890452178845142,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,model_sensitivity,187,200,5,1069,6197
1069,6197,0.7705641102763232,0.49013434972567643,0.6959433961842918,0.4172971742589733,0.7318892220146683,0.45443908677931705,0.7773482838870253,0.5546965677740505,0.2804297605506468,0.2786462219253185,0.2774501352353513,0.22939970006887944,0.32857939851765816,0.21559899673770475,0.3421022260889625,0.22585219362562547,0.3274517399561628,0.7476071117122436,0.8055864236332556,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,neighbor_radius,187,200,10,1069,6197
1069,6197,5.869047437656451,5.117280786934391,5.497214332957884,4.80114981732543,5.66535432246014,4.892862105268892,0.6421674508909453,0.2843349017818906,0.7517666507220602,0.6960645156324539,0.7724922171912478,0.5920086564008227,0.9244185817666759,0.5481208585067642,0.9332816608504723,0.6116842093730349,0.9473169042698707,0.6122632640566787,0.6741454980207766,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,local_expansion,187,200,10,1069,6197
1069,6197,3.8964688808920744,1.6698815727272964,3.5523087761630747,0.9116738367680498,3.6944244482761825,1.2688034630801375,0.8730952980809538,0.7461905961619075,2.226587308164778,2.640634939395025,2.425620985196045,2.060379478284014,2.417477486143023,2.525029353978878,2.759915927278288,2.2768428253413764,2.5927953945487343,0.8569000449847671,0.8892412948977728,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,model_sensitivity,187,200,10,1069,6197
1069,6197,0.8388096521678028,0.5343739703417855,0.7615798102790395,0.4658590032034857,0.8012375596840257,0.4973047023568775,0.7858531082588772,0.5717062165177544,0.3044356818260173,0.2957208070755538,0.30393285732714814,0.2551720314015295,0.3537410015101375,0.2281032317439733,0.3757135457024884,0.2543777501510934,0.3505689134631054,0.7590405376082251,0.810347110900747,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,neighbor_radius,187,200,20,1069,6197
1069,6197,5.598310074356053,4.98548659998858,5.344862295391177,4.737913657421895,5.416735737309904,4.805185884189585,0.6277855862239385,0.2555711724478771,0.6128234743674739,0.6069486379692819,0.6115498531203185,0.4521608956578238,0.7743905343187729,0.4118090392100386,0.7654140566861862,0.44849436284793853,0.7682918960554036,0.5958061022401344,0.6581924284147151,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,local_expansion,187,200,20,1069,6197
1069,6197,3.527675131557592,1.5270265191514376,3.2052557079235124,0.8418694865703494,3.3336594378444957,1.1759415169584573,0.8709274667892805,0.7418549335785609,2.000648612406154,2.363386221353163,2.1577179208860384,1.8425578538144887,2.19125766587956,2.243828925347859,2.444283186854319,2.025250537993919,2.3005662898161616,0.8539830689131314,0.8870482246417424,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,model_sensitivity,187,200,20,1069,6197
1069,6197,0.9134770695892205,0.5878204663710392,0.8215377535227844,0.5219069607721577,0.8774125317380949,0.5491159842395489,0.7897510080996674,0.5795020161993347,0.32565660321818124,0.29963079275062665,0.328296547498546,0.2734474178678304,0.3769598050024038,0.22797596117673777,0.4152917579433058,0.2728788357860582,0.3805955268440829,0.7608243604513468,0.8161190054901047,fetch,R4,normalized_state_current_action_matched,interaction_vs_free,neighbor_radius,187,200,40,1069,6197
