row_id,episode_key,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,action_neighbor_distance,env_id,episode_id,dataset,scale,k
swm/FetchPushDense-v3::1::3,swm/FetchPushDense-v3::1,free,True,10,0.4793469830082682,0.4793469830082682,2.6415768001164657,2.392318692904073,5.510782155211564,4.99078700337373,2.345132731623314,0.20975139028043352,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::4,swm/FetchPushDense-v3::1,free,True,10,0.4366949200104062,0.4366949200104062,2.47894729433219,1.4481774443296591,5.676611246755785,3.3162223281533705,1.35074366472967,0.1700653444043037,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::5,swm/FetchPushDense-v3::1,free,True,10,0.4274760556423205,0.4274760556423205,2.467933013410303,0.7569573180366966,5.773266083177491,1.7707595736544857,0.6018320287954151,0.20910895327326268,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::6,swm/FetchPushDense-v3::1,interaction,True,10,0.6292944540975669,0.6292944540975669,2.6477674240887534,2.022586755028443,4.207517493358107,3.214054631911403,1.3962260820767367,0.18052449120657765,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::7,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,0.5510148732458713,0.5510148732458713,3.6188898333186197,1.3341781811594104,6.567680854058935,2.421310650473276,0.9798246737084494,0.23421341156885567,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::8,swm/FetchPushDense-v3::1,free,True,10,0.6706948937310315,0.6706948937310315,4.5143445017624515,2.7144921182638866,6.730846684472951,4.047283114328403,2.309240588598414,0.2432886224856654,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::9,swm/FetchPushDense-v3::1,free,True,10,0.6929104644585176,0.6929104644585176,2.392572533432756,1.2239098893279896,3.4529317367179004,1.7663319463423421,1.0849570825862975,0.19403284724294106,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::10,swm/FetchPushDense-v3::1,free,True,10,0.5902686915414395,0.5902686915414395,1.7524618035928394,0.5311915585046514,2.968922168337314,0.8999148457586106,0.5915421556791934,0.1703326025258533,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::11,swm/FetchPushDense-v3::1,interaction,True,10,0.6160509730491928,0.6160509730491928,3.260088657151061,2.3267875104412252,5.291913818454009,3.776939916066697,1.8912286543983412,0.28358468210213783,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::12,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,0.5625560718765665,0.5625560718765665,3.904687080437773,0.8952800308743816,6.940974021331907,1.5914503027012386,0.93310151716012,0.258660453604338,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::13,swm/FetchPushDense-v3::1,free,True,10,0.7037713138664656,0.7037713138664656,4.707839674016795,2.6990187351432855,6.689445251970111,3.8350792110509357,2.090583188032935,0.29116275723120766,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::14,swm/FetchPushDense-v3::1,free,True,10,0.7418513396631121,0.7418513396631121,2.490768141938625,0.783799637811555,3.3575030585908587,1.0565454234638065,0.7690174094484948,0.19437913999157722,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::15,swm/FetchPushDense-v3::1,free,True,10,0.652283171404456,0.652283171404456,3.177663294868681,2.432840331249153,4.871600915330579,3.729730334773026,2.3085737083752154,0.20914208279155796,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::16,swm/FetchPushDense-v3::1,interaction,True,10,0.7709197965730801,0.7709197965730801,3.5792491742991217,2.7984437439724337,4.642829500824504,3.6300063332297015,2.7025599810596286,0.30247740184972893,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::17,swm/FetchPushDense-v3::1,post_impact_response,True,10,0.6725837693439157,0.6725837693439157,4.080790884331119,1.4898559594300678,6.067334762347598,2.2151232713857714,0.9811582354853785,0.23585766622816626,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::18,swm/FetchPushDense-v3::1,post_impact_response,True,10,0.7031820022125761,0.7031820022125761,3.466534831803001,2.2940375634232133,4.92978321529203,3.262366721851496,1.1722981017569574,0.25461059528153046,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::19,swm/FetchPushDense-v3::1,interaction,True,10,0.6202194870775644,0.6202194870775644,2.450237898950003,1.3464604683889196,3.950598054400663,2.170941894672413,0.8497510694489444,0.20153231234536034,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::20,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,0.5783458816269889,0.5783458816269889,3.005379501363521,1.8079905078959062,5.196508865782634,3.1261405420744253,0.7247357129915205,0.24121046316842074,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::21,swm/FetchPushDense-v3::1,free,True,10,0.5080305060006571,0.5080305060006571,3.3517853262372572,1.9912717563582985,6.59760641663696,3.919590915974882,1.2511129665124907,0.19512921383170617,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
swm/FetchPushDense-v3::1::22,swm/FetchPushDense-v3::1,interaction,True,10,0.5381797600089889,0.5381797600089889,3.230359671255404,3.124740965700222,6.002380452214422,5.806128728527493,2.8511600661759267,0.21862223183160354,swm/FetchPushDense-v3,1,fetch,normalized_state_current_action_matched,10
