seed,epoch,train_objective,train_smooth_l1,train_ranking,calibration_objective,calibration_smooth_l1,calibration_ranking,best_calibration_objective,improved
260813,0,1.0429440420074272,0.8723102186257977,0.6825352970520058,1.0391509532928467,0.8685486912727356,0.6824089884757996,1.0391509532928467,True
260813,1,1.014276953538259,0.8472370262432816,0.6681597136315846,1.0360126495361328,0.866057813167572,0.6798192262649536,1.0360126495361328,True
260813,2,0.9955087315767331,0.8306511586770079,0.6594303081507671,1.0386193990707397,0.8679301142692566,0.6827570796012878,1.0360126495361328,False
260813,3,0.9748035742226698,0.8133388747846274,0.6458588092249438,1.0372594594955444,0.8664425015449524,0.6832679510116577,1.0360126495361328,False
260813,4,0.9556956253553691,0.7969265097663516,0.6350764515405908,1.0436186790466309,0.8709795475006104,0.6905562877655029,1.0360126495361328,False
260813,5,0.936126336716769,0.7796233566183793,0.6260119162705309,1.0433284044265747,0.8703296184539795,0.6919950246810913,1.0360126495361328,False
260813,6,0.920768698415063,0.7658848818382225,0.6195352570753647,1.044930338859558,0.8709865212440491,0.6957751512527466,1.0360126495361328,False
260813,7,0.8989064564382223,0.7476083558006096,0.6051923900917359,1.0525816679000854,0.8774298429489136,0.7006071209907532,1.0360126495361328,False
260813,8,0.8803476818820887,0.7307796283473347,0.598272200754113,1.0532379150390625,0.8774612545967102,0.7031068205833435,1.0360126495361328,False
260813,9,0.857374486110563,0.7112553186583938,0.5844766714220357,1.0601454973220825,0.8833059072494507,0.7073584794998169,1.0360126495361328,False
260813,10,0.8394980961218812,0.6960511867265056,0.5737876331298274,1.0662939548492432,0.8873699903488159,0.7156960964202881,1.0360126495361328,False
260813,11,0.8211176585434075,0.6785224734093611,0.5703807427769616,1.0819056034088135,0.9004948735237122,0.7256426811218262,1.0360126495361328,False
260813,12,0.8023941013149749,0.6620726136336649,0.561285937041567,1.0820252895355225,0.9009577035903931,0.724270224571228,1.0360126495361328,False
260813,13,0.7857184225754033,0.647244425704306,0.5538959863789398,1.0823314189910889,0.901239275932312,0.7243688106536865,1.0360126495361328,False
260813,14,0.7685165888982309,0.6323179081269076,0.5447947095510057,1.0897362232208252,0.9072421789169312,0.7299759387969971,1.0360126495361328,False
260813,15,0.755868581273502,0.6197476127990207,0.5444838829805378,1.0910664796829224,0.9083125591278076,0.7310155630111694,1.0360126495361328,False
260813,16,0.7391993202063672,0.6063426733614508,0.5314266006151835,1.0923875570297241,0.9089477062225342,0.7337595224380493,1.0360126495361328,False
260813,17,0.7236870951521068,0.591580116987826,0.5284279147485145,1.1019536256790161,0.9165937304496765,0.7414396405220032,1.0360126495361328,False
260813,18,0.7105130266127431,0.5800477017436111,0.5218612948754676,1.115045189857483,0.9282139539718628,0.7473249435424805,1.0360126495361328,False
