regime,n,mean_depth,depth_1_fraction,depth_2_fraction,depth_4_fraction,mean_gain_vs_depth1,post_hoc_only
impact,200,2.335,0.275,0.42,0.305,-4.984179167497169e-06,True
contact,1462,1.6326949384404925,0.5875512995896033,0.3023255813953488,0.11012311901504789,-1.1882573684097349e-06,True
transport_free,1618,2.2941903584672434,0.33868974042027195,0.34487021013597036,0.3164400494437577,-3.862576993338654e-06,True
static,140,1.957142857142857,0.5,0.2714285714285714,0.22857142857142856,-3.3741489506811753e-06,True
