row_id,episode_key,regime,fold,valid_neighbors,n_neighbors,neighbor_radius,actual_residual_norm,predicted_residual_norm,residual_prediction_mse,residual_baseline_mse,residual_predictability,conditional_mean_floor,successor_baseline_mse,conditional_mean_gain
380,10,transport_free,0,True,10,30.744011184617243,56.232862857370144,70.53089332752307,16.341302254893787,9.581009239148262,-0.70559299620783,696.0809174771547,2785.3899658623177,0.7500957043687569
381,10,transport_free,0,True,10,28.837539181511634,55.7521510951146,59.84378544089204,22.46480780665557,12.59394187547782,-0.7837789016954033,608.4041748925107,2971.3104453013407,0.7952404549801904
382,10,transport_free,0,True,10,27.621635078666827,51.08901773181607,75.1979934318754,31.549954590650817,10.818146683088408,-1.916391828923123,690.2354374653877,3074.022712984284,0.7754618290392195
383,10,interaction,0,True,10,28.47573020069784,114.7120058193595,68.03220961220039,68.65836377472385,66.00009212078113,-0.040276787024449145,348.77735458095486,3123.2573236873195,0.8883289724686572
384,10,interaction,0,True,10,21.68646344116376,109.31401704497549,65.1694946892213,56.33141694934202,53.309160126676325,-0.056693011397741744,704.9027128957349,2901.3615382148905,0.7570441657783064
385,10,interaction,0,True,10,27.35720592691363,275.2953998093482,88.72256500454596,243.48083206480825,372.5854148996622,0.34651002876648307,448.3246394222455,1135.5801386276237,0.6052021128477496
386,10,interaction,0,True,10,23.489748089364213,275.8527933060247,157.85218475875328,96.8754529935502,375.6504748055333,0.7421127897051091,492.54070117873925,244.87809519143966,-1.0113710080670266
387,10,interaction,0,True,10,11.912661069583592,140.81424689126658,65.51996549401439,167.22631886667492,119.21941874676297,-0.4026768510076755,461.1451717995264,448.86551598903526,-0.027357093323228554
388,10,interaction,0,True,10,19.522121328554462,310.28125884310094,71.84946362169777,575.3777005626895,524.771556054537,-0.09643461792905028,2107.9363321434225,2501.66987272952,0.15738828886982725
389,10,interaction,0,True,10,31.901995123668875,146.78621774324438,59.99227927300614,147.20100646817716,114.33865918748272,-0.2874123897745695,1382.4160474719158,3612.4435754961337,0.6173183003191809
390,10,interaction,0,True,10,39.00025844505221,76.86125009195545,59.99227927300614,32.33135014726115,24.208693479315887,-0.33552643701674056,1335.0026659861414,3816.8259440056663,0.6502322386267663
391,10,interaction,0,True,10,38.969602196019736,114.13818896580358,60.579810494684395,74.14764527871993,61.27814357248939,-0.21001781313767243,1952.4112966629148,3972.301859474666,0.5084937233543677
392,10,static,0,True,10,45.05842578557259,139.75861916346688,55.664484482357786,110.5846142904236,97.9414157929787,-0.12908939895426008,1480.5743262279195,3953.5291467263382,0.6255056504505886
393,10,transport_free,0,True,10,45.795382863109424,176.98123872345568,69.01993975821757,139.1883912074086,151.576108148921,0.08172605229672258,2465.686468673964,4255.981343607582,0.4206538352482708
394,10,transport_free,0,True,10,50.18289103203083,180.986670721833,59.3699576916918,112.73204404074595,149.91633504069708,0.24803361815012948,1612.2875480310283,3044.216071269819,0.47037677014874224
395,10,transport_free,0,True,10,47.38066262171904,71.87893206723962,80.18545287103109,35.13720898618882,21.104702208959974,-0.6648995393676467,1210.7230199929402,2196.753000501711,0.4488579190667198
396,10,transport_free,0,True,10,43.1969243309654,75.7445434765232,77.89237891202792,81.95865242409401,31.96660351347408,-1.5638836603190587,1627.3804420078277,3054.8845540978896,0.4672857801369863
397,10,transport_free,0,True,10,47.59294026787954,67.40321142863903,80.18545287103109,74.22570915307169,25.538468138538892,-1.9064276193238539,2010.2048410295195,3741.541459136645,0.46273351157964415
398,10,transport_free,0,True,10,51.65947125698972,65.38821587863802,81.83420520933628,37.37073242844091,16.726027275747132,-1.234286230217307,2020.9117963817152,4069.7532587654173,0.5034313709242486
399,10,transport_free,0,True,10,51.10816920573744,141.37438442490307,71.46933604454944,106.0317606583185,96.03362602249398,-0.10411076879969805,1656.185154074519,4125.85118227503,0.5985833999079714
400,10,interaction,0,True,10,46.49783368028375,42.47500001456329,59.3699576916918,18.331861754379677,7.592596658947464,-1.4144390355276637,1288.906885738128,3714.9698899233113,0.6530505161739723
401,10,interaction,0,True,10,45.27518149559386,52.93513891750133,59.95568466393621,19.88342174105497,14.08940723619534,-0.4112319565847278,1301.1051105956872,3585.373852538849,0.6371075474669516
402,10,interaction,0,True,10,43.86120438550671,206.0551000735683,63.803337408513215,186.22677131652657,218.6214534896482,0.1481770505869202,714.3764251463127,2445.282275777389,0.7078552311842188
403,10,interaction,0,True,10,37.43472358360323,335.19318374021503,71.36150309606313,423.3397570964878,556.6519991997362,0.23948937989067332,803.6037818875324,199.68090696440765,-3.0244397629402373
404,10,interaction,0,True,10,13.339296297216599,90.1245948848188,76.35649656587557,31.767395019538714,39.624110181950535,0.19828117593895367,42.736467336949865,61.16507004617497,0.3012929225015668
405,10,interaction,0,True,10,4.438966312040074,353.91863846723396,69.52245062023239,527.5527600269523,678.2588478339296,0.2221955353597943,587.4216093800434,801.9366909986223,0.26749627997623004
406,10,interaction,0,True,10,24.116763929090354,194.90568823321112,106.12939311114421,173.19355328653293,214.41619335407336,0.19225525564418522,1528.6295787793097,2249.2739925008245,0.3203897862706696
407,10,interaction,0,True,10,33.29512641386091,152.75971697653623,66.0176143978596,136.86619810171524,125.02629812653755,-0.09469927649297172,1178.8411207710458,3516.2710630176384,0.6647468014711662
