left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high,dataset,r_item,scale,contrast,metric,left_episodes,right_episodes,k,n_valid_interaction,n_valid_right
371,358,13.835481563894117,16.289039003784623,11.87924033351044,12.79652495635205,12.703969423655474,14.983598061276862,0.4327651372554925,-0.13446972548901504,-2.4535574398905062,-0.9172846228416098,-2.2796286376213875,-4.363491646157276,-0.7660889215587448,-4.172131210402362,0.6243648323140633,-4.566659760096676,-0.6089596332045207,0.3894531908878086,0.4712712649042514,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,neighbor_radius,20,20,5,371,358
371,358,20.15381334923398,15.484494116407374,16.46519646496752,14.679465447383603,17.39730921063261,14.962499368324915,0.6071917962926712,0.21438359258534234,4.6693192328266075,1.7857310175839167,2.434809842307695,3.236461631751244,6.2225198658367855,1.1475944904614288,2.504014345061182,1.858372655120517,3.1547481668417925,0.5748488250350821,0.6423748841533632,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,local_expansion,20,20,5,371,358
371,358,12.915976564994908,6.156767640005018,9.35102059224057,4.885062729603641,10.041352272204993,5.481146545697959,0.7310153744221416,0.4620307488442832,6.75920892498989,4.4659578626369285,4.560205726507034,5.264929959662348,8.246785061106358,3.0078003312923065,5.724847114378168,3.5552486551590476,5.495073886410774,0.687929243519582,0.7774283273130405,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,model_sensitivity,20,20,5,371,358
371,358,15.031764872404382,17.509548134903824,12.116702001771692,13.638738412138608,13.860477940002978,16.245399071673408,0.4329006610549775,-0.13419867789004503,-2.4777832624994414,-1.5220364103669155,-2.3849211316704295,-4.351541793845715,-0.6847280629856637,-6.237476294590197,0.8351938023977626,-4.4354613653912685,-0.5435656529160018,0.3888037748483918,0.4732717608915928,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,neighbor_radius,20,20,10,371,358
371,358,18.371185348563145,15.017702066594277,15.430741810182292,14.621009417231498,15.995590142384906,14.804078681092868,0.570472375732205,0.14094475146441,3.3534832819688685,0.809732392950794,1.1915114612920377,2.2070810634226206,4.584834083268487,0.301173772441484,1.160862387122455,0.7208457576695975,1.6800666844167607,0.5317688108663878,0.6100162807243298,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,local_expansion,20,20,10,371,358
371,358,11.48054874032006,5.65106152435419,8.314627474901418,4.3906200406147144,8.970230785653392,5.117642855904083,0.7217470523573613,0.4434941047147225,5.82948721596587,3.924007434286703,3.8525879297493093,4.539038323413979,7.179862178438915,2.6140562256021744,4.963053707435754,2.978282862452675,4.65517593922417,0.6704876964305415,0.7751791229087008,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,model_sensitivity,20,20,10,371,358
371,358,16.47386442300141,19.309221348644492,14.032409556798868,18.14717416513046,15.097392077751804,18.063535200959947,0.427555000075291,-0.14488999984941797,-2.835356925643083,-4.1147646083315905,-2.966143123208143,-4.625788694768181,-1.0656249813164473,-7.905538138704285,-0.7899608120648082,-4.975826170950733,-1.1357317211264653,0.38701992826785275,0.46217656342918145,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,neighbor_radius,20,20,20,371,358
371,358,17.3954096071517,14.36162687123067,14.679259225085671,14.231376638118597,15.228000672857368,14.246890396278566,0.5647276724540349,0.12945534490806976,3.0337827359210294,0.44788258696707395,0.9811102765788018,1.7032141398043938,4.422448587146661,0.1286855927532448,0.8379851617003332,0.6358976878536773,1.452683369088034,0.5380219019783918,0.5934983455484053,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,local_expansion,20,20,20,371,358
371,358,10.54894878658905,5.2363683501126355,7.429960639111136,4.034553655641798,8.114531569238514,4.805272794855644,0.7076224608110346,0.4152449216220693,5.312580436476414,3.3954069834693383,3.3092587743828696,4.013931271766269,6.5936653296242635,2.228118117175998,4.198619582130472,2.425156802419254,4.100275546749567,0.6588464451982885,0.7609852691860078,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,model_sensitivity,20,20,20,371,358
371,358,18.106675489025907,21.744699796752485,14.257157246444176,23.138437839722563,16.608691312041383,20.716370299351055,0.41677332891626134,-0.16645334216747731,-3.638024307726578,-8.881280593278387,-4.107678987309672,-5.465973073998582,-1.868236235829582,-12.139761305196474,-0.9809567367121388,-6.19490862923905,-2.250986213465072,0.37518414870026945,0.4543262094896037,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,neighbor_radius,20,20,40,371,358
371,358,16.823633901271617,14.168302110578933,14.366329973814146,14.085606424421064,14.821874086042826,14.097117344936471,0.5532683822975801,0.10653676459516026,2.655331790692683,0.2807235493930822,0.7247567411063542,1.5165424191970802,4.072753808022016,0.11691349342563809,0.5411099306605918,0.4535225922635079,1.1527924078456122,0.5307756541042927,0.5770877396246613,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,local_expansion,20,20,40,371,358
371,358,9.706525584044332,4.74000650574702,6.640889941336323,3.5197602255868237,7.341780400202684,4.351991246893545,0.7028113659293168,0.4056227318586336,4.966519078297312,3.1211297157494995,2.9897891533091396,3.709450289500191,6.289074657592563,1.8863995560188318,3.7605542421565903,2.1172680872916207,3.767465720832754,0.6487075258389953,0.7578667173734508,cube,R4,full_whitened_action_matched,interaction_vs_transport_free,model_sensitivity,20,20,40,371,358
