row_id,episode_key,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,action_neighbor_distance,episode_ordinal,dataset,scale,k
380,10,transport_free,True,10,0.8852004169636232,0.8852004169636232,20.393314323651175,2.098529627492786,23.038075821974253,2.370683053551955,1.5625918587992678,0.49495314536874113,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
381,10,transport_free,True,10,0.6957148695292112,0.6957148695292112,20.441362342695378,2.4776660075427994,29.381810333489067,3.5613239217086603,2.1991070289402885,0.33808242456468185,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
382,10,transport_free,True,10,0.4623015642532271,0.4623015642532271,20.850529198904287,1.841050144180398,45.10157613804513,3.982357591963407,1.549347363049636,0.3709211876867406,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
383,10,interaction,True,10,0.9870049738309539,0.9870049738309539,21.1337411751329,2.914335272148401,21.41199055269656,2.9527057607792204,2.6620619132029018,0.3636012658028386,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
384,10,interaction,True,10,1.4928281152431198,1.4928281152431198,20.209371580906392,5.403685483202146,13.537641322902822,3.619764009014601,3.9831172847626894,0.3858949660033725,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
385,10,interaction,True,10,0.880046253876356,0.880046253876356,19.948088267695123,10.649730385991678,22.66709071236814,12.101330286996408,7.77912460331496,0.5459115814507715,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
386,10,interaction,True,10,1.2457910462072228,1.2457910462072228,19.16292163270313,10.9980426717226,15.382131450570405,8.828159991361186,8.483073769596285,0.8319533964234413,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
387,10,interaction,True,10,1.8056504375096687,1.8056504375096687,19.583188856842803,5.383775203794931,10.845503897117373,2.9816265053052953,3.573463592290573,0.9230231899598431,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
388,10,interaction,True,10,1.7668848099787513,1.7668848099787513,20.290788062942553,8.020597071242275,11.483933728077368,4.539400093285499,7.501286792263894,0.8064156142810284,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
389,10,interaction,True,10,1.3182466008875402,1.3182466008875402,21.104823604152557,4.481226618598671,16.009769029514846,3.3993841634650006,4.114076834723444,0.4596487148598747,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
390,10,interaction,True,10,0.8765207949352571,0.8765207949352571,21.59654759433307,2.8790481269100905,24.638944927630913,3.2846318576192446,1.9775376506387783,0.35438920178629413,10,cube,r3v2_augmented_kinematic_action_neighbors_targetnorm_latent_quat,10
