row_id,episode_key,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,action_neighbor_distance,episode_ordinal,dataset,scale,k
380,10,transport_free,True,10,30.744011184617243,30.744011184617243,426.17627250566,62.17113545222307,13.862090731963342,2.022219387017735,56.232862857370144,1.228075967042877,10,cube,full_whitened_action_matched,10
381,10,transport_free,True,10,28.837539181511634,28.837539181511634,405.25165508822545,67.52907634963483,14.052920831332273,2.3417073115908993,55.7521510951146,0.8471931579028741,10,cube,full_whitened_action_matched,10
382,10,transport_free,True,10,27.621635078666827,27.621635078666827,402.1078100103058,84.33259982735112,14.557712056693848,3.053135688280966,51.08901773181607,0.9052863781349678,10,cube,full_whitened_action_matched,10
383,10,interaction,True,10,28.47573020069784,28.47573020069784,302.97104561542415,129.513790262428,10.639623408427974,4.548216651499741,114.7120058193595,0.7189307446076412,10,cube,full_whitened_action_matched,10
384,10,interaction,True,10,21.68646344116376,21.68646344116376,397.14177414400933,132.20319312583635,18.31288790915452,6.096115832095394,109.31401704497549,1.0579985568509747,10,cube,full_whitened_action_matched,10
385,10,interaction,True,10,27.35720592691363,27.35720592691363,442.7940309973586,270.32142525830136,16.185645280454033,9.881178142990217,275.2953998093482,1.097217946312551,10,cube,full_whitened_action_matched,10
386,10,interaction,True,10,23.489748089364213,23.489748089364213,390.4172092052056,275.94131482050057,16.62074909104625,11.747308390482162,275.8527933060247,1.288897594355332,10,cube,full_whitened_action_matched,10
387,10,interaction,True,10,11.83210893485856,11.83210893485856,295.6542422468522,170.46147110407932,24.987451000879958,14.406685405159093,140.81424689126658,1.1643794893684736,10,cube,full_whitened_action_matched,10
388,10,interaction,True,10,19.522121328554462,19.522121328554462,700.6514722386561,360.32191100152704,35.890129993907614,18.457108473887736,310.28125884310094,1.3319801432520022,10,cube,full_whitened_action_matched,10
389,10,interaction,True,10,31.901995123668875,31.901995123668875,573.2528414799291,173.1531971066412,17.969184662517193,5.427660446796776,146.78621774324438,0.7699484975125137,10,cube,full_whitened_action_matched,10
390,10,interaction,True,10,39.00025844505221,39.00025844505221,546.3992598069647,98.98369721181349,14.010144588574743,2.5380266992659153,76.86125009195545,0.7736473681780817,10,cube,full_whitened_action_matched,10
391,10,interaction,True,10,38.969602196019736,38.969602196019736,661.3090548969394,154.06742531420514,16.96986927324816,3.953528304939721,114.13818896580358,0.8392642671027549,10,cube,full_whitened_action_matched,10
392,10,static,True,10,45.05842578557259,45.05842578557259,683.1785323648631,154.4632409857456,15.16205949173689,3.4280656346232967,139.75861916346688,1.1783527571915724,10,cube,full_whitened_action_matched,10
393,10,transport_free,True,10,45.795382863109424,45.795382863109424,734.0824747910867,193.35951087321763,16.029617592354022,4.222249030021295,176.98123872345568,1.1562907921576453,10,cube,full_whitened_action_matched,10
394,10,transport_free,True,10,50.18289103203083,50.18289103203083,698.37830703752,195.4600633055639,13.91666148910707,3.8949542221631925,180.986670721833,1.8123632508895966,10,cube,full_whitened_action_matched,10
395,10,transport_free,True,10,47.38066262171904,47.38066262171904,659.1222263057405,101.90790116471473,13.911207438530047,2.1508331780484786,71.87893206723962,1.9996660482778668,10,cube,full_whitened_action_matched,10
396,10,transport_free,True,10,43.1969243309654,43.1969243309654,690.6260465147229,132.17867776780014,15.987852311504795,3.0599094684398356,75.7445434765232,1.6789600228163848,10,cube,full_whitened_action_matched,10
