row_id,episode_key,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,action_neighbor_distance,episode_ordinal,dataset,scale,k
380,10,transport_free,True,10,425.79636347426833,425.79636347426833,426.17627250566,62.17113545222307,1.0008922317426383,0.1460114289021639,56.232862857370144,,10,cube,full_whitened,10
381,10,transport_free,True,10,399.1611277765579,399.1611277765579,405.25165508822545,67.52907634963483,1.0152583177264618,0.16917748660995918,55.7521510951146,,10,cube,full_whitened,10
382,10,transport_free,True,10,382.6154191619855,382.6154191619855,402.1078100103058,84.33259982735112,1.0509451262863714,0.2204108763103657,51.08901773181607,,10,cube,full_whitened,10
383,10,interaction,True,10,394.4082805203219,394.4082805203219,302.97104561542415,129.513790262428,0.7681660365135603,0.3283749268437451,114.7120058193595,,10,cube,full_whitened,10
384,10,interaction,True,10,300.1153202932256,300.1153202932256,397.14177414400933,132.20319312583635,1.3232972370620224,0.44050797872187314,109.31401704497549,,10,cube,full_whitened,10
385,10,interaction,True,10,378.76478588662667,378.76478588662667,442.7940309973586,270.32142525830136,1.1690475131178046,0.7136920731042168,275.2953998093482,,10,cube,full_whitened,10
386,10,interaction,True,10,325.1424131906142,325.1424131906142,390.4172092052056,275.94131482050057,1.2007575553556717,0.8486783133356719,275.8527933060247,,10,cube,full_whitened,10
387,10,interaction,True,10,162.9424284614131,162.9424284614131,295.6542422468522,170.46147110407932,1.8144705773601932,1.04614539450323,140.81424689126658,,10,cube,full_whitened,10
388,10,interaction,True,10,269.963589852861,269.963589852861,700.6514722386561,360.32191100152704,2.59535544263778,1.3347055845490656,310.28125884310094,,10,cube,full_whitened,10
389,10,interaction,True,10,441.8704409123745,441.8704409123745,573.2528414799291,173.1531971066412,1.2973324042592125,0.3918641779909838,146.78621774324438,,10,cube,full_whitened,10
390,10,interaction,True,10,540.3806015011007,540.3806015011007,546.3992598069647,98.98369721181349,1.011137813402526,0.1831740386994848,76.86125009195545,,10,cube,full_whitened,10
391,10,interaction,True,10,539.9096823572038,539.9096823572038,661.3090548969394,154.06742531420514,1.2248512603250887,0.2853577743624799,114.13818896580358,,10,cube,full_whitened,10
392,10,static,True,10,624.1701254552834,624.1701254552834,683.1785323648631,154.4632409857456,1.0945389798438971,0.2474697757651838,139.75861916346688,,10,cube,full_whitened,10
393,10,transport_free,True,10,634.2584983392387,634.2584983392387,734.0824747910867,193.35951087321763,1.1573868962153917,0.3048591566049425,176.98123872345568,,10,cube,full_whitened,10
394,10,transport_free,True,10,694.8472655119165,694.8472655119165,698.37830703752,195.4600633055639,1.00508175206389,0.2812993200190003,180.986670721833,,10,cube,full_whitened,10
395,10,transport_free,True,10,656.0069925366881,656.0069925366881,659.1222263057405,101.90790116471473,1.004748781346074,0.1553457544265664,71.87893206723962,,10,cube,full_whitened,10
396,10,transport_free,True,10,598.0066792365614,598.0066792365614,690.6260465147229,132.17867776780014,1.1548801551788737,0.2210321094348722,75.7445434765232,,10,cube,full_whitened,10
397,10,transport_free,True,10,659.1680597220052,659.1680597220052,758.1186145344528,122.42478696453193,1.1501143044676325,0.18572621224420804,67.40321142863903,,10,cube,full_whitened,10
398,10,transport_free,True,10,715.6378287228947,715.6378287228947,729.841591680457,122.05077919129536,1.0198476972394122,0.17054824981667532,65.38821587863802,,10,cube,full_whitened,10
399,10,transport_free,True,10,708.0388907072033,708.0388907072033,679.1600116212167,150.79482278127995,0.9592128632127228,0.2129753390109166,141.37438442490307,,10,cube,full_whitened,10
400,10,interaction,True,10,644.2138632055439,644.2138632055439,643.2619243885333,110.7690027230345,0.9985223248498971,0.1719444567241366,42.47500001456329,,10,cube,full_whitened,10
401,10,interaction,True,10,627.2472108728214,627.2472108728214,621.5891123237382,113.23715160674557,0.9909794759530139,0.1805303389857642,52.93513891750133,,10,cube,full_whitened,10
402,10,interaction,True,10,607.5989014253366,607.5989014253366,567.5565326157623,213.5774773740423,0.9340973646995725,0.35151063781224967,206.0551000735683,,10,cube,full_whitened,10
403,10,interaction,True,10,518.4379353349246,518.4379353349246,541.9431061311302,359.0033775764507,1.0453384468885762,0.6924712740099256,335.19318374021503,,10,cube,full_whitened,10
404,10,interaction,True,10,181.46443612307056,181.46443612307056,136.7356338408612,134.93815969414038,0.7535120201080395,0.7436066403811725,90.1245948848188,,10,cube,full_whitened,10
405,10,interaction,True,10,57.6554665305034,57.6554665305034,387.0176222105872,358.5116378343856,6.712591979562429,6.218172523930757,353.91863846723396,,10,cube,full_whitened,10
406,10,interaction,True,10,333.6588310490263,333.6588310490263,645.2044862544066,222.04183749579676,1.9337251893674687,0.6654756800462774,194.90568823321112,,10,cube,full_whitened,10
407,10,interaction,True,10,461.17982612048496,461.17982612048496,520.0261287511295,170.1429261276412,1.1275994726952143,0.36892968098563517,152.75971697653623,,10,cube,full_whitened,10
408,10,interaction,True,10,486.150075653403,486.150075653403,599.2538166252364,149.17081211969946,1.2326519044964004,0.3068410756065575,100.42118106548322,,10,cube,full_whitened,10
409,10,interaction,True,10,580.2789857389043,580.2789857389043,609.5177040085027,107.69574971835938,1.0503873464112559,0.18559305500478165,80.77126526295477,,10,cube,full_whitened,10
410,10,transport_free,True,10,598.0533679481598,598.0533679481598,666.9666255826997,192.70792466041485,1.1152292777331427,0.3222252979221063,161.2275150392972,,10,cube,full_whitened,10
411,10,transport_free,True,10,637.3764155468839,637.3764155468839,642.3144304579571,224.82583650000961,1.007747407639544,0.3527363595766307,234.83965432154818,,10,cube,full_whitened,10
412,10,transport_free,True,10,603.580236167595,603.580236167595,622.836430449119,171.1256402582667,1.031903288291529,0.2835176336203801,164.33391828559218,,10,cube,full_whitened,10
413,10,static,True,10,568.0124364759484,568.0124364759484,610.7041012823969,94.02280362999034,1.07515973606373,0.16552948068060755,68.49027625253855,,10,cube,full_whitened,10
414,10,transport_free,True,10,567.3880687762909,567.3880687762909,683.2598550653424,119.10202327406944,1.204219638490032,0.20991280893682107,85.95689438080183,,10,cube,full_whitened,10
415,10,transport_free,True,10,631.2791711614627,631.2791711614627,707.0114619138167,99.8587421057124,1.1199664018900186,0.15818475670912235,57.007613932099986,,10,cube,full_whitened,10
416,10,transport_free,True,10,674.9905961983943,674.9905961983943,665.4345492899542,150.50261797368822,0.9858426962356801,0.22296994776124593,62.74576221243625,,10,cube,full_whitened,10
417,10,transport_free,True,10,641.7784686213524,641.7784686213524,606.6966243126957,161.51293067042133,0.9453365202730805,0.2516646141422883,84.31854286230089,,10,cube,full_whitened,10
418,11,transport_free,True,10,163.2863596488448,163.2863596488448,167.3374758822015,40.296342247145475,1.024809887623613,0.24678327285760246,42.715805918484804,,11,cube,full_whitened,10
419,11,transport_free,True,10,165.13304008225847,165.13304008225847,173.03269787025982,49.28929831620578,1.0478381418041252,0.2984823527239193,43.64173361129747,,11,cube,full_whitened,10
420,11,transport_free,True,10,168.1735300377784,168.1735300377784,153.94558760130963,41.32358121651413,0.9153972540549479,0.2457198894929019,42.62922129742345,,11,cube,full_whitened,10
421,11,interaction,True,10,151.38259266666768,151.38259266666768,136.572237519035,42.78655837868242,0.9021660622483598,0.2826385624990252,47.34616636037242,,11,cube,full_whitened,10
422,11,interaction,True,10,136.275599757909,136.275599757909,100.20588893292536,48.6720128170208,0.7353179080549945,0.3571586762669598,57.26678582009173,,11,cube,full_whitened,10
423,11,interaction,True,10,93.92331253886016,93.92331253886016,83.48890563340221,66.15232144842938,0.8889050372755882,0.7043227039193202,72.51377196852685,,11,cube,full_whitened,10
424,11,interaction,True,10,62.664450437044586,62.664450437044586,90.02342436445875,61.381575193817184,1.436594811517579,0.9795278625396031,59.97429786154964,,11,cube,full_whitened,10
425,11,interaction,True,10,82.5117794857412,82.5117794857412,97.13797022220847,71.18673918103818,1.1772618507033266,0.8627463814828997,51.82424932097623,,11,cube,full_whitened,10
426,11,interaction,True,10,77.41933909819447,77.41933909819447,87.71051900509319,75.21428890510109,1.132927767490316,0.9715180958817458,54.86894226534852,,11,cube,full_whitened,10
427,11,interaction,True,10,69.09174860496789,69.09174860496789,86.91593014116654,68.37142740987022,1.2579784402057679,0.989574425171722,48.6703933808168,,11,cube,full_whitened,10
428,11,interaction,True,10,82.84916677660047,82.84916677660047,103.77101850283009,61.102871677458154,1.2525294162902636,0.7375194471444674,50.08146148705467,,11,cube,full_whitened,10
429,11,interaction,True,10,99.19734900126707,99.19734900126707,92.90971143457632,46.00932255891121,0.9366148628970877,0.4638160497446713,42.204494732763116,,11,cube,full_whitened,10
430,11,transport_free,True,10,90.8940671295504,90.8940671295504,92.16265658955338,53.8721319977778,1.0139567905812255,0.5926914010899567,44.07055481194577,,11,cube,full_whitened,10
431,11,transport_free,True,10,88.97988235655806,88.97988235655806,81.46923602627751,61.245626932814176,0.9155916356442901,0.6883086975479711,49.26144434469043,,11,cube,full_whitened,10
432,11,transport_free,True,10,77.69064609713504,77.69064609713504,79.49197668715942,61.25726960538212,1.0231859391125697,0.7884767688608664,46.41786327046845,,11,cube,full_whitened,10
433,11,static,True,10,73.97240430970797,73.97240430970797,80.02661200267497,62.1572503676633,1.0818441383575856,0.8402761941794277,43.99989288942492,,11,cube,full_whitened,10
434,11,transport_free,True,10,73.22438140416543,73.22438140416543,81.14744974484162,58.41392518490497,1.1082025984889439,0.7977387321647219,42.81549277393031,,11,cube,full_whitened,10
435,11,transport_free,True,10,75.88863262833364,75.88863262833364,87.0040194779693,56.65285980459575,1.1464697210196622,0.7465262957372609,42.75947001382815,,11,cube,full_whitened,10
436,11,transport_free,True,10,81.9668112661596,81.9668112661596,90.8823286724916,51.96582093725003,1.1087698456071673,0.6339861235849292,40.34169266695836,,11,cube,full_whitened,10
437,11,transport_free,True,10,86.33985162805268,86.33985162805268,92.62020674068772,51.85281720706294,1.072739934042167,0.6005664386642916,39.465171749417536,,11,cube,full_whitened,10
438,11,interaction,True,10,89.1129437791599,89.1129437791599,98.07273563930116,55.23716775266442,1.1005442248922384,0.6198557180374763,40.2180695940318,,11,cube,full_whitened,10
439,11,interaction,True,10,93.58762537441058,93.58762537441058,83.86476902336761,54.68844768634722,0.8961095944881036,0.5843555434552199,42.034130061346886,,11,cube,full_whitened,10
440,11,interaction,True,10,79.75482825121023,79.75482825121023,73.34619111668354,59.133751780689806,0.9196457785058368,0.7414441617807946,42.535873858102285,,11,cube,full_whitened,10
441,11,interaction,True,10,63.50132334608939,63.50132334608939,54.61782433719515,66.80131512995571,0.8601052932317935,1.0519672915457365,47.93208224516963,,11,cube,full_whitened,10
442,11,interaction,True,10,37.47664581313542,37.47664581313542,62.774105430916826,55.45268922946654,1.6750193105305797,1.4796598795410498,39.93313779082237,,11,cube,full_whitened,10
443,11,interaction,True,10,40.103938835151254,40.103938835151254,78.89441854655173,71.73390912560187,1.9672486253993704,1.7886998436853496,51.880720304326694,,11,cube,full_whitened,10
444,11,interaction,True,10,63.82949733861358,63.82949733861358,85.33749960574289,72.16634052384471,1.3369602325556476,1.1306111364312401,53.25156012040588,,11,cube,full_whitened,10
445,11,interaction,True,10,75.38593123393623,75.38593123393623,96.63281819193978,67.05457953569517,1.2818415400623042,0.8894839983817754,48.2403780375353,,11,cube,full_whitened,10
446,11,interaction,True,10,90.37209331018178,90.37209331018178,103.01808556870063,58.27290577092188,1.1399324923803007,0.6448108441055282,44.67906572320748,,11,cube,full_whitened,10
447,11,transport_free,True,10,98.91274380145191,98.91274380145191,88.71144131467433,44.28684181507079,0.8968656404148012,0.4477364605714306,42.59309825758102,,11,cube,full_whitened,10
448,11,transport_free,True,10,84.95662453135958,84.95662453135958,85.65515763026627,55.65649346816902,1.0082222322598144,0.6551165818461259,49.07704762318905,,11,cube,full_whitened,10
449,11,transport_free,True,10,80.49183607531299,80.49183607531299,75.28893513513131,63.94566300696006,0.9353611348197657,0.794436630158724,49.87481756976041,,11,cube,full_whitened,10
450,11,transport_free,True,10,66.08669400572415,66.08669400572415,76.50558373908777,56.664475762157466,1.1576548787939245,0.8574263944455963,50.001066653600525,,11,cube,full_whitened,10
451,11,transport_free,True,10,70.00938422075448,70.00938422075448,77.68043769799326,54.13408264623533,1.109571789019745,0.7732403769691653,45.19154177828548,,11,cube,full_whitened,10
452,11,transport_free,True,10,67.84385037675298,67.84385037675298,74.27470212473077,50.56148410625737,1.0947890149551616,0.7452625967641497,43.64278383583917,,11,cube,full_whitened,10
453,11,transport_free,True,10,67.91928182318003,67.91928182318003,81.3825829230502,50.30410879013532,1.1982250215030292,0.7406454756264389,43.17291783434667,,11,cube,full_whitened,10
454,11,transport_free,True,10,76.97295225838957,76.97295225838957,90.64421108198115,51.60188081537501,1.1776112052672567,0.6703897837015954,41.620024572427454,,11,cube,full_whitened,10
455,11,transport_free,True,10,84.96320993754668,84.96320993754668,95.85119112516594,51.11243700491576,1.1281493624784493,0.6015831680851822,40.66263516433825,,11,cube,full_whitened,10
456,12,transport_free,True,10,390.4073614878174,390.4073614878174,460.8993608908113,60.051183240290676,1.1805601183705998,0.1538167287917919,55.303148402495005,,12,cube,full_whitened,10
457,12,transport_free,True,10,378.2509749361012,378.2509749361012,439.2071620724249,73.46113482975304,1.161152756173652,0.19421267808275441,78.12051741867197,,12,cube,full_whitened,10
458,12,transport_free,True,10,346.4152495576558,346.4152495576558,406.0717023489166,56.139459303343216,1.1722108159714022,0.16205827940608492,51.81230947861182,,12,cube,full_whitened,10
459,12,interaction,True,10,357.87309531048174,357.87309531048174,405.18526350574234,56.91876539127691,1.1322037583021258,0.15904734426010878,34.663326911980334,,12,cube,full_whitened,10
