row_id,episode_key,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,action_neighbor_distance,episode_ordinal,dataset,scale,k,kinematic_divergence
380,10,transport_free,True,10,30.744011184617243,30.744011184617243,10.022059164186484,0.0,0.3259841113120925,0.0,0.0,1.228075967042877,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.022059164186484
381,10,transport_free,True,10,28.837539181511634,28.837539181511634,8.371210959904799,0.0,0.29028867224814253,0.0,0.0,0.8471931579028741,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,8.371210959904799
382,10,transport_free,True,10,27.621635078666827,27.621635078666827,5.744460385198774,0.0,0.2079695995127901,0.0,0.0,0.9052863781349678,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,5.744460385198774
383,10,interaction,True,10,28.47573020069784,28.47573020069784,13.551664737120173,0.0,0.47590227332565715,0.0,0.0,0.7189307446076412,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.551664737120173
384,10,interaction,True,10,21.68646344116376,21.68646344116376,14.25710514737545,0.0,0.6574195551089067,0.0,0.0,1.0579985568509747,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,14.25710514737545
385,10,interaction,True,10,27.35720592691363,27.35720592691363,10.525806396606068,0.0,0.38475443818079863,0.0,0.0,1.097217946312551,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.525806396606068
386,10,interaction,True,10,23.489748089364213,23.489748089364213,11.392670353609326,0.0,0.48500606776484534,0.0,0.0,1.288897594355332,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.392670353609326
387,10,interaction,True,10,11.83210893485856,11.83210893485856,17.627540778364065,0.0,1.4898054839937782,0.0,0.0,1.1643794893684736,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,17.627540778364065
388,10,interaction,True,10,19.522121328554462,19.522121328554462,16.83200824526243,0.0,0.8622018049156738,0.0,0.0,1.3319801432520022,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,16.83200824526243
389,10,interaction,True,10,31.901995123668875,31.901995123668875,12.069145290386757,0.0,0.3783194512945167,0.0,0.0,0.7699484975125137,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.069145290386757
390,10,interaction,True,10,39.00025844505221,39.00025844505221,7.396446449625691,0.0,0.189651216287364,0.0,0.0,0.7736473681780817,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,7.396446449625691
391,10,interaction,True,10,38.969602196019736,38.969602196019736,7.80352393146781,0.0,0.20024643547079482,0.0,0.0,0.8392642671027549,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,7.80352393146781
392,10,static,True,10,45.05842578557259,45.05842578557259,9.915226883867103,0.0,0.22005266963946826,0.0,0.0,1.1783527571915724,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.915226883867103
393,10,transport_free,True,10,45.795382863109424,45.795382863109424,13.901224210888152,0.0,0.3035507804889719,0.0,0.0,1.1562907921576453,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.901224210888152
394,10,transport_free,True,10,50.18289103203083,50.18289103203083,8.244145326319709,0.0,0.16428199246347963,0.0,0.0,1.8123632508895966,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,8.244145326319709
395,10,transport_free,True,10,47.38066262171904,47.38066262171904,10.533322686581613,0.0,0.22231269264168532,0.0,0.0,1.9996660482778668,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.533322686581613
396,10,transport_free,True,10,43.1969243309654,43.1969243309654,12.13070453463467,0.0,0.28082333921952085,0.0,0.0,1.6789600228163848,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.13070453463467
397,10,transport_free,True,10,47.59294026787954,47.59294026787954,9.951083137819268,0.0,0.2090873789643808,0.0,0.0,1.4435638098544417,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.951083137819268
398,10,transport_free,True,10,51.65947125698972,51.65947125698972,9.181137691762803,0.0,0.17772419013136068,0.0,0.0,0.9201742527147176,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.181137691762803
399,10,transport_free,True,10,51.10816920573744,51.10816920573744,8.582404081125038,0.0,0.1679262672582991,0.0,0.0,0.8510661154120607,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,8.582404081125038
400,10,interaction,True,10,46.49783368028375,46.49783368028375,12.757955337000153,0.0,0.27437741346668043,0.0,0.0,0.6443100721002063,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.757955337000153
401,10,interaction,True,10,45.27518149559386,45.27518149559386,13.256917830175883,0.0,0.2928076131835282,0.0,0.0,0.8277221441072657,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.256917830175883
402,10,interaction,True,10,43.86120438550671,43.86120438550671,9.315215532081247,0.0,0.21237938316074428,0.0,0.0,1.1109357953090442,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.315215532081247
403,10,interaction,True,10,37.43472358360323,37.43472358360323,10.279385161677116,0.0,0.2745949262512943,0.0,0.0,1.185635539310447,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.279385161677116
404,10,interaction,True,10,13.254354737392891,13.254354737392891,13.527998934509245,0.0,1.0206456068618983,0.0,0.0,1.4675607771625834,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.527998934509245
405,10,interaction,True,10,4.35400226226049,4.35400226226049,15.073265077228701,0.0,3.4619332212755984,0.0,0.0,1.4308050482875474,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,15.073265077228701
406,10,interaction,True,10,24.116763929090354,24.116763929090354,17.225587630894765,0.0,0.7142578366460166,0.0,0.0,0.9600833415275143,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,17.225587630894765
407,10,interaction,True,10,33.29512641386091,33.29512641386091,9.327805021855863,0.0,0.2801552667471674,0.0,0.0,0.692824604976075,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.327805021855863
408,10,interaction,True,10,35.087635377866484,35.087635377866484,7.7875761931771015,0.0,0.22194645234171456,0.0,0.0,0.8035968150054826,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,7.7875761931771015
409,10,interaction,True,10,41.887383063105936,41.887383063105936,7.738517097002493,0.0,0.18474577620053126,0.0,0.0,0.9468384187279228,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,7.738517097002493
410,10,transport_free,True,10,43.18124195851543,43.18124195851543,12.300681526772365,0.0,0.28486168921657534,0.0,0.0,1.2277504280859124,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.300681526772365
411,10,transport_free,True,10,46.0245077249109,46.0245077249109,10.27007296823904,0.0,0.22314357015230676,0.0,0.0,1.60232664807745,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.27007296823904
412,10,transport_free,True,10,43.634124399096876,43.634124399096876,13.17609975006379,0.0,0.3019677816735679,0.0,0.0,2.5459169508820514,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.17609975006379
413,10,static,True,10,41.07095842263597,41.07095842263597,13.060267345441527,0.0,0.3179927580711984,0.0,0.0,2.304161389737967,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.060267345441527
414,10,transport_free,True,10,41.01155482417544,41.01155482417544,14.338581665565423,0.0,0.34962297155125494,0.0,0.0,2.161762009692488,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,14.338581665565423
415,10,transport_free,True,10,45.58238309349264,45.58238309349264,10.046461951974553,0.0,0.2204022973386135,0.0,0.0,1.0906060889123301,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.046461951974553
416,10,transport_free,True,10,48.719871029063455,48.719871029063455,7.876227307785993,0.0,0.16166355003459454,0.0,0.0,0.8519449590931663,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,7.876227307785993
417,10,transport_free,True,10,46.3225880804386,46.3225880804386,9.26758633308884,0.0,0.2000662466655747,0.0,0.0,0.8498560291302508,10,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.26758633308884
418,11,transport_free,True,10,11.832220387403158,11.832220387403158,7.887464600991641,0.0,0.6666090000646716,0.0,0.0,1.0552675621334582,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,7.887464600991641
419,11,transport_free,True,10,11.925436906672894,11.925436906672894,5.779622408538684,0.0,0.484646596495319,0.0,0.0,0.7236732586738999,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,5.779622408538684
420,11,transport_free,True,10,12.16614736864073,12.16614736864073,7.521409884655517,0.0,0.6182244597860604,0.0,0.0,0.6983387994709738,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,7.521409884655517
421,11,interaction,True,10,10.966143276292186,10.966143276292186,19.975152776352353,0.0,1.8215294359263783,0.0,0.0,0.8588358447174902,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,19.975152776352353
422,11,interaction,True,10,9.876821786086424,9.876821786086424,9.568884763923872,0.0,0.9688222559005423,0.0,0.0,1.074835811062556,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.568884763923872
423,11,interaction,True,10,6.852614509927303,6.852614509927303,10.328341308325516,0.0,1.507211779294307,0.0,0.0,1.1528670859819155,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.328341308325516
424,11,interaction,True,10,4.641044300995093,4.641044300995093,11.52065305297587,0.0,2.482340677184596,0.0,0.0,1.2254885081928377,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.52065305297587
425,11,interaction,True,10,6.1323386300146385,6.1323386300146385,13.218739097672849,0.0,2.1555787922366076,0.0,0.0,1.0820048743143666,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.218739097672849
426,11,interaction,True,10,5.817604314386648,5.817604314386648,13.434410524657004,0.0,2.3092685233738517,0.0,0.0,1.078143466764124,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.434410524657004
427,11,interaction,True,10,5.1168527300037745,5.1168527300037745,13.791187763545189,0.0,2.6952481322508213,0.0,0.0,1.0741991744481607,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.791187763545189
428,11,interaction,True,10,6.091162610188635,6.091162610188635,12.247797327576166,0.0,2.010748704539488,0.0,0.0,1.0096119765579001,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.247797327576166
429,11,interaction,True,10,7.283340138539097,7.283340138539097,10.68053944022579,0.0,1.4664342509161064,0.0,0.0,1.1229987171684521,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.68053944022579
430,11,transport_free,True,10,6.74896255296338,6.74896255296338,10.475716648560935,0.0,1.5521965881943125,0.0,0.0,1.5544205335923698,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.475716648560935
431,11,transport_free,True,10,6.625215685198528,6.625215685198528,11.23708807210446,0.0,1.6961090183387342,0.0,0.0,1.4758089175908815,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.23708807210446
432,11,transport_free,True,10,5.898130114176216,5.898130114176216,11.635464862233903,0.0,1.9727379079461038,0.0,0.0,1.7372111782621016,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.635464862233903
433,11,static,True,10,5.618240386309807,5.618240386309807,12.351651892187677,0.0,2.1984911721266758,0.0,0.0,1.5730998240150078,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.351651892187677
434,11,transport_free,True,10,5.50796996467094,5.50796996467094,11.1063724116793,0.0,2.0164184777545033,0.0,0.0,1.4513639741553443,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.1063724116793
435,11,transport_free,True,10,5.643359058944929,5.643359058944929,9.851102724157872,0.0,1.7456097727015112,0.0,0.0,1.0761701399413062,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.851102724157872
436,11,transport_free,True,10,6.076691111131308,6.076691111131308,15.16797773469996,0.0,2.496091615865614,0.0,0.0,1.1753651683503654,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,15.16797773469996
437,11,transport_free,True,10,6.354496192915638,6.354496192915638,10.401623111750936,0.0,1.6368918630161853,0.0,0.0,1.0801407510614673,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.401623111750936
438,11,interaction,True,10,6.513549144395076,6.513549144395076,17.279236018513114,0.0,2.652814254634424,0.0,0.0,0.9402859501556999,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,17.279236018513114
439,11,interaction,True,10,6.838375276319044,6.838375276319044,10.539288641583576,0.0,1.541197757613656,0.0,0.0,1.1306561981446737,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.539288641583576
440,11,interaction,True,10,5.983563815759304,5.983563815759304,12.57727178444386,0.0,2.101970025174341,0.0,0.0,1.6160024777370918,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.57727178444386
441,11,interaction,True,10,4.930160281545433,4.930160281545433,12.293905233239625,0.0,2.4936116740987404,0.0,0.0,1.5485728806584915,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.293905233239625
442,11,interaction,True,10,3.0733103695094943,3.0733103695094943,12.45532481397527,0.0,4.052739006624691,0.0,0.0,1.2884053019112292,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.45532481397527
443,11,interaction,True,10,3.131796704528265,3.131796704528265,14.015510956914143,0.0,4.475230124819122,0.0,0.0,1.245277669657423,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,14.015510956914143
444,11,interaction,True,10,4.754294958787819,4.754294958787819,13.03279058926245,0.0,2.7412667287654706,0.0,0.0,1.033511754007456,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,13.03279058926245
445,11,interaction,True,10,5.612907311635132,5.612907311635132,11.312423463923658,0.0,2.015430299458867,0.0,0.0,0.9829218651682003,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.312423463923658
446,11,interaction,True,10,6.660350908952541,6.660350908952541,11.814013720115128,0.0,1.7737824750697846,0.0,0.0,0.9363978558825223,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.814013720115128
447,11,transport_free,True,10,7.247129500220172,7.247129500220172,10.285093723044369,0.0,1.4191955204790947,0.0,0.0,1.3224388204787747,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,10.285093723044369
448,11,transport_free,True,10,6.351610437551127,6.351610437551127,15.058340700583125,0.0,2.3707909747671634,0.0,0.0,1.5177211279794847,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,15.058340700583125
449,11,transport_free,True,10,6.10517298435078,6.10517298435078,12.584241920640256,0.0,2.0612424828742926,0.0,0.0,1.7425264549083077,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.584241920640256
450,11,transport_free,True,10,5.256191360284621,5.256191360284621,12.50626785007568,0.0,2.379340285167713,0.0,0.0,1.9585985924382174,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.50626785007568
451,11,transport_free,True,10,5.442822814065081,5.442822814065081,14.155183696697499,0.0,2.6007063210138597,0.0,0.0,1.879822707413003,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,14.155183696697499
452,11,transport_free,True,10,5.266053790492899,5.266053790492899,12.084950119985997,0.0,2.294877834670742,0.0,0.0,1.8042563618054068,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,12.084950119985997
453,11,transport_free,True,10,5.124470102857431,5.124470102857431,11.650352076136905,0.0,2.273474494395159,0.0,0.0,1.175086236522977,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.650352076136905
454,11,transport_free,True,10,5.72489356563163,5.72489356563163,11.712091172317162,0.0,2.045818151559812,0.0,0.0,1.2103743222040428,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.712091172317162
455,11,transport_free,True,10,6.245579833445408,6.245579833445408,11.071576876196175,0.0,1.77270600511858,0.0,0.0,0.9187887383908155,11,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,11.071576876196175
456,12,transport_free,True,10,28.25672472293903,28.25672472293903,9.862313402258112,0.0,0.34902535587402345,0.0,0.0,1.3583650692216196,12,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,9.862313402258112
457,12,transport_free,True,10,27.351587036701357,27.351587036701357,8.761183431202053,0.0,0.32031718742484583,0.0,0.0,1.0490094634746503,12,cube,r3v2_latent_action_neighbors_kinematic_divergence,10,8.761183431202053
