scale,family,retained_dim,condition_number,variance_retained,floor_value,eig_min,eig_max,used_eig_min,used_eig_max
full_whitened,full,192,4285306.493774527,1.0,1.4976207817568377e-05,3.494781024256968e-06,14.976207817568378,1.4976207817568377e-05,14.976207817568378
floor_1e-3,shrinkage,192,4285306.493774527,1.0,0.014976207817568378,3.494781024256968e-06,14.976207817568378,0.014976207817568378,14.976207817568378
floor_1e-2,shrinkage,192,4285306.493774527,1.0,0.1497620781756838,3.494781024256968e-06,14.976207817568378,0.1497620781756838,14.976207817568378
pca90,pca,35,4285306.493774527,0.9067812559983229,1.4976207817568377e-05,3.494781024256968e-06,14.976207817568378,1.4082363259246806,14.976207817568378
pca99,pca,63,4285306.493774527,0.9901449247548166,1.4976207817568377e-05,3.494781024256968e-06,14.976207817568378,0.15529747816533418,14.976207817568378
