left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high,dataset,r_item,scale,contrast,metric,left_episodes,right_episodes
371,358,206.70829578065138,240.9504095940795,167.1507597196898,188.25808379634822,190.78873756930585,223.689780790054,0.43419566625005646,-0.1316086674998871,-34.24211381342812,-21.107324076658415,-32.901043220748136,-59.52108372890697,-10.208777062509006,-79.99735609178654,9.631486352286736,-60.9984981013757,-8.338117523402333,0.39059776025041715,0.47450539015282095,cube,R2,full_whitened,interaction_vs_transport_free,neighbor_radius,20,20
0,0,,,,,,,,,,,,,,,,,,,,cube,R2,full_whitened,interaction_vs_transport_free,action_neighbor_distance,20,20
371,358,1.3855928947811673,1.1135453979961316,1.1358003780093973,1.069051727511412,1.189234928169994,1.0913462349846286,0.5609330060684545,0.12186601213690906,0.2720474967850357,0.06674865049798528,0.09788869318536553,0.16983321687998534,0.3747530657705498,0.016937607132263343,0.09654975928611427,0.05968029230262083,0.13633554960559988,0.523512991449009,0.6019629300442113,cube,R2,full_whitened,interaction_vs_transport_free,local_expansion,20,20
371,358,0.9060067762637837,0.4555606489413925,0.6155700218742646,0.3226638690470759,0.6887405426591684,0.4011733201176111,0.7023445617310906,0.4046891234621812,0.4504461273223912,0.2929061528271887,0.2875672225415573,0.3207449574221506,0.5591074113841343,0.19266802286663007,0.3724669507885905,0.200693980823313,0.3587018675693228,0.6443722433918724,0.7637741885773988,cube,R2,full_whitened,interaction_vs_transport_free,model_sensitivity,20,20
371,358,99.35644704939817,63.16458436677541,61.827218125153266,49.521696190360316,81.24385619124308,54.52825345611498,0.6324895721965397,0.26497914439307935,36.19186268262276,12.30552193479295,26.7156027351281,26.40934696816054,45.786892355710414,5.774757993436478,27.26600623751033,16.808356216322398,36.607444695001035,0.6006845468996478,0.6711192458369022,cube,R2,full_whitened,interaction_vs_transport_free,residual_norm,20,20
371,358,47.99835722082235,53.06936569573413,44.490585502558204,49.61863534020206,46.42929296003507,51.665684066261086,0.44119772922344863,-0.11760454155310274,-5.071008474911778,-5.128049837643857,-5.236391106226016,-9.339653659296236,-1.0667936328038814,-12.999703944409985,2.3236737778379957,-10.348332139229091,-0.538739388063183,0.3892020475120926,0.4918859674392112,cube,R2,floor_1e-3,interaction_vs_transport_free,neighbor_radius,20,20
0,0,,,,,,,,,,,,,,,,,,,,cube,R2,floor_1e-3,interaction_vs_transport_free,action_neighbor_distance,20,20
371,358,1.2307364911881216,1.101744936783889,1.1289549408341641,1.0790260481310026,1.158334412471373,1.0850409921841973,0.568191058440874,0.13638211688174806,0.1289915544042326,0.04992889270316159,0.07329342028717578,0.09273659992627913,0.16361530842460767,0.016932679142396035,0.08658384429909347,0.04448841697974834,0.1059402368985176,0.5329625088468538,0.6066296617017096,cube,R2,floor_1e-3,interaction_vs_transport_free,local_expansion,20,20
371,358,0.6726504845977803,0.3342230105502241,0.5176961427934653,0.2679095712137345,0.5684205313152305,0.2934383994601568,0.75246578024063,0.5049315604812601,0.33842747404755624,0.24978657157973083,0.2749821318550737,0.28115791339044577,0.39624950573410705,0.18075334547665875,0.305616113096452,0.22095807343804888,0.32621192718176123,0.7099048518005211,0.7983603492050236,cube,R2,floor_1e-3,interaction_vs_transport_free,model_sensitivity,20,20
371,358,18.945445784785107,9.941350880275603,14.778237671308675,7.535103586271147,16.20415786999417,8.437822477709707,0.7090078152057703,0.41801563041154055,9.004094904509504,7.2431340850375285,7.7663353922844625,7.482273393312321,10.5651182284992,4.7639872805898,8.443102677734963,6.214636469008051,9.340627726721106,0.6833822649344672,0.7367799417203681,cube,R2,floor_1e-3,interaction_vs_transport_free,residual_norm,20,20
