contrast,left_regime,right_regime,metric,left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high
interaction_vs_transport_free,interaction,transport_free,mse_model,371,358,0.24127682424878397,0.05089006943214556,0.0805547162890434,0.0209396835416555,0.14615530320615677,0.039877008798713226,0.7056121911186737,0.41122438223734736,0.19038675481663841,0.0596150327473879,0.10627829440744355,0.15410925631813932,0.2263657087466925,0.045757145993411484,0.06811551891732955,0.0816163103014247,0.13716856839586042,0.6753543728873803,0.7339787332362531
interaction_vs_transport_free,interaction,transport_free,mse_persistence,371,358,0.4934911157062272,0.1378341577361811,0.2691571116447449,0.1158300712704658,0.39211479435213886,0.12773147640594587,0.7248490415455736,0.4496980830911472,0.35565695797004615,0.15332704037427908,0.26438331794619296,0.30157794216231826,0.4075052751299117,0.12492615897208459,0.187200278788805,0.21368320138771874,0.31843302768116927,0.6917623873996073,0.7533895897793957
interaction_vs_transport_free,interaction,transport_free,excess,371,358,-0.25221429106081533,-0.0869440881407939,-0.1792045831680297,-0.07957226410508156,-0.21938742374255,-0.08233292276660596,0.2600174675119336,-0.4799650649761328,-0.16527020292002143,-0.09963231906294814,-0.13705450097594402,-0.18941126821358925,-0.1438412050269486,-0.1258457601070404,-0.08091676682233813,-0.1599780622392713,-0.11677027717535436,0.2279085552924236,0.2897013259694232
interaction_vs_transport_free,interaction,transport_free,mse_model_whitened,371,358,91.00294863163067,28.286372982873075,19.90940052653792,12.772976695476999,44.151403718578145,16.67382260160435,0.6324895721965397,0.26497914439307935,62.7165756487576,7.13642383106092,27.477581116973795,41.716732234391216,86.3838227999694,3.0336811981145324,19.640062597264578,15.052150554531492,42.47167965908397,0.6042329770309639,0.6696969581456874
interaction_vs_transport_free,interaction,transport_free,mse_persistence_whitened,371,358,195.5270777553091,50.04709573403625,47.94766434875003,23.449866437935867,98.15583639056489,35.731683747462824,0.6139152825671219,0.22783056513424382,145.47998202127286,24.497797910814164,62.42415264310206,93.51195217597459,197.63001215670255,7.289152310711305,51.32221701332556,35.53182143067029,99.39557166097457,0.5869335818208804,0.6545676225463195
interaction_vs_transport_free,interaction,transport_free,excess_whitened,371,358,-104.52412912367848,-21.76072275116317,-16.69417284270167,-5.4625672796604965,-49.992700281418266,-13.884503558932206,0.3816500775497297,-0.23669984490054063,-82.7634063725153,-11.231605563041171,-36.108196722486056,-115.59941654888435,-54.75158043842067,-31.245440374156825,-3.4711806108234,-58.980042979340936,-19.87971355867507,0.3433083382394389,0.4167177448948015
interaction_vs_static,interaction,static,mse_model,371,31,0.24127682424878397,0.03215042261346689,0.0805547162890434,0.0246073696762323,0.14615530320615677,0.029254404157400087,0.7548039300930354,0.5096078601860707,0.20912640163531707,0.0559473466128111,0.11690089904875668,0.1748236332912606,0.24569712016900597,0.04255451206117867,0.06613092141924423,0.09265179579687657,0.14838659218892195,0.7188233442400421,0.7969391383513583
interaction_vs_static,interaction,static,mse_persistence,371,31,0.4934911157062272,0.040811121789550736,0.2691571116447449,0.0443729162216186,0.39211479435213886,0.03685553252464155,0.9043561429440918,0.8087122858881837,0.45267999391667646,0.22478419542312628,0.35525926182749734,0.4018463540420574,0.4979239715721737,0.2040554658509791,0.2553445547353477,0.3050613091554703,0.40417464186837554,0.8812293231129424,0.9260505737395958
interaction_vs_static,interaction,static,excess,371,31,-0.25221429106081533,-0.008660698970479344,-0.1792045831680297,-0.0020486004650592,-0.21938742374255,-0.004830007776618,0.049734805669072256,-0.9005303886618555,-0.243553592090336,-0.1771559827029705,-0.214557415965932,-0.26318160344176755,-0.21946250275359658,-0.20268765905057068,-0.1581801827065647,-0.2343310160417774,-0.1912871681100824,0.02012205473864781,0.07732790526807294
interaction_vs_static,interaction,static,mse_model_whitened,371,31,91.00294863163067,24.65705025967906,19.90940052653792,12.742812985319825,44.151403718578145,18.34322861770265,0.643770106947222,0.28754021389444406,66.34589837195162,7.166587541218094,25.808175100875495,43.9238867793975,89.81182174321738,2.546239479595099,18.026206627691195,12.844306986431816,37.69039133628437,0.5859649408562452,0.7196401407577152
interaction_vs_static,interaction,static,mse_persistence_whitened,371,31,195.5270777553091,22.750535230363262,47.94766434875003,5.43106091542806,98.15583639056489,16.749447732250747,0.7734979566994175,0.5469959133988349,172.77654252494585,42.51660343332197,81.40638865831414,117.48089566106897,236.55273570831116,19.702249523916304,76.77228539364738,48.59127625537903,127.49657780785857,0.7173726359746271,0.8310437857212051
interaction_vs_static,interaction,static,excess_whitened,371,31,-104.52412912367848,1.9065150293158,-16.69417284270167,6.502516295195271,-49.992700281418266,4.776380747101898,0.16059473089296583,-0.6788105382140683,-106.43064415299428,-23.19668913789694,-54.76908102852016,-145.74700297710797,-69.60301133456514,-50.898880658969816,-12.901445445680626,-83.7573901378673,-33.00351350247633,0.07695434053769196,0.2463278431372549
transport_free_vs_static,transport_free,static,mse_model,358,31,0.05089006943214556,0.03215042261346689,0.0209396835416555,0.0246073696762323,0.039877008798713226,0.029254404157400087,0.5470355018922328,0.09407100378446565,0.018739646818678665,-0.003667686134576801,0.010622604641313139,0.00823749051574087,0.027232633616174076,-0.0222975425422192,0.009281487204134499,0.0008407103891332585,0.01824350600936808,0.45315606182753326,0.6394121918437146
transport_free_vs_static,transport_free,static,mse_persistence,358,31,0.1378341577361811,0.040811121789550736,0.1158300712704658,0.0443729162216186,0.12773147640594587,0.03685553252464155,0.8902504955847901,0.7805009911695802,0.09702303594663036,0.0714571550488472,0.09087594388130432,0.07864237369815676,0.11498716470189985,0.057692071516066826,0.09439242058433593,0.07395917713068273,0.10622551368231298,0.8250238249121994,0.9382673729376952
transport_free_vs_static,transport_free,static,excess,358,31,-0.0869440881407939,-0.008660698970479344,-0.07957226410508156,-0.0020486004650592,-0.08233292276660596,-0.004830007776618,0.09389079113353757,-0.8122184177329248,-0.07828338917031455,-0.07752366364002236,-0.07750291498998796,-0.09214141610744024,-0.06612688898415685,-0.0891704520210623,-0.06598342547658828,-0.09115108787724023,-0.06389790854693723,0.0481019770612148,0.14169065658611357
transport_free_vs_static,transport_free,static,mse_model_whitened,358,31,28.286372982873075,24.65705025967906,12.772976695476999,12.742812985319825,16.67382260160435,18.34322861770265,0.5185619030455938,0.037123806091187594,3.629322723194015,0.030163710157173895,-1.6694060160983,-3.5735546080334997,9.557883544820438,-8.14473489409551,3.9474734508997233,-10.952772833689083,2.8208276840052373,0.42186973963063884,0.6260288024848064
transport_free_vs_static,transport_free,static,mse_persistence_whitened,358,31,50.04709573403625,22.750535230363262,23.449866437935867,5.43106091542806,35.731683747462824,16.749447732250747,0.7010272121102902,0.40205442422058035,27.296560503672985,18.018805522507808,18.982236015212077,16.024322081417527,40.83425499702312,8.51409364621496,29.253870508840578,8.10850152353787,30.405271143527713,0.6266726530873429,0.7865553449640725
transport_free_vs_static,transport_free,static,excess_whitened,358,31,-21.76072275116317,1.9065150293158,-5.4625672796604965,6.502516295195271,-13.884503558932206,4.776380747101898,0.22679762119300775,-0.5464047576139845,-23.667237780478967,-11.965083574855768,-18.660884306034106,-36.88929714335128,-13.879176726847287,-22.88540584989265,-6.243671354553532,-30.648185559909596,-9.793472454397252,0.12345435488355568,0.32891874991710357
