metric,eligible_episodes,fraction_episode_positive,median_delta,wilcoxon_statistic,wilcoxon_p_greater
mse_model,20,1.0,0.0583887761458755,210.0,9.5367431640625e-07
excess,20,0.0,-0.09463284537196157,0.0,1.0
