episode_id,model_step,raw_step,transition_block,mse,n_contacts,rel_contact,block_velocity_discontinuity,block_acceleration_proxy,pusher_acceleration_proxy,joint_acceleration_proxy,orientation_delta,normalized_position,block_acceleration_proxy_p90,event_block_kinematic_discontinuity,pusher_acceleration_proxy_p90,event_pusher_acceleration_proxy,joint_acceleration_proxy_p90,event_joint_acceleration_proxy,orientation_delta_p90,event_orientation_delta,normalized_position_p90,event_late_trajectory_position,high_mse_p90,high_mse
0,3,15,2,0.0588069111108779,0.0,-12.0,0.0,0.0,43.48552063630056,43.48552063630056,0.0,0.1388888888888889,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,4,20,3,0.1372128129005432,0.0,-11.0,0.9226196195639488,0.9226196195639488,9.007199031479242,9.054328321586583,0.13317322731018066,0.18518518518518517,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,5,25,4,0.2339023202657699,0.0,-10.0,4.1671905533222375,4.1671905533222375,6.060521115409227,7.354957056164175,0.5655281543731688,0.23148148148148148,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,True,0.9090909090909091,False,0.2536340415477752,False
0,6,30,5,0.2548456490039825,0.0,-9.0,4.640741676933296,4.640741676933296,19.668760628572095,20.208825497195363,0.5047955513000488,0.2777777777777778,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,True,0.9090909090909091,False,0.2536340415477752,True
0,7,35,6,0.0393406338989734,0.0,-8.0,0.7788371264752768,0.7788371264752768,49.33900593114762,49.3451526853793,0.01282954216003418,0.32407407407407407,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,8,40,7,0.0950198993086814,0.0,-7.0,0.559195986840628,0.559195986840628,86.42902845599372,86.43083743663873,0.0,0.37037037037037035,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,9,45,8,0.044648990035057,0.0,-6.0,0.0,0.0,88.01423155977542,88.01423155977542,0.0,0.4166666666666667,19.032944695442215,False,87.73103337887648,True,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
0,10,50,9,0.0688605830073356,0.0,-5.0,2.704011655933677,2.704011655933677,10.071995479537803,10.428651493613886,0.26260054111480713,0.46296296296296297,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,True,0.9090909090909091,False,0.2536340415477752,False
0,11,55,10,0.1211775541305542,0.0,-4.0,4.2240014056520465,4.2240014056520465,6.48046002537323,7.735538120610024,0.33613479137420654,0.5092592592592593,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,True,0.9090909090909091,False,0.2536340415477752,False
0,12,60,11,0.0345121286809444,0.0,-3.0,4.7800775605936145,4.7800775605936145,22.760262418384492,23.25679872293296,0.1282292604446411,0.5555555555555556,19.032944695442215,False,87.73103337887648,False,88.29558190372961,False,0.256211973823983,False,0.9090909090909091,False,0.2536340415477752,False
