rel_event,mean,std,n,ci95
-20,0.10857585493619709,0.09302699197183283,58,0.023941483251963176
-19,0.1133124241755614,0.09170302246815876,62,0.02282673917952467
-18,0.10904533877395663,0.08955874455044226,65,0.021772454416495376
-17,0.1144890235458959,0.10113444089038619,67,0.02421685535977359
-16,0.10892907015445145,0.09780995218296025,68,0.023247949929718743
-15,0.1063577188079112,0.09103270739567414,70,0.02132575966783737
-14,0.10200076609746445,0.0822246569990008,72,0.018992926764612252
-13,0.11114860794902455,0.08794669803729593,73,0.02017502956357773
-12,0.12036153322009187,0.1049461157090114,73,0.024074707001666685
-11,0.1152225518280206,0.11397005761933976,73,0.02614480512796219
-10,0.1085136485782762,0.11793936733837128,75,0.026692191588498223
-9,0.10411821947699142,0.10325341176735449,77,0.02306296391980688
-8,0.1316999125373005,0.13987198458646927,77,0.031242188308294158
-7,0.15035900982495926,0.1406478378485069,77,0.03141548501087436
-6,0.14902823868316484,0.1420690121604483,77,0.03173292238479776
-5,0.13010872194736997,0.12836016454539598,77,0.02867087675825272
-4,0.11013335885492137,0.11363499771668902,77,0.025381823297735702
-3,0.10813062411563636,0.11121647452067503,77,0.024841615354442133
-2,0.12271326737079233,0.10879351381791938,77,0.02430041623752897
-1,0.13983424677658676,0.1243844695163369,77,0.02778285466346771
0,0.16530194185529046,0.15624988862824607,77,0.03490040166446513
1,0.16205786879947207,0.16552799456731304,47,0.04732368945964032
2,0.12664500041864807,0.09267392974555379,18,0.042813171252694036
3,0.15078904045124844,0.11352227113950752,3,0.12846254305076824
