gate,passed,reason,model_mse_mean,persistence_mse_mean,model_persistence_ratio,latent_dim,condition_number,per_dim_variance_min,per_dim_variance_max,per_dim_variance_spread,whitened_metrics_required,interaction_rows,interaction_episodes,free_rows,free_episodes
collapse_persistence,True,heldout model/persistence ratio=0.46526; void if approximately 1 or worse,0.14306448651845322,0.30749339101584106,0.4652603623311143,,,,,,,,,,
latent_isotropy,False,target latent covariance condition and per-dim spread within preregistered thresholds,,,,192.0,517275.4888904555,0.5858585388842782,1.679593410225292,2.866892430080385,True,,,,
no_circular_labels,True,interaction uses proprio_gripper_contact sensor; support uses block-height geometry only; no velocity/orientation/latent/error labels,,,,,,,,,,,,,
split_thresholds,True,support threshold and optional whitening are fit on calibration episodes and evaluated on held-out episodes,,,,,,,,,,,,,
coverage_interaction_free,False,requires >=5 held-out episodes and >=30 held-out rows in both interaction and free,,,,,,,,,,371.0,20.0,0.0,0.0
