contrast,left_regime,right_regime,metric,left_n,right_n,left_mean,right_mean,left_median,right_median,left_trimmed_mean,right_trimmed_mean,p_superiority,cliffs_delta,delta_mean,delta_median,delta_trimmed_mean,delta_mean_ci_low,delta_mean_ci_high,delta_median_ci_low,delta_median_ci_high,delta_trimmed_mean_ci_low,delta_trimmed_mean_ci_high,p_superiority_ci_low,p_superiority_ci_high
interaction_vs_free,interaction,free,mse_model,371,0,0.24127682424878397,,0.08055471628904343,,0.1461553032061568,,,,,,,,,,,,,,
interaction_vs_free,interaction,free,mse_persistence,371,0,0.4934911157062272,,0.2691571116447449,,0.39211479435213886,,,,,,,,,,,,,,
interaction_vs_free,interaction,free,excess,371,0,-0.25221429106081533,,-0.17920458316802979,,-0.21938742374255,,,,,,,,,,,,,,
interaction_vs_free,interaction,free,mse_model_whitened,371,0,91.00294863163067,,19.909400526537922,,44.151403718578145,,,,,,,,,,,,,,
interaction_vs_free,interaction,free,mse_persistence_whitened,371,0,195.5270777553091,,47.94766434875003,,98.15583639056489,,,,,,,,,,,,,,
interaction_vs_free,interaction,free,excess_whitened,371,0,-104.52412912367848,,-16.69417284270167,,-49.992700281418266,,,,,,,,,,,,,,
support_vs_free,support,free,mse_model,389,0,0.049396678554564526,,0.021538905799388885,,0.03847234322728155,,,,,,,,,,,,,,
support_vs_free,support,free,mse_persistence,389,0,0.1301022448458327,,0.1096893772482872,,0.12025462215938888,,,,,,,,,,,,,,
support_vs_free,support,free,excess,389,0,-0.08070556612465062,,-0.0742289125919342,,-0.07593278546100513,,,,,,,,,,,,,,
support_vs_free,support,free,mse_model_whitened,389,0,27.99714675043345,,12.742812985319825,,16.80759648133591,,,,,,,,,,,,,,
support_vs_free,support,free,mse_persistence_whitened,389,0,47.87179142654559,,22.66719095847134,,33.941923742161784,,,,,,,,,,,,,,
support_vs_free,support,free,excess_whitened,389,0,-19.874644676112144,,-4.675857805388345,,-12.12638787996621,,,,,,,,,,,,,,
interaction_vs_support,interaction,support,mse_model,371,389,0.24127682424878397,0.049396678554564526,0.08055471628904343,0.021538905799388885,0.1461553032061568,0.03847234322728155,0.7095323554071189,0.4190647108142378,0.19188014569421943,0.05901581048965454,0.10768295997887525,0.1552779884563652,0.23084026564983118,0.04643530445173383,0.07015583510510623,0.08192495949256438,0.1429063353063134,0.6832774166902696,0.7354984199959622
interaction_vs_support,interaction,support,mse_persistence,371,389,0.4934911157062272,0.1301022448458327,0.2691571116447449,0.1096893772482872,0.39211479435213886,0.12025462215938888,0.7391542347161496,0.4783084694322992,0.3633888708603945,0.15946773439645767,0.27186017219275,0.31236999310700886,0.414584845441967,0.13505365028977395,0.19398284144699574,0.22360014383045015,0.32654761818375166,0.7125569770540906,0.7643280439840197
interaction_vs_support,interaction,support,excess,371,389,-0.25221429106081533,-0.08070556612465062,-0.17920458316802979,-0.0742289125919342,-0.21938742374255,-0.07593278546100513,0.24325972325196266,-0.5134805534960747,-0.1715087249361647,-0.10497567057609558,-0.14345463828154487,-0.19514080502381442,-0.14845467155016284,-0.1317395033314824,-0.08539498150348664,-0.16674220150998265,-0.1209944326052962,0.21532207227761366,0.27167062366055983
interaction_vs_support,interaction,support,mse_model_whitened,371,389,91.00294863163067,27.99714675043345,19.909400526537922,12.742812985319825,44.151403718578145,16.80759648133591,0.6333885351201158,0.2667770702402317,63.00580188119722,7.166587541218098,27.343807237242235,41.344528087188635,86.48407908760737,3.4958185807429007,19.058857994457743,14.852939989814445,41.68759752726455,0.6044909840314878,0.6717537410969088
interaction_vs_support,interaction,support,mse_persistence_whitened,371,389,195.5270777553091,47.87179142654559,47.94766434875003,22.66719095847134,98.15583639056489,33.941923742161784,0.6266326679092843,0.2532653358185686,147.6552863287635,25.28047339027869,64.2139126484031,93.34762396783513,202.3774290439208,8.43128919699197,50.52061562090646,36.266742959118055,103.59424251142421,0.6000911509508704,0.6614046141628807
interaction_vs_support,interaction,support,excess_whitened,371,389,-104.52412912367848,-19.874644676112144,-16.69417284270167,-4.675857805388345,-49.992700281418266,-12.12638787996621,0.3640338416979053,-0.2719323166041894,-84.64948444756634,-12.018315037313323,-37.866312401452056,-114.27997733900364,-55.88141675368724,-31.770649057849493,-4.916313355438022,-58.748557216882745,-21.22521917695013,0.32875882876038603,0.39417370949585606
