regime,metric,n_episodes,n,mean,median,trimmed_mean,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,trimmed_mean_ci_low,trimmed_mean_ci_high
interaction,mse_model,20,371,0.24127682424878397,0.08055471628904343,0.1461553032061568,0.20557738489832877,0.2789492815348524,0.06774137150496244,0.09031674265861511,0.12175996986626389,0.17804204879436172
interaction,mse_persistence,20,371,0.4934911157062272,0.2691571116447449,0.39211479435213886,0.44556617546116395,0.5418424548207547,0.24385370705276727,0.30009832978248596,0.3471934847430915,0.44424712936998956
interaction,excess,20,371,-0.25221429106081533,-0.17920458316802979,-0.21938742374255,-0.2724217193297205,-0.2289498479052206,-0.20193119421601297,-0.1614522561430931,-0.24110456068590397,-0.19773679612467604
interaction,mse_model_whitened,20,371,91.00294863163067,19.909400526537922,44.151403718578145,61.68624203697635,121.4856902044013,14.71150010860805,33.979152563430176,28.233114265727014,62.828469999739184
interaction,mse_persistence_whitened,20,371,195.5270777553091,47.94766434875003,98.15583639056489,128.9666141268932,268.3967044695788,23.188066156859055,86.07022779345941,57.13757177245038,153.32222695514696
interaction,excess_whitened,20,371,-104.52412912367848,-16.69417284270167,-49.992700281418266,-142.6357033665681,-67.28429113576838,-40.46211451748732,-6.40488946907069,-79.06563301607466,-26.84906473804357
support,mse_model,20,389,0.049396678554564526,0.021538905799388885,0.03847234322728155,0.04586458379257835,0.05307562636071865,0.018848052248358727,0.024480635300278664,0.03521397836216821,0.042262687102959544
support,mse_persistence,20,389,0.1301022448458327,0.1096893772482872,0.12025462215938888,0.1197387686369247,0.14153469785948936,0.09691035272553564,0.11719390749931335,0.11062661439377384,0.13024021164685737
support,excess,20,389,-0.08070556612465062,-0.0742289125919342,-0.07593278546100513,-0.08877566483985472,-0.07323636618693362,-0.0802776562049985,-0.06498769670724869,-0.0839277107342248,-0.06885642706045449
support,mse_model_whitened,20,389,27.99714675043345,12.742812985319825,16.80759648133591,20.120790736737668,37.050592055108055,11.288791884094545,15.500924484560782,13.232302083404676,23.329658590005856
support,mse_persistence_whitened,20,389,47.87179142654559,22.66719095847134,33.941923742161784,31.8746318199081,68.32219104833915,12.813076019409138,37.650529969752625,21.523895663226515,52.80006469158268
support,excess_whitened,20,389,-19.874644676112144,-4.675857805388345,-12.12638787996621,-31.823252689800256,-10.059945620593023,-12.840449379731963,1.4506372346278686,-22.613372538531653,-5.114891599500135
free,mse_model,0,0,,,,,,,,,
free,mse_persistence,0,0,,,,,,,,,
free,excess,0,0,,,,,,,,,
free,mse_model_whitened,0,0,,,,,,,,,
free,mse_persistence_whitened,0,0,,,,,,,,,
free,excess_whitened,0,0,,,,,,,,,
