row_id,episode_ordinal,episode_id,split,model_step,raw_step,transition_block,normalized_position,interaction_contact,support_contact,free,regime,sensor_grasp_onset,sensor_release,mse_model,mse_persistence,excess,mse_model_whitened,mse_persistence_whitened,excess_whitened,phase_decile
380,10,10,heldout,3,15,2,0.075,False,True,False,support,False,False,0.011899675242602825,0.07997092604637146,-0.06807125359773636,16.46945242258229,88.2380595974999,-71.7686071749176,0
381,10,10,heldout,4,20,3,0.1,False,True,False,support,False,False,0.023061899468302727,0.16957403719425201,-0.14651213586330414,16.18907474860671,172.26578500766536,-156.07671025905864,1
382,10,10,heldout,5,25,4,0.125,False,True,False,support,False,False,0.011396323330700397,0.11628756672143936,-0.10489124059677124,13.594206941676125,126.16295731990772,-112.5687503782316,1
383,10,10,heldout,6,30,5,0.15,True,True,False,interaction,True,False,0.03353554382920265,0.07911758124828339,-0.045582037419080734,68.53564728698315,129.61835581016723,-61.08270852318408,1
384,10,10,heldout,7,35,6,0.175,True,False,False,interaction,False,False,0.07871222496032715,0.31228259205818176,-0.23357036709785461,62.237262096402084,248.31461120226757,-186.0773491058655,1
385,10,10,heldout,8,40,7,0.2,True,False,False,interaction,False,False,0.28729248046875,0.6071630120277405,-0.3198705315589905,394.72686018848367,794.8473084117144,-400.1204482232307,2
386,10,10,heldout,9,45,8,0.225,True,False,False,interaction,False,False,0.3411298990249634,0.7290332317352295,-0.3879033327102661,396.3268936184184,1267.3107190475323,-870.983825429114,2
387,10,10,heldout,10,50,9,0.25,True,False,False,interaction,False,False,0.060402292758226395,0.21980278193950653,-0.15940049290657043,103.27422983101347,343.137792850679,-239.8635630196655,2
388,10,10,heldout,11,55,10,0.275,True,False,False,interaction,False,False,0.2619972229003906,0.5368489623069763,-0.2748517394065857,501.42947702739303,1195.7318261614273,-694.3023491340343,2
389,10,10,heldout,12,60,11,0.3,True,False,False,interaction,False,False,0.07918330281972885,0.25838789343833923,-0.17920458316802979,112.21975895503726,257.24783990843844,-145.02808095340117,3
390,10,10,heldout,13,65,12,0.325,True,False,False,interaction,False,False,0.019070811569690704,0.14806388318538666,-0.12899306416511536,30.76901961301102,127.04930292271199,-96.28028330970096,3
391,10,10,heldout,14,70,13,0.35,True,True,False,interaction,False,True,0.042113546282052994,0.09403248876333237,-0.05191894248127937,67.851698856216,147.10556590895604,-79.25386705274003,3
392,10,10,heldout,15,75,14,0.375,False,True,False,support,False,False,0.06026666238903999,0.05189202353358269,0.008374638855457306,101.73162307541132,90.92966442261668,10.801958652794639,3
393,10,10,heldout,16,80,15,0.4,False,True,False,support,False,False,0.1587294489145279,0.3301530182361603,-0.17142356932163239,163.13728572962933,250.93982289552642,-87.80253716589709,4
394,10,10,heldout,17,85,16,0.425,False,True,False,support,False,False,0.11386492103338242,0.36963143944740295,-0.25576651096343994,170.6050780154855,316.8680694722597,-146.26299145677422,4
395,10,10,heldout,18,90,17,0.45,False,True,False,support,False,False,0.023632192984223366,0.10652752965688705,-0.08289533853530884,26.90927539128568,108.92375027105602,-82.01447487977035,4
396,10,10,heldout,19,95,18,0.475,False,True,False,support,False,False,0.024720633402466774,0.10459643602371216,-0.07987580448389053,29.881436804515193,106.21803084722524,-76.33659404271005,4
397,10,10,heldout,20,100,19,0.5,False,True,False,support,False,False,0.027243340387940407,0.13192786276340485,-0.10468452423810959,23.662463077571942,93.35385284930516,-69.69138977173321,5
398,10,10,heldout,21,105,20,0.525,False,True,False,support,False,False,0.02282857336103916,0.20789702236652374,-0.18506844341754913,22.268847790580057,155.32371014499327,-133.05486235441322,5
399,10,10,heldout,22,110,21,0.55,False,True,False,support,False,False,0.046840399503707886,0.2453443557024002,-0.19850395619869232,104.09748214333474,247.71979384600715,-143.6223117026724,5
400,10,10,heldout,23,115,22,0.575,True,True,False,interaction,True,False,0.005691463127732277,0.054153114557266235,-0.04846165329217911,9.396487636651836,64.36336014406687,-54.96687250741504,5
401,10,10,heldout,24,120,23,0.6,True,True,False,interaction,False,False,0.014634951017796993,0.08314450830221176,-0.0685095563530922,14.594421521953985,87.5239816726317,-72.92956015067772,6
402,10,10,heldout,25,125,24,0.625,True,False,False,interaction,False,False,0.17608046531677246,0.38814473152160645,-0.21206426620483398,221.13908472045952,328.6583208972969,-107.51923617683738,6
403,10,10,heldout,26,130,25,0.65,True,False,False,interaction,False,False,0.6296467781066895,1.6262651681900024,-0.996618390083313,585.1795334682378,2222.728450526853,-1637.5489170586152,6
404,10,10,heldout,27,135,26,0.675,True,False,False,interaction,False,False,0.32421183586120605,0.9720751643180847,-0.6478633284568787,42.30438855808702,160.81189989392843,-118.5075113358414,6
405,10,10,heldout,28,140,27,0.7,True,False,False,interaction,False,False,1.0952681303024292,1.7776836156845093,-0.6824154853820801,652.3875138255252,751.7396675867541,-99.35215376122892,7
