regime,directional_consistency,top1_variance,top3_variance,top5_variance,top10_variance,effective_rank,n,directional_consistency_ci_low,directional_consistency_ci_high,top1_variance_ci_low,top1_variance_ci_high,top3_variance_ci_low,top3_variance_ci_high,top5_variance_ci_low,top5_variance_ci_high,top10_variance_ci_low,top10_variance_ci_high,effective_rank_ci_low,effective_rank_ci_high
interaction,0.083273659983563,0.09174735811749526,0.23016898329254495,0.3392603205597332,0.5221114178003602,42.267862146488376,371,0.08353065936242503,0.10414150842451494,0.09135220632024542,0.16463656403682952,0.23673291920290293,0.35035433707680985,0.3462226213046974,0.4711828836473266,0.5383529249125093,0.6590937722212541,27.5955747092295,38.969827279659974
support,0.23256354739217389,0.13318395248440293,0.303433186992326,0.41508362697326023,0.6226450784586463,31.8821624390365,389,0.2230414344741857,0.3167310845128162,0.12947644754291243,0.19530562752644448,0.3159437264878974,0.43517578701901266,0.4525968788895162,0.5785469692109337,0.6626744925660688,0.7719997353966858,20.109027657233966,28.290793387897033
free,,,,,,,0,,,,,,,,,,,,
