episode_id,model_step,raw_step,transition_block,mse,n_contacts,original_event,block_speed,state_delta,pusher_block_distance_raw,pusher_block_distance,event_original,event_block_velocity_onset,event_large_state_change,event_proximity_threshold
0,3,15,2,0.0588069111108779,0.0,False,0.0,81.58342613369136,131.5903052733181,0.25701231498694943,False,False,False,False
0,4,20,3,0.1372128129005432,0.0,False,0.9226196195639488,79.3234610890385,104.74186812779892,0.20457396118710727,False,True,False,False
0,5,25,4,0.2339023202657699,0.0,False,5.0215758388042895,75.72352712336377,107.02407090718982,0.20903138849060512,False,False,False,False
0,6,30,5,0.2548456490039825,0.0,False,0.5140546996675617,77.99361097007927,130.62195026068693,0.25512099660290416,False,False,False,False
0,7,35,6,0.0393406338989734,0.0,False,0.559195986840628,203.93527334715904,138.1956593397441,0.2699133971479377,False,False,False,False
0,8,40,7,0.0950198993086814,0.0,False,0.0,89.24401283892327,135.58738723511397,0.26481911569358196,False,False,False,False
0,9,45,8,0.044648990035057,0.0,False,0.0,121.54147745061786,109.31865924412426,0.2135130063361802,False,False,False,False
0,10,50,9,0.0688605830073356,0.0,False,2.704011655933677,37.15179957167041,98.72025576415224,0.19281299953935985,False,False,False,False
0,11,55,10,0.1211775541305542,0.0,False,6.7427713765294595,62.02541720299734,95.92821785851756,0.1873598005049171,False,False,False,False
0,12,60,11,0.0345121286809444,0.0,False,2.03530210872218,98.82308431843751,117.40095142603231,0.22929873325396935,False,False,False,False
0,13,65,12,0.5023959279060364,0.0,False,0.058254397693511005,270.91095288798925,144.88941894688497,0.2829871463806347,False,False,True,False
0,14,70,13,0.2952152192592621,0.0,False,0.0,251.8990479138936,89.08382388650773,0.1739918435283354,False,False,True,False
0,15,75,14,0.4809652864933014,1.0,True,23.192986512128353,109.27505581753466,53.82245909550437,0.10512199042090697,True,False,False,False
0,16,80,15,0.151319533586502,1.0,True,10.695762192308882,260.63052513952,89.35942378089202,0.17453012457205472,True,False,True,False
0,17,85,16,0.3284120857715606,0.0,False,0.0,227.44561338280727,149.13413978469788,0.29127761676698805,False,False,True,False
0,18,90,17,0.1827377080917358,0.0,False,0.0,172.7844827182973,145.71933419901734,0.28460807460745574,False,False,False,False
0,19,95,18,0.1253388971090316,0.0,False,15.018647713253408,60.887483587190566,134.72982043305913,0.2631441805333186,False,False,False,False
0,20,100,19,0.6377933621406555,0.0,False,38.461998820710896,58.40067946745887,134.7977878331217,0.2632769293615658,False,False,False,False
0,21,105,20,0.5521054267883301,0.0,False,25.98896437576398,56.26816440838786,134.77797585862078,0.2632382340988687,False,False,False,False
