regime,n,n_episodes,mean_selected_depth,mean_gain_vs_depth0,allocation_source
impact,2,1,1.0,0.00012638267042979563,diagnostic_oracle
interaction,16,1,1.125,0.0001642332015448831,diagnostic_oracle
transport_free,17,1,1.0588235294117647,0.00013648524018595066,diagnostic_oracle
static,3,1,0.0,0.0,diagnostic_oracle
