episodes_with_rows,mean_calls,mean_cumulative_gain_vs_d1,mean_last_accepted_marginal_gain,mean_prediction_benefit_vs_exact_total_analytic,positive_prediction_benefit_rate,regime,rows
298,1.7203791469194314,-0.00019733150163003335,-0.00020693260757031882,-0.00018396616041825654,0.46208530805687204,impact,422
296,1.8351468988030468,5.3717313695119306e-05,4.48177283086588e-05,4.0710633428831205e-05,0.5223068552774756,contact,1838
295,1.2194076383476227,-4.2522706147781766e-05,-4.2544742851382835e-05,-3.0260962299073574e-05,0.5031176929072486,static,7698
300,1.5776699029126213,-9.212416907366825e-05,-0.00010970216383317927,-6.423316804274128e-05,0.5041608876560333,other_free_motion,1442
