mean_calls,mean_cumulative_gain_vs_d1,mean_prediction_benefit_vs_exact_total_analytic,model_step_offset_from_impact_onset,rows
1.7222222222222223,-0.00013861805459277498,-0.00010989893942936771,-2,180
1.767515923566879,-0.0004088365959276439,-0.00031253149630109425,-1,314
1.7203791469194314,-0.00019733150163003335,-0.00018396616041825654,0,422
1.7109004739336493,5.456887768201918e-05,4.8126139589272656e-05,1,422
1.7180094786729858,1.0642375337992799e-05,1.5631135380871295e-05,2,422
1.8293838862559242,2.5370038253524432e-05,1.3930657135119552e-05,3,422
