episode_ordinal,episode_id,model_step,raw_step,transition_block,mse,identity_mse,contact,sensor_grasp_onset,sensor_release,effector_acceleration_proxy,block_acceleration_proxy,orientation_delta,normalized_position,event_sensor_grasp_onset,event_sensor_release,event_effector_kinematic_change,event_block_kinematic_discontinuity,event_orientation_delta,event_normalized_trajectory_position,high_mse_p90,high_mse
0,0,3,15,2,0.012173722498118877,0.053079839795827866,False,False,False,0.057717622084804875,2.7466774341067257e-10,0.0,0.075,False,False,False,False,False,False,0.33094210028648385,False
0,0,4,20,3,0.010973788797855377,0.11582618951797485,False,False,False,0.008151133326020108,4.2674197509029455e-16,0.0,0.1,False,False,False,False,False,False,0.33094210028648385,False
0,0,5,25,4,0.007547948509454727,0.0783553346991539,False,False,False,0.024347362259656318,0.0,0.0,0.125,False,False,False,False,False,False,0.33094210028648385,False
0,0,6,30,5,0.006515705492347479,0.06065218523144722,True,True,False,0.026130095115967672,0.005528758034893651,0.01883246735644128,0.15,True,False,False,False,False,False,0.33094210028648385,False
0,0,7,35,6,0.06643261015415192,0.2866609990596771,True,False,False,0.08722310370686544,0.08039529886214115,0.016120609406639064,0.175,False,False,False,True,False,False,0.33094210028648385,False
0,0,8,40,7,0.24070072174072266,0.4991842210292816,True,False,False,0.04462097056612929,0.04378270900152749,0.03101085320053998,0.2,False,False,False,False,False,False,0.33094210028648385,False
0,0,9,45,8,0.35495853424072266,0.6277828216552734,True,False,False,0.02647951574191873,0.02644823490156531,0.01879686843473416,0.225,False,False,False,False,False,False,0.33094210028648385,True
0,0,10,50,9,0.748487651348114,1.2416014671325684,True,False,False,0.11451910876692002,0.11242471285709325,0.02499798011308596,0.25,False,False,True,True,False,False,0.33094210028648385,True
0,0,11,55,10,0.4086732864379883,0.9185063242912292,True,False,False,0.04730667610454356,0.047781412736895075,0.02883433683957959,0.275,False,False,False,False,False,False,0.33094210028648385,True
0,0,12,60,11,0.020642375573515892,0.21012593805789948,True,False,False,0.03907313743494852,0.03786587352073664,0.020456581665522222,0.3,False,False,False,False,False,False,0.33094210028648385,False
0,0,13,65,12,0.04123618081212044,0.16604717075824738,True,False,False,0.01247656460344488,0.012420202471066894,0.004690806926573865,0.325,False,False,False,False,False,False,0.33094210028648385,False
0,0,14,70,13,0.02069101296365261,0.07688684016466141,True,False,True,0.032218964495100845,0.03656493839495986,0.017068331542821946,0.35,False,True,False,False,False,False,0.33094210028648385,False
0,0,15,75,14,0.0745980367064476,0.10242598503828049,False,False,False,0.0629734258919733,0.026949209170541843,0.012102405522495863,0.375,False,False,False,False,False,False,0.33094210028648385,False
0,0,16,80,15,0.1290191262960434,0.24911348521709442,False,False,False,0.0485239174053885,0.0005574126211638987,4.440892098500626e-16,0.4,False,False,False,False,False,False,0.33094210028648385,False
0,0,17,85,16,0.05424760282039642,0.16043755412101746,False,False,False,0.03392068212550894,1.0958726516469816e-09,0.0,0.425,False,False,False,False,False,False,0.33094210028648385,False
0,0,18,90,17,0.04169202968478203,0.11826688051223755,False,False,False,0.06999914284370581,1.6274960797427188e-15,0.0,0.45,False,False,False,False,False,False,0.33094210028648385,False
0,0,19,95,18,0.016534311696887016,0.07071661949157715,False,False,False,0.1513072957008731,0.0,0.0,0.475,False,False,True,False,False,False,0.33094210028648385,False
0,0,20,100,19,0.04269182309508324,0.16260264813899994,False,False,False,0.02075138987750528,0.0,0.0,0.5,False,False,False,False,False,False,0.33094210028648385,False
0,0,21,105,20,0.0071436516009271145,0.10070229321718216,False,False,False,0.05637053928775852,0.0,0.0,0.525,False,False,False,False,False,False,0.33094210028648385,False
0,0,22,110,21,0.013257022015750408,0.20743590593338013,False,False,False,0.006370628499947339,0.0,0.0,0.55,False,False,False,False,False,False,0.33094210028648385,False
0,0,23,115,22,0.0025048304814845324,0.03959156945347786,True,True,False,0.05720261444563911,0.001584509710376156,0.007798037830102578,0.575,True,False,False,False,False,False,0.33094210028648385,False
0,0,24,120,23,0.048059698194265366,0.10531976073980331,True,False,False,0.03873760737318964,0.03126719717524763,0.008763079743503432,0.6,False,False,False,False,False,False,0.33094210028648385,False
0,0,25,125,24,0.0993555411696434,0.3316943049430847,True,False,False,0.06162599286576601,0.06106892464604496,0.015364335796500981,0.625,False,False,False,False,False,False,0.33094210028648385,False
0,0,26,130,25,0.2204044908285141,0.5025525689125061,True,False,False,0.013222696075111685,0.012483334196986055,0.004765791677775466,0.65,False,False,False,False,False,False,0.33094210028648385,False
0,0,27,135,26,0.10477577894926071,0.46723127365112305,True,False,False,0.013403780020285905,0.013706521089218469,0.025133965578893358,0.675,False,False,False,False,False,False,0.33094210028648385,False
0,0,28,140,27,0.04788315296173096,0.22424815595149994,True,False,False,0.13257563554009666,0.13181606133969295,0.003348466861881061,0.7,False,False,True,True,False,False,0.33094210028648385,False
0,0,29,145,28,0.0694304034113884,0.4157026708126068,True,False,False,0.029188079154473485,0.02911132288705238,0.0001517369406407454,0.725,False,False,False,False,False,False,0.33094210028648385,False
0,0,30,150,29,0.03868596628308296,0.32012835144996643,True,False,False,0.010247815273913514,0.010228904993723092,0.010863473788057965,0.75,False,False,False,False,False,False,0.33094210028648385,False
0,0,31,155,30,0.04986806586384773,0.2538496255874634,True,False,False,0.005661979957670061,0.005804910031545113,0.0033019758899730522,0.775,False,False,False,False,False,False,0.33094210028648385,False
0,0,32,160,31,0.023420507088303566,0.028858983889222145,True,False,True,0.05577516841135341,0.059160615892326365,0.0023305679662737333,0.8,False,True,False,False,False,False,0.33094210028648385,False
0,0,33,165,32,0.1472966969013214,0.2817765772342682,False,False,False,0.08951982228840427,0.017269810312629825,1.191935439237568e-12,0.825,False,False,False,False,False,False,0.33094210028648385,False
0,0,34,170,33,0.14133964478969574,0.3785891830921173,False,False,False,0.04282959061231731,8.524158066106546e-07,0.0,0.85,False,False,False,False,False,False,0.33094210028648385,False
0,0,35,175,34,0.03721730411052704,0.19632892310619354,False,False,False,0.07339800401444316,1.3611718713385971e-12,0.0,0.875,False,False,False,False,False,False,0.33094210028648385,False
0,0,36,180,35,0.0077815274707973,0.002856505336239934,False,False,False,0.1553025330825916,0.0,0.0,0.9,False,False,True,False,False,False,0.33094210028648385,False
0,0,37,185,36,0.05408851429820061,0.19263267517089844,False,False,False,0.09555568777112007,0.0,0.0,0.925,False,False,False,False,False,True,0.33094210028648385,False
0,0,38,190,37,0.021574469283223152,0.12541328370571136,False,False,False,0.08718291624356546,0.0,0.0,0.95,False,False,False,False,False,True,0.33094210028648385,False
0,0,39,195,38,0.01052949856966734,0.16956329345703125,False,False,False,0.03150536229896105,0.0,0.0,0.975,False,False,False,False,False,True,0.33094210028648385,False
0,0,40,200,39,0.007466502487659454,0.1435539573431015,False,False,False,0.02588870195678403,0.0,0.0,1.0,False,False,False,False,False,True,0.33094210028648385,False
1,1,3,15,2,0.014027520082890987,0.06160607933998108,False,False,False,0.04960821821879749,2.7466774341067257e-10,0.0,0.075,False,False,False,False,False,False,0.33094210028648385,False
1,1,4,20,3,0.01935984008014202,0.07382205128669739,False,False,False,0.0746583598386421,4.2674197509029455e-16,0.0,0.1,False,False,False,False,False,False,0.33094210028648385,False
1,1,5,25,4,0.00362359918653965,0.06458055973052979,False,False,False,0.02141991166466444,0.0,0.0,0.125,False,False,False,False,False,False,0.33094210028648385,False
1,1,6,30,5,0.011150114238262177,0.039030805230140686,True,True,False,0.035625138163741354,0.010389157020709576,0.008091144223631774,0.15,True,False,False,False,False,False,0.33094210028648385,False
1,1,7,35,6,0.043907731771469116,0.12426287680864334,True,False,False,0.04255638529954369,0.03984709796155292,0.0056294251889845714,0.175,False,False,False,False,False,False,0.33094210028648385,False
1,1,8,40,7,0.06061384081840515,0.29257676005363464,True,False,False,0.024734162393713736,0.024867759687334293,0.016234204887072945,0.2,False,False,False,False,False,False,0.33094210028648385,False
1,1,9,45,8,0.6556033492088318,1.3999415636062622,True,False,False,0.05932339827969153,0.05795269561589278,0.06334289819361416,0.225,False,False,False,False,True,False,0.33094210028648385,True
1,1,10,50,9,0.47560396790504456,0.9425014853477478,True,False,False,0.12675659677554524,0.12562976021250016,0.02588661736318088,0.25,False,False,True,True,False,False,0.33094210028648385,True
1,1,11,55,10,0.55387282371521,1.2052093744277954,True,False,False,0.12760343248783515,0.1265790747658132,0.024131611464275782,0.275,False,False,True,True,False,False,0.33094210028648385,True
1,1,12,60,11,0.06412958353757858,0.2360237091779709,True,False,False,0.05562399088937807,0.0554099526593783,0.061364537657460076,0.3,False,False,False,False,True,False,0.33094210028648385,False
1,1,13,65,12,0.0098068006336689,0.06590621918439865,True,False,False,0.03345264030510986,0.03333500047784788,0.01001291140011773,0.325,False,False,False,False,False,False,0.33094210028648385,False
1,1,14,70,13,0.014580038376152515,0.05246013402938843,True,False,False,0.011993823657466481,0.012573753580645346,0.009502418573806182,0.35,False,False,False,False,False,False,0.33094210028648385,False
1,1,15,75,14,0.06264279037714005,0.059569358825683594,False,False,True,0.03624157333453879,0.02329944429523965,0.0010759620658582492,0.375,False,True,False,False,False,False,0.33094210028648385,False
1,1,16,80,15,0.12493941932916641,0.23794037103652954,False,False,False,0.06832957328676237,0.0016429776856503302,0.0,0.4,False,False,False,False,False,False,0.33094210028648385,False
1,1,17,85,16,0.14225085079669952,0.31810763478279114,False,False,False,0.11968903702906669,5.268561023819104e-09,0.0,0.425,False,False,True,False,False,False,0.33094210028648385,False
1,1,18,90,17,0.017448166385293007,0.014187323860824108,False,False,False,0.09259228766524519,8.387720054909976e-15,0.0,0.45,False,False,False,False,False,False,0.33094210028648385,False
1,1,19,95,18,0.09318739175796509,0.14230144023895264,False,False,False,0.16165257764403285,0.0,0.0,0.475,False,False,True,False,False,False,0.33094210028648385,False
1,1,20,100,19,0.06758615374565125,0.11210113018751144,False,False,False,0.0527128106573672,0.0,0.0,0.5,False,False,False,False,False,False,0.33094210028648385,False
1,1,21,105,20,0.021637165918946266,0.13363631069660187,False,False,False,0.07145450496044421,0.0,0.0,0.525,False,False,False,False,False,False,0.33094210028648385,False
1,1,22,110,21,0.005534979049116373,0.19724245369434357,False,False,False,0.009108447530893505,0.0,0.0,0.55,False,False,False,False,False,False,0.33094210028648385,False
1,1,23,115,22,0.0018125943606719375,0.03135412931442261,True,True,False,0.0551032974271959,0.0010461750624719825,0.004664972281746227,0.575,True,False,False,False,False,False,0.33094210028648385,False
