row_id,episode_ordinal,regime,valid_neighbors,n_neighbors,neighbor_radius,input_spread,successor_spread,residual_spread,local_expansion,model_sensitivity,residual_norm,dataset,scale
swm/FetchPushDense-v3::1::3,swm/FetchPushDense-v3::1,free,True,10,2.050718551708976,2.050718551708976,0.44753288903281363,0.3226640686514398,0.21823223311646542,0.15734195625360006,0.32111021278948576,fetch,raw_fullstate
swm/FetchPushDense-v3::1::4,swm/FetchPushDense-v3::1,free,True,10,1.8654540131826085,1.8654540131826085,0.5744436520140398,0.17464971338066368,0.307937718086116,0.09362316741472378,0.17283384444841302,fetch,raw_fullstate
swm/FetchPushDense-v3::1::5,swm/FetchPushDense-v3::1,free,True,10,1.6864317357402685,1.6864317357402685,0.3560671613748553,0.12332156380218526,0.2111364212548797,0.07312573713400417,0.11565251806366919,fetch,raw_fullstate
swm/FetchPushDense-v3::1::6,swm/FetchPushDense-v3::1,interaction,True,10,1.8403608416486141,1.8403608416486141,0.24442297500465793,0.07931135689350363,0.13281252756155218,0.04309554686159031,0.09430761607441092,fetch,raw_fullstate
swm/FetchPushDense-v3::1::7,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,3.4639760924848377,3.4639760924848377,0.3289996176678364,0.18612658445559718,0.0949774504453444,0.05373206381516384,0.11718324686440187,fetch,raw_fullstate
swm/FetchPushDense-v3::1::8,swm/FetchPushDense-v3::1,free,True,10,4.627026198619557,4.627026198619557,0.411169445251216,0.24079877661054722,0.0888625712501662,0.05204180099139874,0.2405333921558133,fetch,raw_fullstate
swm/FetchPushDense-v3::1::9,swm/FetchPushDense-v3::1,free,True,10,5.010186179320778,5.010186179320778,0.5068165994505389,0.14354723682391876,0.101157238735437,0.028651078360401212,0.09358250339071462,fetch,raw_fullstate
swm/FetchPushDense-v3::1::10,swm/FetchPushDense-v3::1,free,True,10,4.387322830811666,4.387322830811666,0.4487478305283763,0.07733779092854551,0.10228283803892244,0.017627558743890707,0.04801683551133689,fetch,raw_fullstate
swm/FetchPushDense-v3::1::11,swm/FetchPushDense-v3::1,interaction,True,10,3.6384727274674047,3.6384727274674047,0.4310387949291033,0.09093766269095613,0.1184669577636582,0.024993361089243122,0.07325299707437351,fetch,raw_fullstate
swm/FetchPushDense-v3::1::12,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,3.7933622136453438,3.7933622136453438,0.532076611624871,0.18216412239114546,0.14026517418002016,0.04802181076615129,0.16182999395677644,fetch,raw_fullstate
swm/FetchPushDense-v3::1::13,swm/FetchPushDense-v3::1,free,True,10,4.894725194629302,4.894725194629302,0.5061186549245842,0.21413659289609557,0.10340083146647717,0.04374844028650581,0.21198238479725323,fetch,raw_fullstate
swm/FetchPushDense-v3::1::14,swm/FetchPushDense-v3::1,free,True,10,5.281267893377785,5.281267893377785,0.4604383843477904,0.11824595818385171,0.08718330401779788,0.022389691371672522,0.09613414946187265,fetch,raw_fullstate
swm/FetchPushDense-v3::1::15,swm/FetchPushDense-v3::1,free,True,10,5.328650907516328,5.328650907516328,0.596904664550288,0.26146400887086463,0.11201797132334643,0.04906758078335673,0.24741735296865883,fetch,raw_fullstate
swm/FetchPushDense-v3::1::16,swm/FetchPushDense-v3::1,interaction,True,10,5.889513009816396,5.889513009816396,0.4702103112427528,0.22814208895834193,0.0798385724692391,0.03873700398964807,0.1831978116357353,fetch,raw_fullstate
swm/FetchPushDense-v3::1::17,swm/FetchPushDense-v3::1,post_impact_response,True,10,6.90411526173421,6.90411526173421,0.5106713307082553,0.250506217655459,0.07396622323770162,0.036283608856283144,0.16576032026805224,fetch,raw_fullstate
swm/FetchPushDense-v3::1::18,swm/FetchPushDense-v3::1,post_impact_response,True,10,6.879355914934489,6.879355914934489,0.4545297990176349,0.19140998144211357,0.06607156318673524,0.027823823016131347,0.14117914963939668,fetch,raw_fullstate
swm/FetchPushDense-v3::1::19,swm/FetchPushDense-v3::1,interaction,True,10,4.762557703228074,4.762557703228074,0.3830910737020079,0.1933569808706998,0.08043809599248483,0.040599399087520124,0.14010863369596238,fetch,raw_fullstate
swm/FetchPushDense-v3::1::20,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,3.7761404094535314,3.7761404094535314,0.30723891714256735,0.10112073480101158,0.0813632131828037,0.02677885985061805,0.07823520828701451,fetch,raw_fullstate
swm/FetchPushDense-v3::1::21,swm/FetchPushDense-v3::1,free,True,10,3.6659364921350237,3.6659364921350237,0.34273883887720824,0.18772294048503824,0.09349284681077462,0.05120736294471629,0.10655535720264986,fetch,raw_fullstate
swm/FetchPushDense-v3::1::22,swm/FetchPushDense-v3::1,interaction,True,10,3.7729357995974198,3.7729357995974198,0.4987053936892883,0.30653812339687747,0.13217966596264405,0.0812465781764921,0.2899028357481372,fetch,raw_fullstate
swm/FetchPushDense-v3::1::23,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,5.273963377966203,5.273963377966203,0.4904137984178185,0.23941678400206776,0.09298771403432396,0.045395989096608774,0.20687762449026276,fetch,raw_fullstate
swm/FetchPushDense-v3::1::24,swm/FetchPushDense-v3::1,interaction,True,10,6.146648841405015,6.146648841405015,0.5238250159551474,0.27310324255258034,0.08522123672114809,0.04443124206362727,0.0756911748871484,fetch,raw_fullstate
swm/FetchPushDense-v3::1::25,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,5.678455520952211,5.678455520952211,0.5067913055817954,0.23570879483301224,0.08924808932848917,0.041509314278028654,0.18801796325143,fetch,raw_fullstate
swm/FetchPushDense-v3::1::26,swm/FetchPushDense-v3::1,free,True,10,6.838345505931725,6.838345505931725,0.7884649216851797,0.48484381379503605,0.11530053885128333,0.0709007483424861,0.47884997897419634,fetch,raw_fullstate
swm/FetchPushDense-v3::1::27,swm/FetchPushDense-v3::1,free,True,10,7.5932130660317405,7.5932130660317405,0.7572585186438532,0.3516145362548483,0.09972833793265347,0.04630642301186001,0.307398990677957,fetch,raw_fullstate
swm/FetchPushDense-v3::1::28,swm/FetchPushDense-v3::1,sustained_contact_dynamics,True,10,7.656461334747421,7.656461334747421,1.226369951562667,0.8966336097854595,0.16017451116706038,0.11710809610129619,0.8222547776739432,fetch,raw_fullstate
swm/FetchPushDense-v3::1::29,swm/FetchPushDense-v3::1,interaction,True,10,15.377800173509243,15.377800173509243,1.0933543547160314,0.6844010852476418,0.07109952934617474,0.04450578610239934,0.6598623401643878,fetch,raw_fullstate
swm/FetchPushDense-v3::1::30,swm/FetchPushDense-v3::1,post_impact_response,True,10,14.69428981730238,14.69428981730238,1.0898931614319254,0.43333131363247207,0.07417120357518654,0.029489775893914164,0.42936690211044387,fetch,raw_fullstate
swm/FetchPushDense-v3::1::31,swm/FetchPushDense-v3::1,post_impact_response,True,10,16.353506049664887,16.353506049664887,1.149236184111126,0.6201874992538805,0.07027460537336433,0.03792382485874271,0.5854506327236727,fetch,raw_fullstate
