calibration_mean_depth,calibration_raw_mse,calibration_total_calls,operating_point,seed,target_mean_depth,test_mean_depth_target_free,test_total_calls_target_free,threshold
1.236842105263158,0.003595776246296928,47,1.25,260913,1.25,1.2894736842105263,49,1.574273846927099e-05
1.5,0.0035943597046609378,57,1.50,260913,1.5,1.4736842105263157,56,1.4284951248555444e-05
2.0,0.0035749221477951658,76,2.00,260913,2.0,2.0,76,3.0794745953244274e-06
2.5,0.003886133227129712,95,2.50,260913,2.5,2.1315789473684212,81,-9.03598811419215e-06
