depth_1_fraction,depth_2_fraction,depth_3_fraction,depth_4_fraction,diagnostic_only,mean_calls,operating_point,policy,raw_mse,seed,total_calls,whitened_mse
0.7105263157894737,0.2894736842105263,0.0,0.0,False,1.2894736842105263,1.25,adaptive,0.0029617375694215298,260913,49,53.526442745272114
0.7105263157894737,0.2894736842105263,0.0,0.0,False,1.2894736842105263,1.25,matched_mixture,0.0030240584164857864,260913,49,54.78034294754777
0.7105263157894737,0.2894736842105263,0.0,0.0,False,1.2894736842105263,1.25,random_histogram,0.0030127973295748234,260913,49,54.479844465447584
0.7105263157894737,0.2894736842105263,0.0,0.0,False,1.2894736842105263,1.25,permutation,0.003063664771616459,260913,49,55.446586350289586
1.0,0.0,0.0,0.0,False,1.0,1.25,fixed_d1,0.0030470609199255705,260913,38,55.18429590960061
0.0,1.0,0.0,0.0,False,2.0,1.25,fixed_d2,0.0029515621718019247,260913,76,53.54124366005977
0.0,0.0,0.0,1.0,False,4.0,1.25,fixed_d4,0.004410810302942991,260913,152,82.6913038181794
0.7105263157894737,0.2894736842105263,0.0,0.0,True,1.2894736842105263,1.25,oracle,0.0029373022262007,260913,49,53.250527144522636
0.5263157894736842,0.47368421052631576,0.0,0.0,False,1.4736842105263157,1.50,adaptive,0.002949487417936325,260913,56,53.331607674064855
0.5263157894736842,0.47368421052631576,0.0,0.0,False,1.4736842105263157,1.50,matched_mixture,0.003003603545948863,260913,56,54.45205189786087
0.5263157894736842,0.47368421052631576,0.0,0.0,False,1.4736842105263157,1.50,random_histogram,0.0029727607034146786,260913,56,54.10378774527453
0.5263157894736842,0.47368421052631576,0.0,0.0,False,1.4736842105263157,1.50,permutation,0.0030210467521101236,260913,56,54.86453013721848
1.0,0.0,0.0,0.0,False,1.0,1.50,fixed_d1,0.0030470609199255705,260913,38,55.18429590960061
0.0,1.0,0.0,0.0,False,2.0,1.50,fixed_d2,0.0029515621718019247,260913,76,53.54124366005977
0.0,0.0,0.0,1.0,False,4.0,1.50,fixed_d4,0.004410810302942991,260913,152,82.6913038181794
0.5263157894736842,0.47368421052631576,0.0,0.0,True,1.4736842105263157,1.50,oracle,0.0029064237605780363,260913,56,52.63744614634328
0.0,1.0,0.0,0.0,False,2.0,2.00,adaptive,0.0029515621718019247,260913,76,53.54124366005977
0.0,1.0,0.0,0.0,False,2.0,2.00,matched_mixture,0.0029515621718019247,260913,76,53.54124366005977
0.0,1.0,0.0,0.0,False,2.0,2.00,random_histogram,0.0029515621718019247,260913,76,53.54124366005977
0.0,1.0,0.0,0.0,False,2.0,2.00,permutation,0.0029515621718019247,260913,76,53.54124366005977
1.0,0.0,0.0,0.0,False,1.0,2.00,fixed_d1,0.0030470609199255705,260913,38,55.18429590960061
0.0,1.0,0.0,0.0,False,2.0,2.00,fixed_d2,0.0029515621718019247,260913,76,53.54124366005977
0.0,0.0,0.0,1.0,False,4.0,2.00,fixed_d4,0.004410810302942991,260913,152,82.6913038181794
0.15789473684210525,0.6842105263157895,0.15789473684210525,0.0,True,2.0,2.00,oracle,0.0029194136150181293,260913,76,52.956009183003566
0.0,0.8947368421052632,0.07894736842105263,0.02631578947368421,False,2.1315789473684212,2.50,adaptive,0.0030028540641069412,260913,81,54.518778030229264
0.02631578947368421,0.8947368421052632,0.0,0.07894736842105263,False,2.1315789473684212,2.50,matched_mixture,0.0030829543247818947,260913,81,56.17935888004013
0.0,0.8947368421052632,0.07894736842105263,0.02631578947368421,False,2.1315789473684212,2.50,random_histogram,0.003045712597668171,260913,81,55.54750272353894
0.0,0.8947368421052632,0.07894736842105263,0.02631578947368421,False,2.1315789473684212,2.50,permutation,0.0030320012010633945,260913,81,55.103914021866736
1.0,0.0,0.0,0.0,False,1.0,2.50,fixed_d1,0.0030470609199255705,260913,38,55.18429590960061
0.0,1.0,0.0,0.0,False,2.0,2.50,fixed_d2,0.0029515621718019247,260913,76,53.54124366005977
0.0,0.0,0.0,1.0,False,4.0,2.50,fixed_d4,0.004410810302942991,260913,152,82.6913038181794
0.07894736842105263,0.7105263157894737,0.21052631578947367,0.0,True,2.1315789473684212,2.50,oracle,0.0029466147534549236,260913,81,53.48774155452144
