benefit_vs_fixed_d1,mean_depth,n,regime
0.00010054872836917639,2.0,2,impact
0.00010717022087192163,2.0,16,contact
3.968497185269371e-05,2.0,8,free
0.00011630416702246293,2.0,12,static
