mean_calls,nondominated,operating_point,policy,raw_mse
0.0,True,fixed,fixed_d0,0.004018647130578756
1.0,True,fixed,fixed_d1,0.0030470609199255705
2.0,False,fixed,fixed_d2,0.0029515621718019247
4.0,False,fixed,fixed_d4,0.004410810302942991
1.2894736842105263,True,1.25,adaptive,0.0029617375694215298
1.2894736842105263,False,1.25,matched_mixture,0.0030240584164857864
1.4736842105263157,True,1.50,adaptive,0.002949487417936325
1.4736842105263157,False,1.50,matched_mixture,0.003003603545948863
2.0,False,2.00,adaptive,0.0029515621718019247
2.0,False,2.00,matched_mixture,0.0029515621718019247
2.1315789473684212,False,2.50,adaptive,0.0030028540641069412
2.1315789473684212,False,2.50,matched_mixture,0.0030829543247818947
